FALTER_20220810_8E36475C03 131.283493 FALTER_20220302_57B22E6ACE
FALTER_20220803_64C0733884  99.696899 FALTER_20220302_57B22E6ACE
FALTER_20220223_27DE9DFAF4  90.201500 FALTER_20220302_57B22E6ACE
FALTER_20220309_550DDBD939  89.884201 FALTER_20220302_57B22E6ACE
FALTER_20220921_22135BD9FB  89.507004 FALTER_20220302_57B22E6ACE
FALTER_20220309_42A389810E  89.005302 FALTER_20220302_57B22E6ACE
FALTER_20220302_19351A344E  87.927902 FALTER_20220302_57B22E6ACE
FALTER_20220330_C0D90F157B  86.822502 FALTER_20220302_57B22E6ACE
FALTER_20220216_154FB2A50F  82.554497 FALTER_20220302_57B22E6ACE
FALTER_20211222_96F3A54AA0  77.253899 FALTER_20220302_57B22E6ACE
FALTER_20220629_2D1EF3F677  75.101196 FALTER_20220302_57B22E6ACE
FALTER_20220413_EDC7023A23  74.764000 FALTER_20220302_57B22E6ACE
FALTER_20220309_1C6B8418BE  74.446999 FALTER_20220302_57B22E6ACE
FALTER_20220504_88561D5AE3  73.566498 FALTER_20220302_57B22E6ACE
FALTER_20220413_92BC5802FB  72.541496 FALTER_20220302_57B22E6ACE
