FALTER_20220309_42A389810E 112.037003 FALTER_20220330_4D56533486
FALTER_20220309_0239B6A0BC  56.408798 FALTER_20220330_4D56533486
FALTER_20220216_154FB2A50F  55.678001 FALTER_20220330_4D56533486
FALTER_20220928_E5DF2B1850  55.048599 FALTER_20220330_4D56533486
FALTER_20220302_19351A344E  49.911999 FALTER_20220330_4D56533486
FALTER_20221102_92EEC85C8A  48.667400 FALTER_20220330_4D56533486
FALTER_20221012_D6A09D0DB1  48.287399 FALTER_20220330_4D56533486
FALTER_20211222_96F3A54AA0  48.184200 FALTER_20220330_4D56533486
FALTER_20220316_C33003D020  47.173801 FALTER_20220330_4D56533486
FALTER_20220323_A229E0EDC3  46.365299 FALTER_20220330_4D56533486
FALTER_20220223_EB79F5F51E  45.527901 FALTER_20220330_4D56533486
FALTER_20220907_071745C7DD  45.396599 FALTER_20220330_4D56533486
FALTER_20220216_0CFAC71764  45.391201 FALTER_20220330_4D56533486
FALTER_20220420_03E73B0284  45.373402 FALTER_20220330_4D56533486
FALTER_20220302_672863FB5A  45.362701 FALTER_20220330_4D56533486
