FALTER_20220427_D4AFB5A992 110.716499 FALTER_20220511_6D70F1D871
FALTER_20220427_FE8EA8FDF8  66.759399 FALTER_20220511_6D70F1D871
FALTER_20221116_0EFF68E611  54.234600 FALTER_20220511_6D70F1D871
FALTER_20220615_0680834F09  43.060001 FALTER_20220511_6D70F1D871
FALTER_20220427_B3A080073E  41.208900 FALTER_20220511_6D70F1D871
FALTER_20220511_4A7528A16C  40.932499 FALTER_20220511_6D70F1D871
FALTER_20220622_0FDF06C890  39.886600 FALTER_20220511_6D70F1D871
FALTER_20220622_0B469E3484  39.146900 FALTER_20220511_6D70F1D871
FALTER_20221102_597E5E1871  38.427898 FALTER_20220511_6D70F1D871
FALTER_20220202_5187992005  38.344101 FALTER_20220511_6D70F1D871
FALTER_20221012_CB2AB42489  37.593300 FALTER_20220511_6D70F1D871
FALTER_20220330_CE3567D9B8  36.318802 FALTER_20220511_6D70F1D871
FALTER_20220504_B6225EFA09  34.570599 FALTER_20220511_6D70F1D871
FALTER_20220112_3A36C4309B  33.061199 FALTER_20220511_6D70F1D871
FALTER_20221026_0EDFE61C97  33.059700 FALTER_20220511_6D70F1D871
