FALTER_20220209_E70DD8F0F6 107.842102 FALTER_20220615_0680834F09
FALTER_20220216_155DEE7629  75.429604 FALTER_20220615_0680834F09
FALTER_20220119_A357147667  66.067497 FALTER_20220615_0680834F09
FALTER_20220629_6A6D6ADE83  65.867897 FALTER_20220615_0680834F09
FALTER_20221116_0EFF68E611  54.362400 FALTER_20220615_0680834F09
FALTER_20221102_CC7E34FD07  50.268799 FALTER_20220615_0680834F09
FALTER_20220817_512C1255EC  46.184299 FALTER_20220615_0680834F09
FALTER_20220615_3D90A3BADF  39.591702 FALTER_20220615_0680834F09
FALTER_20221130_3623C3579B  32.982601 FALTER_20220615_0680834F09
FALTER_20211222_FD8F17EAB4  32.323502 FALTER_20220615_0680834F09
FALTER_20220706_ADE1FE5C97  31.395000 FALTER_20220615_0680834F09
FALTER_20221019_9120B4D0D7  31.370399 FALTER_20220615_0680834F09
FALTER_20220608_6A27A6CE72  31.075800 FALTER_20220615_0680834F09
FALTER_20221012_CB2AB42489  30.074400 FALTER_20220615_0680834F09
FALTER_20220316_053C18E18C  29.523100 FALTER_20220615_0680834F09
