FALTER_20220126_F8B75E00BD 108.535004 FALTER_20220615_F70A04D2E7
FALTER_20220601_CBBA2F1D59  80.538200 FALTER_20220615_F70A04D2E7
FALTER_20220615_CD2A721ADA  77.307198 FALTER_20220615_F70A04D2E7
FALTER_20221130_814740961A  59.653400 FALTER_20220615_F70A04D2E7
FALTER_20221012_D6A09D0DB1  59.548401 FALTER_20220615_F70A04D2E7
FALTER_20220727_ABE58D8343  49.449299 FALTER_20220615_F70A04D2E7
FALTER_20220330_6E1BE1BF68  48.337700 FALTER_20220615_F70A04D2E7
FALTER_20221005_0B9417B765  47.740700 FALTER_20220615_F70A04D2E7
FALTER_20220420_A969C09ACC  46.445702 FALTER_20220615_F70A04D2E7
FALTER_20220323_A98514D01D  45.775902 FALTER_20220615_F70A04D2E7
FALTER_20220420_03E73B0284  45.610100 FALTER_20220615_F70A04D2E7
FALTER_20220323_9D2681AD74  45.407902 FALTER_20220615_F70A04D2E7
FALTER_20220302_19351A344E  44.435600 FALTER_20220615_F70A04D2E7
FALTER_20220323_B272A60E63  41.136600 FALTER_20220615_F70A04D2E7
FALTER_20220601_B344719789  40.609600 FALTER_20220615_F70A04D2E7
