FALTER_20220601_8BC0C7F368 145.991592 FALTER_20220525_16859591E3
FALTER_20220706_4036315AD0  64.282997 FALTER_20220525_16859591E3
FALTER_20220316_C33003D020  55.068600 FALTER_20220525_16859591E3
FALTER_20220629_2D1EF3F677  52.098801 FALTER_20220525_16859591E3
FALTER_20220810_8E36475C03  49.561501 FALTER_20220525_16859591E3
FALTER_20220330_524A56982F  49.459202 FALTER_20220525_16859591E3
FALTER_20220525_77ED370778  48.529099 FALTER_20220525_16859591E3
FALTER_20220323_B272A60E63  47.492901 FALTER_20220525_16859591E3
FALTER_20220316_D409B172B0  47.125801 FALTER_20220525_16859591E3
FALTER_20220406_4D70F50FE2  45.873600 FALTER_20220525_16859591E3
FALTER_20220727_7BBF96391C  45.839600 FALTER_20220525_16859591E3
FALTER_20220330_A446D3E324  44.884499 FALTER_20220525_16859591E3
FALTER_20220302_5B02AED7A2  44.377701 FALTER_20220525_16859591E3
FALTER_20220413_EDC7023A23  43.582100 FALTER_20220525_16859591E3
FALTER_20220223_27DE9DFAF4  43.312500 FALTER_20220525_16859591E3
