FALTER_20220525_52B6E1A964 109.360001 FALTER_20220608_C276EF52A2
FALTER_20221005_CAE3B6980C 104.157997 FALTER_20220608_C276EF52A2
FALTER_20220316_D60200B0E2  96.330498 FALTER_20220608_C276EF52A2
FALTER_20220309_E0E0B5AA9A  80.004997 FALTER_20220608_C276EF52A2
FALTER_20220622_3C4302B106  75.537300 FALTER_20220608_C276EF52A2
FALTER_20220831_996BEDEA5E  75.442101 FALTER_20220608_C276EF52A2
FALTER_20221019_F87E70B8F5  74.810600 FALTER_20220608_C276EF52A2
FALTER_20220323_B272A60E63  69.186203 FALTER_20220608_C276EF52A2
FALTER_20220406_7C4E975FD1  69.182198 FALTER_20220608_C276EF52A2
FALTER_20221005_2EBB429619  68.270798 FALTER_20220608_C276EF52A2
FALTER_20220316_E42C899665  65.561996 FALTER_20220608_C276EF52A2
FALTER_20220518_0208107410  65.441200 FALTER_20220608_C276EF52A2
FALTER_20220803_6CB53C4244  64.799896 FALTER_20220608_C276EF52A2
FALTER_20220817_83DFD6F34A  64.587601 FALTER_20220608_C276EF52A2
FALTER_20220817_512C1255EC  64.530701 FALTER_20220608_C276EF52A2
