FALTER_20220119_AC33D94BA4 170.003296 FALTER_20220615_C621E5A528
FALTER_20220406_7C4E975FD1  72.042999 FALTER_20220615_C621E5A528
FALTER_20220810_9DB2913B20  68.945503 FALTER_20220615_C621E5A528
FALTER_20221019_C7B0CE1462  64.124496 FALTER_20220615_C621E5A528
FALTER_20220413_3CE88548EC  64.040901 FALTER_20220615_C621E5A528
FALTER_20220706_C790704099  62.569000 FALTER_20220615_C621E5A528
FALTER_20220727_7BBF96391C  61.873199 FALTER_20220615_C621E5A528
FALTER_20220713_211D121941  61.093102 FALTER_20220615_C621E5A528
FALTER_20220817_83DFD6F34A  60.860001 FALTER_20220615_C621E5A528
FALTER_20211215_964FE50549  60.359501 FALTER_20220615_C621E5A528
FALTER_20221026_792F2C3031  60.256001 FALTER_20220615_C621E5A528
FALTER_20220601_7BC3AE4477  59.667999 FALTER_20220615_C621E5A528
FALTER_20220511_6F6C8B91E2  59.566200 FALTER_20220615_C621E5A528
FALTER_20221130_3A3FC3C318  58.461399 FALTER_20220615_C621E5A528
FALTER_20220202_7BCB6EE7FE  58.180401 FALTER_20220615_C621E5A528
