FALTER_20220420_EAA249AE93 109.412399 FALTER_20220316_6D09B9BDD2
FALTER_20220216_1011C22CF7 105.661301 FALTER_20220316_6D09B9BDD2
FALTER_20220202_CC707934FF 102.212700 FALTER_20220316_6D09B9BDD2
FALTER_20220316_70F46EDB01  88.948402 FALTER_20220316_6D09B9BDD2
FALTER_20220216_F5C0D87B37  81.665298 FALTER_20220316_6D09B9BDD2
FALTER_20220921_B6B7C27F2B  66.934998 FALTER_20220316_6D09B9BDD2
FALTER_20221207_BA7F827DFF  61.808102 FALTER_20220316_6D09B9BDD2
FALTER_20220323_7BA7F66071  60.754501 FALTER_20220316_6D09B9BDD2
FALTER_20221026_792F2C3031  59.960400 FALTER_20220316_6D09B9BDD2
FALTER_20221102_2F75E76A72  56.992500 FALTER_20220316_6D09B9BDD2
FALTER_20220223_33CA357D9B  53.157101 FALTER_20220316_6D09B9BDD2
FALTER_20220427_ABD77B8E9F  52.617199 FALTER_20220316_6D09B9BDD2
FALTER_20220209_5CA8DCBD6D  49.344101 FALTER_20220316_6D09B9BDD2
FALTER_20220126_C951D4AF8D  49.087898 FALTER_20220316_6D09B9BDD2
FALTER_20211222_B0A321871F  48.615398 FALTER_20220316_6D09B9BDD2
