FALTER_20221207_BA7F827DFF 105.743301 FALTER_20220330_9754861B70
FALTER_20220302_6B63F05963  99.810799 FALTER_20220330_9754861B70
FALTER_20221026_792F2C3031  86.507797 FALTER_20220330_9754861B70
FALTER_20220202_CC707934FF  84.016602 FALTER_20220330_9754861B70
FALTER_20211222_94C6D5A908  70.907997 FALTER_20220330_9754861B70
FALTER_20220309_A08F92CAF9  69.473701 FALTER_20220330_9754861B70
FALTER_20211222_B0A321871F  65.950699 FALTER_20220330_9754861B70
FALTER_20220921_B6B7C27F2B  61.422798 FALTER_20220330_9754861B70
FALTER_20220126_884293D963  61.389801 FALTER_20220330_9754861B70
FALTER_20220615_145274EAAE  58.919498 FALTER_20220330_9754861B70
FALTER_20220622_8709E32326  55.522800 FALTER_20220330_9754861B70
FALTER_20220119_C283C25931  50.795300 FALTER_20220330_9754861B70
FALTER_20221102_DAED2975D2  48.487202 FALTER_20220330_9754861B70
FALTER_20221109_153991C14D  46.700500 FALTER_20220330_9754861B70
FALTER_20221102_2F75E76A72  43.589901 FALTER_20220330_9754861B70
