FALTER_20220209_5CA8DCBD6D 115.184898 FALTER_20220406_EA00DAEC2E
FALTER_20220223_269DAE0D66  92.691704 FALTER_20220406_EA00DAEC2E
FALTER_20220518_4460B08F42  67.291496 FALTER_20220406_EA00DAEC2E
FALTER_20220921_B6B7C27F2B  61.256802 FALTER_20220406_EA00DAEC2E
FALTER_20220511_71668B1344  52.512901 FALTER_20220406_EA00DAEC2E
FALTER_20220518_4940544DDD  47.304100 FALTER_20220406_EA00DAEC2E
FALTER_20220209_16A18EC699  44.155998 FALTER_20220406_EA00DAEC2E
FALTER_20220309_A08F92CAF9  44.152302 FALTER_20220406_EA00DAEC2E
FALTER_20220202_CC707934FF  40.491402 FALTER_20220406_EA00DAEC2E
FALTER_20220126_305FB76FE8  36.986500 FALTER_20220406_EA00DAEC2E
FALTER_20220209_729DD3199A  34.750599 FALTER_20220406_EA00DAEC2E
FALTER_20211215_BB646DDCBF  34.416100 FALTER_20220406_EA00DAEC2E
FALTER_20220615_C46EB1DDFB  33.835400 FALTER_20220406_EA00DAEC2E
FALTER_20220216_1011C22CF7  32.469200 FALTER_20220406_EA00DAEC2E
FALTER_20220126_C951D4AF8D  31.868099 FALTER_20220406_EA00DAEC2E
