FALTER_20220316_5A50F8FDB8 110.497902 FALTER_20220504_56F2775FB7
FALTER_20221026_792F2C3031  59.480999 FALTER_20220504_56F2775FB7
FALTER_20220302_6B63F05963  56.916698 FALTER_20220504_56F2775FB7
FALTER_20220622_BAB30B3565  56.679699 FALTER_20220504_56F2775FB7
FALTER_20220223_CDDF5A96F6  52.264599 FALTER_20220504_56F2775FB7
FALTER_20220615_145274EAAE  50.284599 FALTER_20220504_56F2775FB7
FALTER_20220810_D7E2127763  49.478600 FALTER_20220504_56F2775FB7
FALTER_20221102_2F75E76A72  47.821899 FALTER_20220504_56F2775FB7
FALTER_20220629_3529909DD4  45.690201 FALTER_20220504_56F2775FB7
FALTER_20220727_7BBF96391C  45.070801 FALTER_20220504_56F2775FB7
FALTER_20220112_065792B3FC  44.291000 FALTER_20220504_56F2775FB7
FALTER_20211222_B0A321871F  44.262199 FALTER_20220504_56F2775FB7
FALTER_20221019_C7B0CE1462  43.685200 FALTER_20220504_56F2775FB7
FALTER_20220824_56AF6D9EAD  43.659199 FALTER_20220504_56F2775FB7
FALTER_20220202_CC707934FF  42.630299 FALTER_20220504_56F2775FB7
