FALTER_20220126_FC2A19179F 123.009201 FALTER_20220518_0208107410
FALTER_20221207_6A66601DD0  67.140999 FALTER_20220518_0208107410
FALTER_20220504_05D47A7910  59.184502 FALTER_20220518_0208107410
FALTER_20220209_4A94AA3643  53.074902 FALTER_20220518_0208107410
FALTER_20220928_B356F47421  51.291599 FALTER_20220518_0208107410
FALTER_20220622_3C4302B106  50.201801 FALTER_20220518_0208107410
FALTER_20220615_FFB5B18574  47.067799 FALTER_20220518_0208107410
FALTER_20220914_C0E641D52B  46.494999 FALTER_20220518_0208107410
FALTER_20220427_D5E6DF4DB1  45.062801 FALTER_20220518_0208107410
FALTER_20220316_C33003D020  44.296600 FALTER_20220518_0208107410
FALTER_20220914_5D43F08AA5  43.561798 FALTER_20220518_0208107410
FALTER_20220706_C0D77EF662  41.245602 FALTER_20220518_0208107410
FALTER_20221207_FFD5F21AFF  40.989700 FALTER_20220518_0208107410
FALTER_20220427_3CA39CC04D  40.907799 FALTER_20220518_0208107410
FALTER_20220615_FAF392ED7C  40.155499 FALTER_20220518_0208107410
