FALTER_20220330_D289B7FC25 186.246902 FALTER_20220330_FA4879964C
FALTER_20220330_70589463B4 174.894897 FALTER_20220330_FA4879964C
FALTER_20220330_FCEDC85760 150.532700 FALTER_20220330_FA4879964C
FALTER_20220330_4AAEF01B93  99.698799 FALTER_20220330_FA4879964C
FALTER_20220316_D60200B0E2  39.102901 FALTER_20220330_FA4879964C
FALTER_20220525_52B6E1A964  39.027199 FALTER_20220330_FA4879964C
FALTER_20220309_E0E0B5AA9A  33.080700 FALTER_20220330_FA4879964C
FALTER_20220323_9D2681AD74  28.911600 FALTER_20220330_FA4879964C
FALTER_20220216_154FB2A50F  28.795799 FALTER_20220330_FA4879964C
FALTER_20220803_F2C9E4BA31  28.252199 FALTER_20220330_FA4879964C
FALTER_20220302_19351A344E  27.916700 FALTER_20220330_FA4879964C
FALTER_20221005_CAE3B6980C  27.823099 FALTER_20220330_FA4879964C
FALTER_20220518_B804602C3C  27.775299 FALTER_20220330_FA4879964C
FALTER_20220216_0CFAC71764  27.475300 FALTER_20220330_FA4879964C
FALTER_20221109_F45292DD67  27.401199 FALTER_20220330_FA4879964C
