FALTER_20220525_ADB5F6032E 162.206207 FALTER_20220427_F66EC58DD7
FALTER_20220202_16699E02E8 108.617897 FALTER_20220427_F66EC58DD7
FALTER_20220406_0B77A65566  92.942001 FALTER_20220427_F66EC58DD7
FALTER_20220216_25CAF2CCC5  68.907097 FALTER_20220427_F66EC58DD7
FALTER_20220601_3B54093F76  60.000099 FALTER_20220427_F66EC58DD7
FALTER_20220921_FEDE27929A  46.976501 FALTER_20220427_F66EC58DD7
FALTER_20220706_8CD3003E2A  45.289101 FALTER_20220427_F66EC58DD7
FALTER_20221012_3843457417  36.377998 FALTER_20220427_F66EC58DD7
FALTER_20220126_7B2AC42DD5  36.292000 FALTER_20220427_F66EC58DD7
FALTER_20220622_F6E9FFC9B1  36.075401 FALTER_20220427_F66EC58DD7
FALTER_20220323_C821350438  35.649300 FALTER_20220427_F66EC58DD7
FALTER_20221109_6B8EF9C1FB  34.568600 FALTER_20220427_F66EC58DD7
FALTER_20220126_A44FD22A80  34.007000 FALTER_20220427_F66EC58DD7
FALTER_20220928_B1D3800E23  33.591499 FALTER_20220427_F66EC58DD7
FALTER_20211215_73A6B01646  33.360100 FALTER_20220427_F66EC58DD7
