FALTER_20220518_5D0C6D9F5A 141.211304 FALTER_20220601_DE1BD7F95E
FALTER_20220223_788A4CE7AA  86.773598 FALTER_20220601_DE1BD7F95E
FALTER_20220803_8ACD9FFD49  66.316704 FALTER_20220601_DE1BD7F95E
FALTER_20220817_845203A9A2  59.582699 FALTER_20220601_DE1BD7F95E
FALTER_20220518_B804602C3C  55.148399 FALTER_20220601_DE1BD7F95E
FALTER_20220720_0FDA600BCB  54.946899 FALTER_20220601_DE1BD7F95E
FALTER_20221116_BE96E2B85C  51.263401 FALTER_20220601_DE1BD7F95E
FALTER_20220907_E1CBB33DF0  50.736401 FALTER_20220601_DE1BD7F95E
FALTER_20220126_7B2AC42DD5  48.995201 FALTER_20220601_DE1BD7F95E
FALTER_20220302_63C9BC313C  48.218498 FALTER_20220601_DE1BD7F95E
FALTER_20220413_8CAD826DDB  47.358101 FALTER_20220601_DE1BD7F95E
FALTER_20221102_D4FD5EB4A6  47.197201 FALTER_20220601_DE1BD7F95E
FALTER_20221026_FE82960967  47.186001 FALTER_20220601_DE1BD7F95E
FALTER_20220921_95D62844CB  46.941399 FALTER_20220601_DE1BD7F95E
FALTER_20220406_0B77A65566  46.900700 FALTER_20220601_DE1BD7F95E
