FALTER_20220706_ECEF13684E 104.049202 FALTER_20220525_5276E5B12C
FALTER_20220302_E77A8F4F19  46.941601 FALTER_20220525_5276E5B12C
FALTER_20220406_2C2BAA6A71  42.377998 FALTER_20220525_5276E5B12C
FALTER_20211222_62A097197C  42.099400 FALTER_20220525_5276E5B12C
FALTER_20220209_D2A45298D8  41.450802 FALTER_20220525_5276E5B12C
FALTER_20211222_825B589FCB  41.431099 FALTER_20220525_5276E5B12C
FALTER_20220824_20CCA77D6B  41.050800 FALTER_20220525_5276E5B12C
FALTER_20220316_2C171D199C  40.969299 FALTER_20220525_5276E5B12C
FALTER_20220622_C498E573D8  40.896500 FALTER_20220525_5276E5B12C
FALTER_20220413_41501B8D61  39.631001 FALTER_20220525_5276E5B12C
FALTER_20220202_E026B80A15  39.513401 FALTER_20220525_5276E5B12C
FALTER_20220713_CD238F43BD  39.148602 FALTER_20220525_5276E5B12C
FALTER_20220511_71668B1344  37.850101 FALTER_20220525_5276E5B12C
FALTER_20220223_8881BD5C76  37.656898 FALTER_20220525_5276E5B12C
FALTER_20211215_73A6B01646  37.071301 FALTER_20220525_5276E5B12C
