FALTER_20220601_6130F0F538 124.031197 FALTER_20220608_3849ACB32D
FALTER_20221123_7534B3DEA3  55.941200 FALTER_20220608_3849ACB32D
FALTER_20220601_A6AE0B2BDE  51.329800 FALTER_20220608_3849ACB32D
FALTER_20220713_CD238F43BD  50.222401 FALTER_20220608_3849ACB32D
FALTER_20220713_D8612F682B  45.808601 FALTER_20220608_3849ACB32D
FALTER_20220518_9910096646  41.706902 FALTER_20220608_3849ACB32D
FALTER_20220921_DEA5AF20FF  41.361198 FALTER_20220608_3849ACB32D
FALTER_20220420_779068A899  41.351898 FALTER_20220608_3849ACB32D
FALTER_20211215_2A088C305E  40.884800 FALTER_20220608_3849ACB32D
FALTER_20220209_D2A45298D8  40.062401 FALTER_20220608_3849ACB32D
FALTER_20221005_AEB2C76D66  39.972500 FALTER_20220608_3849ACB32D
FALTER_20220727_7BBF96391C  39.732300 FALTER_20220608_3849ACB32D
FALTER_20220413_EDC7023A23  39.437000 FALTER_20220608_3849ACB32D
FALTER_20220223_14BEC15400  39.219501 FALTER_20220608_3849ACB32D
FALTER_20220427_B1DE446313  38.315102 FALTER_20220608_3849ACB32D
