FALTER_20220112_8EAECAFBBC 111.812599 FALTER_20220126_8C22F0CCB6
FALTER_20220720_D1344797F8 104.206299 FALTER_20220126_8C22F0CCB6
FALTER_20220316_38D66AFEC2  97.167801 FALTER_20220126_8C22F0CCB6
FALTER_20211222_181F16D2BD  78.595596 FALTER_20220126_8C22F0CCB6
FALTER_20220706_4036315AD0  72.581902 FALTER_20220126_8C22F0CCB6
FALTER_20220223_CDDF5A96F6  67.465302 FALTER_20220126_8C22F0CCB6
FALTER_20220928_1A92012FF7  62.753502 FALTER_20220126_8C22F0CCB6
FALTER_20220323_B272A60E63  56.895000 FALTER_20220126_8C22F0CCB6
FALTER_20220525_16859591E3  56.685101 FALTER_20220126_8C22F0CCB6
FALTER_20211222_40076C3AB9  54.674099 FALTER_20220126_8C22F0CCB6
FALTER_20220413_EDC7023A23  52.982201 FALTER_20220126_8C22F0CCB6
FALTER_20220427_169DDC1CA3  52.882801 FALTER_20220126_8C22F0CCB6
FALTER_20221026_792F2C3031  52.567101 FALTER_20220126_8C22F0CCB6
FALTER_20220511_FBF1B6E8BF  50.352798 FALTER_20220126_8C22F0CCB6
FALTER_20211222_851411A120  49.862900 FALTER_20220126_8C22F0CCB6
