FALTER_20221026_792F2C3031 116.915802 FALTER_20220309_AA4443FB43
FALTER_20221102_2F75E76A72 105.702202 FALTER_20220309_AA4443FB43
FALTER_20211222_BA08D62DF2  82.433403 FALTER_20220309_AA4443FB43
FALTER_20220615_145274EAAE  77.128403 FALTER_20220309_AA4443FB43
FALTER_20220223_CDDF5A96F6  76.828003 FALTER_20220309_AA4443FB43
FALTER_20220202_CC707934FF  74.637497 FALTER_20220309_AA4443FB43
FALTER_20220330_9754861B70  72.155701 FALTER_20220309_AA4443FB43
FALTER_20220112_065792B3FC  68.654404 FALTER_20220309_AA4443FB43
FALTER_20220824_56AF6D9EAD  67.157501 FALTER_20220309_AA4443FB43
FALTER_20211222_B0A321871F  64.921303 FALTER_20220309_AA4443FB43
FALTER_20221109_153991C14D  63.895302 FALTER_20220309_AA4443FB43
FALTER_20220302_6B63F05963  62.383499 FALTER_20220309_AA4443FB43
FALTER_20220216_1011C22CF7  57.941700 FALTER_20220309_AA4443FB43
FALTER_20220119_C283C25931  57.243599 FALTER_20220309_AA4443FB43
FALTER_20220928_1A92012FF7  56.971699 FALTER_20220309_AA4443FB43
