FALTER_20220330_7D2AA6932F 168.555298 FALTER_20220406_38C88A35E2
FALTER_20220525_B332E0066F 112.165199 FALTER_20220406_38C88A35E2
FALTER_20221005_8731284309 104.647598 FALTER_20220406_38C88A35E2
FALTER_20220706_2AF1A0F833  91.123802 FALTER_20220406_38C88A35E2
FALTER_20220119_3950CABE72  80.091301 FALTER_20220406_38C88A35E2
FALTER_20220511_7BE8F36D6C  79.186096 FALTER_20220406_38C88A35E2
FALTER_20221116_43D92DB2B6  70.110397 FALTER_20220406_38C88A35E2
FALTER_20221116_A6633188CA  69.918602 FALTER_20220406_38C88A35E2
FALTER_20220427_169DDC1CA3  66.571098 FALTER_20220406_38C88A35E2
FALTER_20220914_BB11B40DF6  65.304703 FALTER_20220406_38C88A35E2
FALTER_20221123_B107F87D4A  65.191902 FALTER_20220406_38C88A35E2
FALTER_20220302_6B63F05963  64.509697 FALTER_20220406_38C88A35E2
FALTER_20220202_E625782B2C  63.874901 FALTER_20220406_38C88A35E2
FALTER_20220629_3529909DD4  63.438900 FALTER_20220406_38C88A35E2
FALTER_20211222_A35407C20B  63.394901 FALTER_20220406_38C88A35E2
