FALTER_20220622_BF1AACBA04 100.000298 FALTER_20220511_8FEB931E04
FALTER_20220629_37298F6748  59.903301 FALTER_20220511_8FEB931E04
FALTER_20220427_DED67CAAD1  57.833099 FALTER_20220511_8FEB931E04
FALTER_20220824_9357B492F4  54.461700 FALTER_20220511_8FEB931E04
FALTER_20220504_BC34714783  52.856499 FALTER_20220511_8FEB931E04
FALTER_20220119_2B788365FB  48.057701 FALTER_20220511_8FEB931E04
FALTER_20221012_2408FD7581  47.416500 FALTER_20220511_8FEB931E04
FALTER_20220427_7C0FE67882  47.221001 FALTER_20220511_8FEB931E04
FALTER_20220622_A64E9B9B08  47.209499 FALTER_20220511_8FEB931E04
FALTER_20220713_1238E421E5  45.110100 FALTER_20220511_8FEB931E04
FALTER_20220615_1EF1296218  41.708199 FALTER_20220511_8FEB931E04
FALTER_20220216_2D0DCF702C  41.531502 FALTER_20220511_8FEB931E04
FALTER_20220727_1EC5B851D7  40.140099 FALTER_20220511_8FEB931E04
FALTER_20220427_AA4173FFE3  38.871101 FALTER_20220511_8FEB931E04
FALTER_20211215_73A6B01646  38.725201 FALTER_20220511_8FEB931E04
