FALTER_20220209_5CA8DCBD6D 156.578995 FALTER_20220518_4460B08F42
FALTER_20220223_269DAE0D66  98.599297 FALTER_20220518_4460B08F42
FALTER_20220511_71668B1344  69.126900 FALTER_20220518_4460B08F42
FALTER_20220209_16A18EC699  60.159698 FALTER_20220518_4460B08F42
FALTER_20220406_EA00DAEC2E  56.734001 FALTER_20220518_4460B08F42
FALTER_20220309_A08F92CAF9  53.317200 FALTER_20220518_4460B08F42
FALTER_20220209_729DD3199A  52.468300 FALTER_20220518_4460B08F42
FALTER_20211222_A35407C20B  52.287998 FALTER_20220518_4460B08F42
FALTER_20220223_788A4CE7AA  49.251801 FALTER_20220518_4460B08F42
FALTER_20221116_43D92DB2B6  47.271599 FALTER_20220518_4460B08F42
FALTER_20220817_5081C79795  46.702801 FALTER_20220518_4460B08F42
FALTER_20220601_A6AE0B2BDE  46.030602 FALTER_20220518_4460B08F42
FALTER_20220126_305FB76FE8  44.576900 FALTER_20220518_4460B08F42
FALTER_20220309_FE59453C09  44.403000 FALTER_20220518_4460B08F42
FALTER_20220511_964B3F8189  43.558201 FALTER_20220518_4460B08F42
