AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220518_B804602C3C,FALTER_20211222_04EB44E2A2,FALTER_20220202_98620A8CFE,FALTER_20220112_8EAECAFBBC,FALTER_20220112_8EAECAFBBC,FALTER_20220518_B804602C3C
FALTER_20220803_6CB53C4244,FALTER_20221019_C7B0CE1462,FALTER_20220223_F82A34E466,FALTER_20211222_40076C3AB9,FALTER_20220223_F82A34E466,FALTER_20211222_40076C3AB9
FALTER_20211215_AF0C90B712,FALTER_20211222_E7A625F5A8,FALTER_20220330_73CAF44312,FALTER_20211222_BA9781D05E,FALTER_20211215_AF0C90B712,FALTER_20211222_E7A625F5A8
FALTER_20220420_E2855BC9AE,FALTER_20220706_2C863FCC5F,FALTER_20220126_5FA47BB63A,FALTER_20221019_C7B0CE1462,FALTER_20220126_5FA47BB63A,FALTER_20220420_E2855BC9AE
FALTER_20220223_F82A34E466,FALTER_20220202_98620A8CFE,FALTER_20211222_E7A625F5A8,FALTER_20211215_AF0C90B712,FALTER_20220202_98620A8CFE,FALTER_20211222_E7A625F5A8
FALTER_20211222_BA9781D05E,FALTER_20220803_6CB53C4244,FALTER_20220112_8EAECAFBBC,FALTER_20211222_04EB44E2A2,FALTER_20220803_6CB53C4244,FALTER_20211222_04EB44E2A2
FALTER_20211222_40076C3AB9,FALTER_20220420_E2855BC9AE,FALTER_20220330_73CAF44312,FALTER_20220518_B804602C3C,FALTER_20220330_73CAF44312,FALTER_20211222_40076C3AB9
FALTER_20220706_2C863FCC5F,FALTER_20220126_5FA47BB63A,FALTER_20211222_04EB44E2A2,FALTER_20211222_BA9781D05E,FALTER_20220126_5FA47BB63A,FALTER_20211222_04EB44E2A2
FALTER_20221019_C7B0CE1462,FALTER_20220202_98620A8CFE,FALTER_20220706_2C863FCC5F,FALTER_20211222_40076C3AB9,FALTER_20220202_98620A8CFE,FALTER_20211222_40076C3AB9
FALTER_20211215_AF0C90B712,FALTER_20220112_8EAECAFBBC,FALTER_20220518_B804602C3C,FALTER_20220330_73CAF44312,FALTER_20220112_8EAECAFBBC,FALTER_20220518_B804602C3C
FALTER_20220803_6CB53C4244,FALTER_20220420_E2855BC9AE,FALTER_20220223_F82A34E466,FALTER_20211222_E7A625F5A8,FALTER_20220223_F82A34E466,FALTER_20220420_E2855BC9AE
FALTER_20220126_5FA47BB63A,FALTER_20220330_73CAF44312,FALTER_20220706_2C863FCC5F,FALTER_20211222_40076C3AB9,FALTER_20220126_5FA47BB63A,FALTER_20211222_40076C3AB9
FALTER_20220112_8EAECAFBBC,FALTER_20220518_B804602C3C,FALTER_20211215_AF0C90B712,FALTER_20220420_E2855BC9AE,FALTER_20220112_8EAECAFBBC,FALTER_20220518_B804602C3C
