AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220727_8183AA9689,FALTER_20220302_19351A344E,FALTER_20220413_EDC7023A23,FALTER_20220406_CFF3E4B722,FALTER_20220406_CFF3E4B722,FALTER_20220727_8183AA9689
FALTER_20220921_22135BD9FB,FALTER_20221109_F45292DD67,FALTER_20220518_B804602C3C,FALTER_20220309_54EDF6DE99,FALTER_20220518_B804602C3C,FALTER_20221109_F45292DD67
FALTER_20220216_154FB2A50F,FALTER_20220316_8AE2382F6B,FALTER_20220518_D9551C3082,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_E0E0B5AA9A,FALTER_20220216_154FB2A50F
FALTER_20220525_52B6E1A964,FALTER_20220803_8ACD9FFD49,FALTER_20220413_8CAD826DDB,FALTER_20221109_F45292DD67,FALTER_20220525_52B6E1A964,FALTER_20220803_8ACD9FFD49
FALTER_20220518_B804602C3C,FALTER_20220413_EDC7023A23,FALTER_20220316_8AE2382F6B,FALTER_20220216_154FB2A50F,FALTER_20220518_B804602C3C,FALTER_20220413_EDC7023A23
FALTER_20220309_E0E0B5AA9A,FALTER_20220921_22135BD9FB,FALTER_20220406_CFF3E4B722,FALTER_20220302_19351A344E,FALTER_20220406_CFF3E4B722,FALTER_20220921_22135BD9FB
FALTER_20220309_54EDF6DE99,FALTER_20220525_52B6E1A964,FALTER_20220518_D9551C3082,FALTER_20220727_8183AA9689,FALTER_20220525_52B6E1A964,FALTER_20220727_8183AA9689
FALTER_20220803_8ACD9FFD49,FALTER_20220413_8CAD826DDB,FALTER_20220302_19351A344E,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_E0E0B5AA9A,FALTER_20220803_8ACD9FFD49
FALTER_20221109_F45292DD67,FALTER_20220413_EDC7023A23,FALTER_20220803_8ACD9FFD49,FALTER_20220309_54EDF6DE99,FALTER_20220309_54EDF6DE99,FALTER_20220803_8ACD9FFD49
FALTER_20220216_154FB2A50F,FALTER_20220406_CFF3E4B722,FALTER_20220727_8183AA9689,FALTER_20220518_D9551C3082,FALTER_20220406_CFF3E4B722,FALTER_20220727_8183AA9689
FALTER_20220921_22135BD9FB,FALTER_20220525_52B6E1A964,FALTER_20220518_B804602C3C,FALTER_20220316_8AE2382F6B,FALTER_20220525_52B6E1A964,FALTER_20220921_22135BD9FB
FALTER_20220413_8CAD826DDB,FALTER_20220518_D9551C3082,FALTER_20220803_8ACD9FFD49,FALTER_20220309_54EDF6DE99,FALTER_20220518_D9551C3082,FALTER_20220803_8ACD9FFD49
FALTER_20220406_CFF3E4B722,FALTER_20220727_8183AA9689,FALTER_20220216_154FB2A50F,FALTER_20220525_52B6E1A964,FALTER_20220525_52B6E1A964,FALTER_20220727_8183AA9689
FALTER_20220413_8CAD826DDB,FALTER_20220316_8AE2382F6B,FALTER_20220921_22135BD9FB,FALTER_20220413_EDC7023A23,FALTER_20220316_8AE2382F6B,FALTER_20220413_8CAD826DDB
FALTER_20220302_19351A344E,FALTER_20220309_E0E0B5AA9A,FALTER_20220518_B804602C3C,FALTER_20221109_F45292DD67,FALTER_20220309_E0E0B5AA9A,FALTER_20220518_B804602C3C
FALTER_20220727_8183AA9689,FALTER_20220413_EDC7023A23,FALTER_20221109_F45292DD67,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_E0E0B5AA9A,FALTER_20220727_8183AA9689
FALTER_20220309_54EDF6DE99,FALTER_20220518_B804602C3C,FALTER_20220302_19351A344E,FALTER_20220413_8CAD826DDB,FALTER_20220309_54EDF6DE99,FALTER_20220413_8CAD826DDB
FALTER_20220406_CFF3E4B722,FALTER_20220921_22135BD9FB,FALTER_20220803_8ACD9FFD49,FALTER_20220316_8AE2382F6B,FALTER_20220406_CFF3E4B722,FALTER_20220803_8ACD9FFD49
FALTER_20220518_D9551C3082,FALTER_20220525_52B6E1A964,FALTER_20220216_154FB2A50F,FALTER_20220309_54EDF6DE99,FALTER_20220525_52B6E1A964,FALTER_20220216_154FB2A50F
FALTER_20220309_E0E0B5AA9A,FALTER_20220727_8183AA9689,FALTER_20220525_52B6E1A964,FALTER_20220216_154FB2A50F,FALTER_20220525_52B6E1A964,FALTER_20220216_154FB2A50F
FALTER_20220803_8ACD9FFD49,FALTER_20220518_B804602C3C,FALTER_20220316_8AE2382F6B,FALTER_20220518_D9551C3082,FALTER_20220518_D9551C3082,FALTER_20220803_8ACD9FFD49
FALTER_20221109_F45292DD67,FALTER_20220406_CFF3E4B722,FALTER_20220413_8CAD826DDB,FALTER_20220921_22135BD9FB,FALTER_20220406_CFF3E4B722,FALTER_20220413_8CAD826DDB
FALTER_20220413_EDC7023A23,FALTER_20220302_19351A344E,FALTER_20220803_8ACD9FFD49,FALTER_20220216_154FB2A50F,FALTER_20220302_19351A344E,FALTER_20220803_8ACD9FFD49
FALTER_20220309_54EDF6DE99,FALTER_20220413_EDC7023A23,FALTER_20220406_CFF3E4B722,FALTER_20220921_22135BD9FB,FALTER_20220406_CFF3E4B722,FALTER_20220921_22135BD9FB
FALTER_20220525_52B6E1A964,FALTER_20220413_8CAD826DDB,FALTER_20220309_E0E0B5AA9A,FALTER_20220316_8AE2382F6B,FALTER_20220525_52B6E1A964,FALTER_20220413_8CAD826DDB
FALTER_20220518_B804602C3C,FALTER_20220727_8183AA9689,FALTER_20220302_19351A344E,FALTER_20221109_F45292DD67,FALTER_20220302_19351A344E,FALTER_20220727_8183AA9689
FALTER_20220518_D9551C3082,FALTER_20220406_CFF3E4B722,FALTER_20220302_19351A344E,FALTER_20220525_52B6E1A964,FALTER_20220525_52B6E1A964,FALTER_20220302_19351A344E
FALTER_20220316_8AE2382F6B,FALTER_20220309_54EDF6DE99,FALTER_20220413_8CAD826DDB,FALTER_20220727_8183AA9689,FALTER_20220309_54EDF6DE99,FALTER_20220413_8CAD826DDB
FALTER_20220518_B804602C3C,FALTER_20221109_F45292DD67,FALTER_20220518_D9551C3082,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_E0E0B5AA9A,FALTER_20221109_F45292DD67
FALTER_20220921_22135BD9FB,FALTER_20220803_8ACD9FFD49,FALTER_20220413_EDC7023A23,FALTER_20220216_154FB2A50F,FALTER_20220216_154FB2A50F,FALTER_20220803_8ACD9FFD49
