AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220518_B804602C3C,FALTER_20211222_40076C3AB9,FALTER_20220406_B0F9C3BD78,FALTER_20220316_7F1941A3EA,FALTER_20220406_B0F9C3BD78,FALTER_20211222_40076C3AB9
FALTER_20220921_5C8C32E30D,FALTER_20221005_AEB2C76D66,FALTER_20220406_DA8363C875,FALTER_20211222_E7A625F5A8,FALTER_20220921_5C8C32E30D,FALTER_20221005_AEB2C76D66
FALTER_20211215_4ADEB44811,FALTER_20220202_61227AC28E,FALTER_20220511_6268F6609B,FALTER_20220126_686D36A25A,FALTER_20220511_6268F6609B,FALTER_20220202_61227AC28E
FALTER_20220518_48A2BFD79B,FALTER_20220622_A64E9B9B08,FALTER_20220323_A9D672E0A5,FALTER_20221005_AEB2C76D66,FALTER_20220518_48A2BFD79B,FALTER_20220622_A64E9B9B08
FALTER_20220406_DA8363C875,FALTER_20220406_B0F9C3BD78,FALTER_20220202_61227AC28E,FALTER_20211215_4ADEB44811,FALTER_20220406_DA8363C875,FALTER_20220202_61227AC28E
FALTER_20220126_686D36A25A,FALTER_20220921_5C8C32E30D,FALTER_20220316_7F1941A3EA,FALTER_20211222_40076C3AB9,FALTER_20220921_5C8C32E30D,FALTER_20220316_7F1941A3EA
FALTER_20211222_E7A625F5A8,FALTER_20220518_48A2BFD79B,FALTER_20220511_6268F6609B,FALTER_20220518_B804602C3C,FALTER_20220518_48A2BFD79B,FALTER_20220518_B804602C3C
FALTER_20220622_A64E9B9B08,FALTER_20220323_A9D672E0A5,FALTER_20211222_40076C3AB9,FALTER_20220126_686D36A25A,FALTER_20211222_40076C3AB9,FALTER_20220622_A64E9B9B08
FALTER_20221005_AEB2C76D66,FALTER_20220406_B0F9C3BD78,FALTER_20220622_A64E9B9B08,FALTER_20211222_E7A625F5A8,FALTER_20220406_B0F9C3BD78,FALTER_20221005_AEB2C76D66
FALTER_20211215_4ADEB44811,FALTER_20220316_7F1941A3EA,FALTER_20220518_B804602C3C,FALTER_20220511_6268F6609B,FALTER_20220511_6268F6609B,FALTER_20220518_B804602C3C
FALTER_20220921_5C8C32E30D,FALTER_20220518_48A2BFD79B,FALTER_20220406_DA8363C875,FALTER_20220202_61227AC28E,FALTER_20220518_48A2BFD79B,FALTER_20220202_61227AC28E
FALTER_20220323_A9D672E0A5,FALTER_20220511_6268F6609B,FALTER_20220622_A64E9B9B08,FALTER_20211222_E7A625F5A8,FALTER_20220511_6268F6609B,FALTER_20220622_A64E9B9B08
FALTER_20220316_7F1941A3EA,FALTER_20220518_B804602C3C,FALTER_20211215_4ADEB44811,FALTER_20220518_48A2BFD79B,FALTER_20220518_48A2BFD79B,FALTER_20220518_B804602C3C
FALTER_20220323_A9D672E0A5,FALTER_20220202_61227AC28E,FALTER_20220921_5C8C32E30D,FALTER_20220406_B0F9C3BD78,FALTER_20220921_5C8C32E30D,FALTER_20220202_61227AC28E
FALTER_20211222_40076C3AB9,FALTER_20220126_686D36A25A,FALTER_20220406_DA8363C875,FALTER_20221005_AEB2C76D66,FALTER_20220406_DA8363C875,FALTER_20221005_AEB2C76D66
FALTER_20220518_B804602C3C,FALTER_20220406_B0F9C3BD78,FALTER_20221005_AEB2C76D66,FALTER_20220126_686D36A25A,FALTER_20220406_B0F9C3BD78,FALTER_20220518_B804602C3C
FALTER_20211222_E7A625F5A8,FALTER_20220406_DA8363C875,FALTER_20211222_40076C3AB9,FALTER_20220323_A9D672E0A5,FALTER_20220406_DA8363C875,FALTER_20220323_A9D672E0A5
FALTER_20220316_7F1941A3EA,FALTER_20220921_5C8C32E30D,FALTER_20220622_A64E9B9B08,FALTER_20220202_61227AC28E,FALTER_20220921_5C8C32E30D,FALTER_20220622_A64E9B9B08
FALTER_20220511_6268F6609B,FALTER_20220518_48A2BFD79B,FALTER_20211215_4ADEB44811,FALTER_20211222_E7A625F5A8,FALTER_20220518_48A2BFD79B,FALTER_20211215_4ADEB44811
FALTER_20220126_686D36A25A,FALTER_20220518_B804602C3C,FALTER_20220518_48A2BFD79B,FALTER_20211215_4ADEB44811,FALTER_20220518_48A2BFD79B,FALTER_20220518_B804602C3C
