AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220907_071745C7DD,FALTER_20220216_0CFAC71764,FALTER_20220309_42A389810E,FALTER_20220302_672863FB5A,FALTER_20220309_42A389810E,FALTER_20220216_0CFAC71764
FALTER_20221012_D6A09D0DB1,FALTER_20221102_92EEC85C8A,FALTER_20220316_C33003D020,FALTER_20220216_154FB2A50F,FALTER_20221102_92EEC85C8A,FALTER_20221012_D6A09D0DB1
FALTER_20211222_96F3A54AA0,FALTER_20220302_19351A344E,FALTER_20220323_A229E0EDC3,FALTER_20220223_EB79F5F51E,FALTER_20220223_EB79F5F51E,FALTER_20211222_96F3A54AA0
FALTER_20220420_03E73B0284,FALTER_20220928_E5DF2B1850,FALTER_20220309_0239B6A0BC,FALTER_20221102_92EEC85C8A,FALTER_20220420_03E73B0284,FALTER_20220309_0239B6A0BC
FALTER_20220316_C33003D020,FALTER_20220309_42A389810E,FALTER_20220302_19351A344E,FALTER_20211222_96F3A54AA0,FALTER_20220309_42A389810E,FALTER_20211222_96F3A54AA0
FALTER_20220223_EB79F5F51E,FALTER_20221012_D6A09D0DB1,FALTER_20220302_672863FB5A,FALTER_20220216_0CFAC71764,FALTER_20220302_672863FB5A,FALTER_20221012_D6A09D0DB1
FALTER_20220216_154FB2A50F,FALTER_20220420_03E73B0284,FALTER_20220323_A229E0EDC3,FALTER_20220907_071745C7DD,FALTER_20220420_03E73B0284,FALTER_20220216_154FB2A50F
FALTER_20220928_E5DF2B1850,FALTER_20220309_0239B6A0BC,FALTER_20220216_0CFAC71764,FALTER_20220223_EB79F5F51E,FALTER_20220223_EB79F5F51E,FALTER_20220309_0239B6A0BC
FALTER_20221102_92EEC85C8A,FALTER_20220309_42A389810E,FALTER_20220928_E5DF2B1850,FALTER_20220216_154FB2A50F,FALTER_20220309_42A389810E,FALTER_20220216_154FB2A50F
FALTER_20211222_96F3A54AA0,FALTER_20220302_672863FB5A,FALTER_20220907_071745C7DD,FALTER_20220323_A229E0EDC3,FALTER_20220907_071745C7DD,FALTER_20211222_96F3A54AA0
FALTER_20221012_D6A09D0DB1,FALTER_20220420_03E73B0284,FALTER_20220316_C33003D020,FALTER_20220302_19351A344E,FALTER_20220420_03E73B0284,FALTER_20220316_C33003D020
FALTER_20220309_0239B6A0BC,FALTER_20220323_A229E0EDC3,FALTER_20220928_E5DF2B1850,FALTER_20220216_154FB2A50F,FALTER_20220323_A229E0EDC3,FALTER_20220309_0239B6A0BC
FALTER_20220302_672863FB5A,FALTER_20220907_071745C7DD,FALTER_20211222_96F3A54AA0,FALTER_20220420_03E73B0284,FALTER_20220420_03E73B0284,FALTER_20211222_96F3A54AA0
FALTER_20220309_0239B6A0BC,FALTER_20220302_19351A344E,FALTER_20221012_D6A09D0DB1,FALTER_20220309_42A389810E,FALTER_20220309_42A389810E,FALTER_20220309_0239B6A0BC
FALTER_20220216_0CFAC71764,FALTER_20220223_EB79F5F51E,FALTER_20220316_C33003D020,FALTER_20221102_92EEC85C8A,FALTER_20221102_92EEC85C8A,FALTER_20220216_0CFAC71764
FALTER_20220907_071745C7DD,FALTER_20220309_42A389810E,FALTER_20221102_92EEC85C8A,FALTER_20220223_EB79F5F51E,FALTER_20220309_42A389810E,FALTER_20220907_071745C7DD
FALTER_20220216_154FB2A50F,FALTER_20220316_C33003D020,FALTER_20220216_0CFAC71764,FALTER_20220309_0239B6A0BC,FALTER_20220216_0CFAC71764,FALTER_20220309_0239B6A0BC
FALTER_20220302_672863FB5A,FALTER_20221012_D6A09D0DB1,FALTER_20220928_E5DF2B1850,FALTER_20220302_19351A344E,FALTER_20220302_672863FB5A,FALTER_20221012_D6A09D0DB1
FALTER_20220323_A229E0EDC3,FALTER_20220420_03E73B0284,FALTER_20211222_96F3A54AA0,FALTER_20220216_154FB2A50F,FALTER_20220420_03E73B0284,FALTER_20211222_96F3A54AA0
FALTER_20220223_EB79F5F51E,FALTER_20220907_071745C7DD,FALTER_20220420_03E73B0284,FALTER_20211222_96F3A54AA0,FALTER_20220420_03E73B0284,FALTER_20211222_96F3A54AA0
FALTER_20220928_E5DF2B1850,FALTER_20220316_C33003D020,FALTER_20220302_19351A344E,FALTER_20220323_A229E0EDC3,FALTER_20220928_E5DF2B1850,FALTER_20220302_19351A344E
FALTER_20221102_92EEC85C8A,FALTER_20220302_672863FB5A,FALTER_20220309_0239B6A0BC,FALTER_20221012_D6A09D0DB1,FALTER_20220302_672863FB5A,FALTER_20220309_0239B6A0BC
