AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220824_23AE4161B4,FALTER_20211222_40076C3AB9,FALTER_20220420_130E405AF0,FALTER_20220330_73CAF44312,FALTER_20220420_130E405AF0,FALTER_20211222_40076C3AB9
FALTER_20221005_AEB2C76D66,FALTER_20221026_792F2C3031,FALTER_20220427_169DDC1CA3,FALTER_20211222_A35407C20B,FALTER_20220427_169DDC1CA3,FALTER_20221005_AEB2C76D66
FALTER_20211215_4EF6167A2A,FALTER_20220316_E42C899665,FALTER_20220511_FBF1B6E8BF,FALTER_20220223_CDDF5A96F6,FALTER_20211215_4EF6167A2A,FALTER_20220316_E42C899665
FALTER_20220720_D1344797F8,FALTER_20220928_1A92012FF7,FALTER_20220413_EDC7023A23,FALTER_20221026_792F2C3031,FALTER_20220720_D1344797F8,FALTER_20220413_EDC7023A23
FALTER_20220427_169DDC1CA3,FALTER_20220420_130E405AF0,FALTER_20220316_E42C899665,FALTER_20211215_4EF6167A2A,FALTER_20211215_4EF6167A2A,FALTER_20220316_E42C899665
FALTER_20220223_CDDF5A96F6,FALTER_20221005_AEB2C76D66,FALTER_20220330_73CAF44312,FALTER_20211222_40076C3AB9,FALTER_20220223_CDDF5A96F6,FALTER_20221005_AEB2C76D66
FALTER_20211222_A35407C20B,FALTER_20220720_D1344797F8,FALTER_20220511_FBF1B6E8BF,FALTER_20220824_23AE4161B4,FALTER_20220720_D1344797F8,FALTER_20211222_A35407C20B
FALTER_20220928_1A92012FF7,FALTER_20220413_EDC7023A23,FALTER_20211222_40076C3AB9,FALTER_20220223_CDDF5A96F6,FALTER_20220928_1A92012FF7,FALTER_20211222_40076C3AB9
FALTER_20221026_792F2C3031,FALTER_20220420_130E405AF0,FALTER_20220928_1A92012FF7,FALTER_20211222_A35407C20B,FALTER_20220420_130E405AF0,FALTER_20211222_A35407C20B
FALTER_20211215_4EF6167A2A,FALTER_20220330_73CAF44312,FALTER_20220824_23AE4161B4,FALTER_20220511_FBF1B6E8BF,FALTER_20211215_4EF6167A2A,FALTER_20220824_23AE4161B4
FALTER_20221005_AEB2C76D66,FALTER_20220720_D1344797F8,FALTER_20220427_169DDC1CA3,FALTER_20220316_E42C899665,FALTER_20220427_169DDC1CA3,FALTER_20220316_E42C899665
FALTER_20220413_EDC7023A23,FALTER_20220511_FBF1B6E8BF,FALTER_20220928_1A92012FF7,FALTER_20211222_A35407C20B,FALTER_20220511_FBF1B6E8BF,FALTER_20211222_A35407C20B
FALTER_20220330_73CAF44312,FALTER_20220824_23AE4161B4,FALTER_20211215_4EF6167A2A,FALTER_20220720_D1344797F8,FALTER_20211215_4EF6167A2A,FALTER_20220824_23AE4161B4
FALTER_20220413_EDC7023A23,FALTER_20220316_E42C899665,FALTER_20221005_AEB2C76D66,FALTER_20220420_130E405AF0,FALTER_20220420_130E405AF0,FALTER_20221005_AEB2C76D66
FALTER_20211222_40076C3AB9,FALTER_20220223_CDDF5A96F6,FALTER_20220427_169DDC1CA3,FALTER_20221026_792F2C3031,FALTER_20220427_169DDC1CA3,FALTER_20211222_40076C3AB9
FALTER_20220824_23AE4161B4,FALTER_20220420_130E405AF0,FALTER_20221026_792F2C3031,FALTER_20220223_CDDF5A96F6,FALTER_20220420_130E405AF0,FALTER_20220824_23AE4161B4
FALTER_20211222_A35407C20B,FALTER_20220427_169DDC1CA3,FALTER_20211222_40076C3AB9,FALTER_20220413_EDC7023A23,FALTER_20220427_169DDC1CA3,FALTER_20211222_40076C3AB9
FALTER_20220330_73CAF44312,FALTER_20221005_AEB2C76D66,FALTER_20220928_1A92012FF7,FALTER_20220316_E42C899665,FALTER_20220928_1A92012FF7,FALTER_20221005_AEB2C76D66
FALTER_20220511_FBF1B6E8BF,FALTER_20220720_D1344797F8,FALTER_20211215_4EF6167A2A,FALTER_20211222_A35407C20B,FALTER_20211215_4EF6167A2A,FALTER_20211222_A35407C20B
FALTER_20220223_CDDF5A96F6,FALTER_20220824_23AE4161B4,FALTER_20220720_D1344797F8,FALTER_20211215_4EF6167A2A,FALTER_20211215_4EF6167A2A,FALTER_20220824_23AE4161B4
FALTER_20220928_1A92012FF7,FALTER_20220427_169DDC1CA3,FALTER_20220316_E42C899665,FALTER_20220511_FBF1B6E8BF,FALTER_20220427_169DDC1CA3,FALTER_20220316_E42C899665
FALTER_20221026_792F2C3031,FALTER_20220330_73CAF44312,FALTER_20220413_EDC7023A23,FALTER_20221005_AEB2C76D66,FALTER_20221026_792F2C3031,FALTER_20221005_AEB2C76D66
FALTER_20220420_130E405AF0,FALTER_20211222_40076C3AB9,FALTER_20220928_1A92012FF7,FALTER_20211215_4EF6167A2A,FALTER_20211215_4EF6167A2A,FALTER_20211222_40076C3AB9
FALTER_20211222_A35407C20B,FALTER_20220420_130E405AF0,FALTER_20220330_73CAF44312,FALTER_20221005_AEB2C76D66,FALTER_20220420_130E405AF0,FALTER_20221005_AEB2C76D66
FALTER_20220720_D1344797F8,FALTER_20220413_EDC7023A23,FALTER_20220223_CDDF5A96F6,FALTER_20220316_E42C899665,FALTER_20220720_D1344797F8,FALTER_20220316_E42C899665
