AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221005_CAE3B6980C,FALTER_20220216_0CFAC71764,FALTER_20220518_B804602C3C,FALTER_20220330_42D1E9970A,FALTER_20221005_CAE3B6980C,FALTER_20220330_42D1E9970A
FALTER_20221109_153991C14D,FALTER_20221109_F45292DD67,FALTER_20220622_3C4302B106,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_E0E0B5AA9A,FALTER_20221109_153991C14D
FALTER_20211222_40076C3AB9,FALTER_20220323_2CE7FEE241,FALTER_20220824_4FE804C1B1,FALTER_20220316_D60200B0E2,FALTER_20220323_2CE7FEE241,FALTER_20220824_4FE804C1B1
FALTER_20220831_996BEDEA5E,FALTER_20221019_F87E70B8F5,FALTER_20220504_05D47A7910,FALTER_20221109_F45292DD67,FALTER_20220831_996BEDEA5E,FALTER_20220504_05D47A7910
FALTER_20220622_3C4302B106,FALTER_20220518_B804602C3C,FALTER_20220323_2CE7FEE241,FALTER_20211222_40076C3AB9,FALTER_20220323_2CE7FEE241,FALTER_20211222_40076C3AB9
FALTER_20220316_D60200B0E2,FALTER_20221109_153991C14D,FALTER_20220330_42D1E9970A,FALTER_20220216_0CFAC71764,FALTER_20220316_D60200B0E2,FALTER_20220330_42D1E9970A
FALTER_20220309_E0E0B5AA9A,FALTER_20220831_996BEDEA5E,FALTER_20220824_4FE804C1B1,FALTER_20221005_CAE3B6980C,FALTER_20220831_996BEDEA5E,FALTER_20220824_4FE804C1B1
FALTER_20221019_F87E70B8F5,FALTER_20220504_05D47A7910,FALTER_20220216_0CFAC71764,FALTER_20220316_D60200B0E2,FALTER_20220316_D60200B0E2,FALTER_20220504_05D47A7910
FALTER_20221109_F45292DD67,FALTER_20220518_B804602C3C,FALTER_20221019_F87E70B8F5,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_E0E0B5AA9A,FALTER_20221109_F45292DD67
FALTER_20211222_40076C3AB9,FALTER_20220330_42D1E9970A,FALTER_20221005_CAE3B6980C,FALTER_20220824_4FE804C1B1,FALTER_20221005_CAE3B6980C,FALTER_20220824_4FE804C1B1
FALTER_20221109_153991C14D,FALTER_20220831_996BEDEA5E,FALTER_20220622_3C4302B106,FALTER_20220323_2CE7FEE241,FALTER_20220323_2CE7FEE241,FALTER_20221109_153991C14D
FALTER_20220504_05D47A7910,FALTER_20220824_4FE804C1B1,FALTER_20221019_F87E70B8F5,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_E0E0B5AA9A,FALTER_20220824_4FE804C1B1
FALTER_20220330_42D1E9970A,FALTER_20221005_CAE3B6980C,FALTER_20211222_40076C3AB9,FALTER_20220831_996BEDEA5E,FALTER_20220831_996BEDEA5E,FALTER_20220330_42D1E9970A
FALTER_20220504_05D47A7910,FALTER_20220323_2CE7FEE241,FALTER_20221109_153991C14D,FALTER_20220518_B804602C3C,FALTER_20220323_2CE7FEE241,FALTER_20221109_153991C14D
FALTER_20220216_0CFAC71764,FALTER_20220316_D60200B0E2,FALTER_20220622_3C4302B106,FALTER_20221109_F45292DD67,FALTER_20220316_D60200B0E2,FALTER_20220622_3C4302B106
FALTER_20221005_CAE3B6980C,FALTER_20220518_B804602C3C,FALTER_20221109_F45292DD67,FALTER_20220316_D60200B0E2,FALTER_20221005_CAE3B6980C,FALTER_20221109_F45292DD67
FALTER_20220309_E0E0B5AA9A,FALTER_20220622_3C4302B106,FALTER_20220216_0CFAC71764,FALTER_20220504_05D47A7910,FALTER_20220309_E0E0B5AA9A,FALTER_20220504_05D47A7910
FALTER_20220330_42D1E9970A,FALTER_20221109_153991C14D,FALTER_20221019_F87E70B8F5,FALTER_20220323_2CE7FEE241,FALTER_20220323_2CE7FEE241,FALTER_20220330_42D1E9970A
FALTER_20220824_4FE804C1B1,FALTER_20220831_996BEDEA5E,FALTER_20211222_40076C3AB9,FALTER_20220309_E0E0B5AA9A,FALTER_20220831_996BEDEA5E,FALTER_20220824_4FE804C1B1
FALTER_20220316_D60200B0E2,FALTER_20221005_CAE3B6980C,FALTER_20220831_996BEDEA5E,FALTER_20211222_40076C3AB9,FALTER_20220831_996BEDEA5E,FALTER_20211222_40076C3AB9
FALTER_20221019_F87E70B8F5,FALTER_20220622_3C4302B106,FALTER_20220323_2CE7FEE241,FALTER_20220824_4FE804C1B1,FALTER_20220323_2CE7FEE241,FALTER_20220824_4FE804C1B1
FALTER_20221109_F45292DD67,FALTER_20220330_42D1E9970A,FALTER_20220504_05D47A7910,FALTER_20221109_153991C14D,FALTER_20221109_F45292DD67,FALTER_20220330_42D1E9970A
FALTER_20220518_B804602C3C,FALTER_20220216_0CFAC71764,FALTER_20221019_F87E70B8F5,FALTER_20211222_40076C3AB9,FALTER_20220216_0CFAC71764,FALTER_20211222_40076C3AB9
FALTER_20220309_E0E0B5AA9A,FALTER_20220518_B804602C3C,FALTER_20220330_42D1E9970A,FALTER_20221109_153991C14D,FALTER_20220309_E0E0B5AA9A,FALTER_20220330_42D1E9970A
FALTER_20220831_996BEDEA5E,FALTER_20220504_05D47A7910,FALTER_20220316_D60200B0E2,FALTER_20220323_2CE7FEE241,FALTER_20220831_996BEDEA5E,FALTER_20220504_05D47A7910
FALTER_20220622_3C4302B106,FALTER_20221005_CAE3B6980C,FALTER_20220216_0CFAC71764,FALTER_20221109_F45292DD67,FALTER_20221005_CAE3B6980C,FALTER_20221109_F45292DD67
FALTER_20220824_4FE804C1B1,FALTER_20220330_42D1E9970A,FALTER_20220216_0CFAC71764,FALTER_20220831_996BEDEA5E,FALTER_20220831_996BEDEA5E,FALTER_20220330_42D1E9970A
FALTER_20220323_2CE7FEE241,FALTER_20220309_E0E0B5AA9A,FALTER_20220504_05D47A7910,FALTER_20221005_CAE3B6980C,FALTER_20220323_2CE7FEE241,FALTER_20220504_05D47A7910
FALTER_20220622_3C4302B106,FALTER_20221109_F45292DD67,FALTER_20220824_4FE804C1B1,FALTER_20220316_D60200B0E2,FALTER_20220316_D60200B0E2,FALTER_20220824_4FE804C1B1
FALTER_20221109_153991C14D,FALTER_20221019_F87E70B8F5,FALTER_20220518_B804602C3C,FALTER_20211222_40076C3AB9,FALTER_20221019_F87E70B8F5,FALTER_20221109_153991C14D
