AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221026_0EDFE61C97,FALTER_20220126_423CDDDBE2,FALTER_20220727_D4EFFDE2C9,FALTER_20220518_AF1DAF3E84,FALTER_20220126_423CDDDBE2,FALTER_20220727_D4EFFDE2C9
FALTER_20221123_B107F87D4A,FALTER_20221207_768990F210,FALTER_20220810_F3E73967E3,FALTER_20220216_A4E46A332D,FALTER_20220216_A4E46A332D,FALTER_20221123_B107F87D4A
FALTER_20211222_4964EEDB12,FALTER_20220420_3F1EDF41C2,FALTER_20220914_80FA8EE8BB,FALTER_20220302_EEEFB19294,FALTER_20220914_80FA8EE8BB,FALTER_20220420_3F1EDF41C2
FALTER_20221019_0CA617E1B5,FALTER_20221116_2A590A813A,FALTER_20220608_0942739322,FALTER_20221207_768990F210,FALTER_20220608_0942739322,FALTER_20221207_768990F210
FALTER_20220810_F3E73967E3,FALTER_20220727_D4EFFDE2C9,FALTER_20220420_3F1EDF41C2,FALTER_20211222_4964EEDB12,FALTER_20220810_F3E73967E3,FALTER_20211222_4964EEDB12
FALTER_20220302_EEEFB19294,FALTER_20221123_B107F87D4A,FALTER_20220518_AF1DAF3E84,FALTER_20220126_423CDDDBE2,FALTER_20221123_B107F87D4A,FALTER_20220518_AF1DAF3E84
FALTER_20220216_A4E46A332D,FALTER_20221019_0CA617E1B5,FALTER_20220914_80FA8EE8BB,FALTER_20221026_0EDFE61C97,FALTER_20220914_80FA8EE8BB,FALTER_20221026_0EDFE61C97
FALTER_20221116_2A590A813A,FALTER_20220608_0942739322,FALTER_20220126_423CDDDBE2,FALTER_20220302_EEEFB19294,FALTER_20220608_0942739322,FALTER_20220126_423CDDDBE2
FALTER_20221207_768990F210,FALTER_20220727_D4EFFDE2C9,FALTER_20221116_2A590A813A,FALTER_20220216_A4E46A332D,FALTER_20220216_A4E46A332D,FALTER_20221207_768990F210
FALTER_20211222_4964EEDB12,FALTER_20220518_AF1DAF3E84,FALTER_20221026_0EDFE61C97,FALTER_20220914_80FA8EE8BB,FALTER_20220914_80FA8EE8BB,FALTER_20211222_4964EEDB12
FALTER_20221123_B107F87D4A,FALTER_20221019_0CA617E1B5,FALTER_20220810_F3E73967E3,FALTER_20220420_3F1EDF41C2,FALTER_20221123_B107F87D4A,FALTER_20220420_3F1EDF41C2
FALTER_20220608_0942739322,FALTER_20220914_80FA8EE8BB,FALTER_20221116_2A590A813A,FALTER_20220216_A4E46A332D,FALTER_20220608_0942739322,FALTER_20221116_2A590A813A
FALTER_20220518_AF1DAF3E84,FALTER_20221026_0EDFE61C97,FALTER_20211222_4964EEDB12,FALTER_20221019_0CA617E1B5,FALTER_20221019_0CA617E1B5,FALTER_20211222_4964EEDB12
FALTER_20220608_0942739322,FALTER_20220420_3F1EDF41C2,FALTER_20221123_B107F87D4A,FALTER_20220727_D4EFFDE2C9,FALTER_20220608_0942739322,FALTER_20220420_3F1EDF41C2
FALTER_20220126_423CDDDBE2,FALTER_20220302_EEEFB19294,FALTER_20220810_F3E73967E3,FALTER_20221207_768990F210,FALTER_20220126_423CDDDBE2,FALTER_20221207_768990F210
FALTER_20221026_0EDFE61C97,FALTER_20220727_D4EFFDE2C9,FALTER_20221207_768990F210,FALTER_20220302_EEEFB19294,FALTER_20221026_0EDFE61C97,FALTER_20221207_768990F210
FALTER_20220216_A4E46A332D,FALTER_20220810_F3E73967E3,FALTER_20220126_423CDDDBE2,FALTER_20220608_0942739322,FALTER_20220608_0942739322,FALTER_20220216_A4E46A332D
