AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220803_F2C9E4BA31,FALTER_20220302_5B02AED7A2,FALTER_20220413_EDC7023A23,FALTER_20220323_A229E0EDC3,FALTER_20220302_5B02AED7A2,FALTER_20220413_EDC7023A23
FALTER_20220928_E5DF2B1850,FALTER_20221005_0C36289EFB,FALTER_20220420_C63F753BEC,FALTER_20220309_54EDF6DE99,FALTER_20220309_54EDF6DE99,FALTER_20220928_E5DF2B1850
FALTER_20220302_19351A344E,FALTER_20220316_8AE2382F6B,FALTER_20220518_B804602C3C,FALTER_20220316_5CF345D5B2,FALTER_20220316_8AE2382F6B,FALTER_20220302_19351A344E
FALTER_20220518_D9551C3082,FALTER_20220921_22135BD9FB,FALTER_20220406_CFF3E4B722,FALTER_20221005_0C36289EFB,FALTER_20220518_D9551C3082,FALTER_20220921_22135BD9FB
FALTER_20220420_C63F753BEC,FALTER_20220413_EDC7023A23,FALTER_20220316_8AE2382F6B,FALTER_20220302_19351A344E,FALTER_20220316_8AE2382F6B,FALTER_20220413_EDC7023A23
FALTER_20220316_5CF345D5B2,FALTER_20220928_E5DF2B1850,FALTER_20220323_A229E0EDC3,FALTER_20220302_5B02AED7A2,FALTER_20220302_5B02AED7A2,FALTER_20220928_E5DF2B1850
FALTER_20220309_54EDF6DE99,FALTER_20220518_D9551C3082,FALTER_20220518_B804602C3C,FALTER_20220803_F2C9E4BA31,FALTER_20220803_F2C9E4BA31,FALTER_20220518_D9551C3082
FALTER_20220921_22135BD9FB,FALTER_20220406_CFF3E4B722,FALTER_20220302_5B02AED7A2,FALTER_20220316_5CF345D5B2,FALTER_20220302_5B02AED7A2,FALTER_20220921_22135BD9FB
FALTER_20221005_0C36289EFB,FALTER_20220413_EDC7023A23,FALTER_20220921_22135BD9FB,FALTER_20220309_54EDF6DE99,FALTER_20220309_54EDF6DE99,FALTER_20220413_EDC7023A23
FALTER_20220302_19351A344E,FALTER_20220323_A229E0EDC3,FALTER_20220803_F2C9E4BA31,FALTER_20220518_B804602C3C,FALTER_20220323_A229E0EDC3,FALTER_20220302_19351A344E
FALTER_20220928_E5DF2B1850,FALTER_20220518_D9551C3082,FALTER_20220420_C63F753BEC,FALTER_20220316_8AE2382F6B,FALTER_20220316_8AE2382F6B,FALTER_20220928_E5DF2B1850
FALTER_20220406_CFF3E4B722,FALTER_20220518_B804602C3C,FALTER_20220921_22135BD9FB,FALTER_20220309_54EDF6DE99,FALTER_20220406_CFF3E4B722,FALTER_20220921_22135BD9FB
FALTER_20220323_A229E0EDC3,FALTER_20220803_F2C9E4BA31,FALTER_20220302_19351A344E,FALTER_20220518_D9551C3082,FALTER_20220323_A229E0EDC3,FALTER_20220302_19351A344E
FALTER_20220406_CFF3E4B722,FALTER_20220316_8AE2382F6B,FALTER_20220928_E5DF2B1850,FALTER_20220413_EDC7023A23,FALTER_20220406_CFF3E4B722,FALTER_20220413_EDC7023A23
FALTER_20220302_5B02AED7A2,FALTER_20220316_5CF345D5B2,FALTER_20220420_C63F753BEC,FALTER_20221005_0C36289EFB,FALTER_20220316_5CF345D5B2,FALTER_20221005_0C36289EFB
FALTER_20220803_F2C9E4BA31,FALTER_20220413_EDC7023A23,FALTER_20221005_0C36289EFB,FALTER_20220316_5CF345D5B2,FALTER_20220803_F2C9E4BA31,FALTER_20220413_EDC7023A23
FALTER_20220309_54EDF6DE99,FALTER_20220420_C63F753BEC,FALTER_20220302_5B02AED7A2,FALTER_20220406_CFF3E4B722,FALTER_20220406_CFF3E4B722,FALTER_20220420_C63F753BEC
FALTER_20220323_A229E0EDC3,FALTER_20220928_E5DF2B1850,FALTER_20220921_22135BD9FB,FALTER_20220316_8AE2382F6B,FALTER_20220323_A229E0EDC3,FALTER_20220928_E5DF2B1850
FALTER_20220518_B804602C3C,FALTER_20220518_D9551C3082,FALTER_20220302_19351A344E,FALTER_20220309_54EDF6DE99,FALTER_20220309_54EDF6DE99,FALTER_20220518_D9551C3082
FALTER_20220316_5CF345D5B2,FALTER_20220803_F2C9E4BA31,FALTER_20220518_D9551C3082,FALTER_20220302_19351A344E,FALTER_20220316_5CF345D5B2,FALTER_20220803_F2C9E4BA31
FALTER_20220921_22135BD9FB,FALTER_20220420_C63F753BEC,FALTER_20220316_8AE2382F6B,FALTER_20220518_B804602C3C,FALTER_20220316_8AE2382F6B,FALTER_20220921_22135BD9FB
FALTER_20221005_0C36289EFB,FALTER_20220323_A229E0EDC3,FALTER_20220406_CFF3E4B722,FALTER_20220928_E5DF2B1850,FALTER_20220323_A229E0EDC3,FALTER_20220928_E5DF2B1850
FALTER_20220413_EDC7023A23,FALTER_20220302_5B02AED7A2,FALTER_20220921_22135BD9FB,FALTER_20220302_19351A344E,FALTER_20220302_5B02AED7A2,FALTER_20220413_EDC7023A23
FALTER_20220309_54EDF6DE99,FALTER_20220413_EDC7023A23,FALTER_20220323_A229E0EDC3,FALTER_20220928_E5DF2B1850,FALTER_20220323_A229E0EDC3,FALTER_20220413_EDC7023A23
FALTER_20220518_D9551C3082,FALTER_20220406_CFF3E4B722,FALTER_20220316_5CF345D5B2,FALTER_20220316_8AE2382F6B,FALTER_20220316_5CF345D5B2,FALTER_20220518_D9551C3082
FALTER_20220420_C63F753BEC,FALTER_20220803_F2C9E4BA31,FALTER_20220302_5B02AED7A2,FALTER_20221005_0C36289EFB,FALTER_20220302_5B02AED7A2,FALTER_20220420_C63F753BEC
FALTER_20220518_B804602C3C,FALTER_20220323_A229E0EDC3,FALTER_20220302_5B02AED7A2,FALTER_20220518_D9551C3082,FALTER_20220323_A229E0EDC3,FALTER_20220518_B804602C3C
FALTER_20220316_8AE2382F6B,FALTER_20220309_54EDF6DE99,FALTER_20220406_CFF3E4B722,FALTER_20220803_F2C9E4BA31,FALTER_20220316_8AE2382F6B,FALTER_20220309_54EDF6DE99
FALTER_20220420_C63F753BEC,FALTER_20221005_0C36289EFB,FALTER_20220518_B804602C3C,FALTER_20220316_5CF345D5B2,FALTER_20220316_5CF345D5B2,FALTER_20220420_C63F753BEC
FALTER_20220928_E5DF2B1850,FALTER_20220921_22135BD9FB,FALTER_20220413_EDC7023A23,FALTER_20220302_19351A344E,FALTER_20220302_19351A344E,FALTER_20220928_E5DF2B1850
