AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220928_C7F1FD40C8,FALTER_20220302_2636725DD5,FALTER_20220406_38961C830C,FALTER_20220316_C99BBA71AA,FALTER_20220302_2636725DD5,FALTER_20220928_C7F1FD40C8
FALTER_20221102_CA7B580DFC,FALTER_20221109_A2B42AA97C,FALTER_20220518_9910096646,FALTER_20220309_1C6B8418BE,FALTER_20220518_9910096646,FALTER_20221102_CA7B580DFC
FALTER_20220302_19351A344E,FALTER_20220309_C7D1CAC2CC,FALTER_20220727_ABE58D8343,FALTER_20220309_42E429DB72,FALTER_20220309_C7D1CAC2CC,FALTER_20220727_ABE58D8343
FALTER_20220907_071745C7DD,FALTER_20221019_9120B4D0D7,FALTER_20220323_621ACE13A9,FALTER_20221109_A2B42AA97C,FALTER_20220323_621ACE13A9,FALTER_20221019_9120B4D0D7
FALTER_20220518_9910096646,FALTER_20220406_38961C830C,FALTER_20220309_C7D1CAC2CC,FALTER_20220302_19351A344E,FALTER_20220406_38961C830C,FALTER_20220302_19351A344E
FALTER_20220309_42E429DB72,FALTER_20221102_CA7B580DFC,FALTER_20220316_C99BBA71AA,FALTER_20220302_2636725DD5,FALTER_20220309_42E429DB72,FALTER_20221102_CA7B580DFC
FALTER_20220309_1C6B8418BE,FALTER_20220907_071745C7DD,FALTER_20220727_ABE58D8343,FALTER_20220928_C7F1FD40C8,FALTER_20220309_1C6B8418BE,FALTER_20220727_ABE58D8343
FALTER_20221019_9120B4D0D7,FALTER_20220323_621ACE13A9,FALTER_20220302_2636725DD5,FALTER_20220309_42E429DB72,FALTER_20220323_621ACE13A9,FALTER_20221019_9120B4D0D7
FALTER_20221109_A2B42AA97C,FALTER_20220406_38961C830C,FALTER_20221019_9120B4D0D7,FALTER_20220309_1C6B8418BE,FALTER_20220406_38961C830C,FALTER_20221109_A2B42AA97C
FALTER_20220302_19351A344E,FALTER_20220316_C99BBA71AA,FALTER_20220928_C7F1FD40C8,FALTER_20220727_ABE58D8343,FALTER_20220316_C99BBA71AA,FALTER_20220302_19351A344E
FALTER_20221102_CA7B580DFC,FALTER_20220907_071745C7DD,FALTER_20220518_9910096646,FALTER_20220309_C7D1CAC2CC,FALTER_20220309_C7D1CAC2CC,FALTER_20221102_CA7B580DFC
FALTER_20220323_621ACE13A9,FALTER_20220727_ABE58D8343,FALTER_20221019_9120B4D0D7,FALTER_20220309_1C6B8418BE,FALTER_20220323_621ACE13A9,FALTER_20221019_9120B4D0D7
FALTER_20220316_C99BBA71AA,FALTER_20220928_C7F1FD40C8,FALTER_20220302_19351A344E,FALTER_20220907_071745C7DD,FALTER_20220316_C99BBA71AA,FALTER_20220907_071745C7DD
