AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220518_FC5FC33C3D,FALTER_20211222_FD8F17EAB4,FALTER_20220504_E5FD52ABF3,FALTER_20220504_21926FB373,FALTER_20220504_21926FB373,FALTER_20211222_FD8F17EAB4
FALTER_20220713_038D7E7989,FALTER_20220921_22135BD9FB,FALTER_20220511_3AA9B1253E,FALTER_20220202_4D9BB86D11,FALTER_20220713_038D7E7989,FALTER_20220202_4D9BB86D11
FALTER_20211215_433FEB54B9,FALTER_20220413_EDC7023A23,FALTER_20220511_69C5FA68D4,FALTER_20220216_154FB2A50F,FALTER_20220511_69C5FA68D4,FALTER_20211215_433FEB54B9
FALTER_20220518_E9E880A78A,FALTER_20220608_793A4CE426,FALTER_20220504_88561D5AE3,FALTER_20220921_22135BD9FB,FALTER_20220504_88561D5AE3,FALTER_20220608_793A4CE426
FALTER_20220511_3AA9B1253E,FALTER_20220504_E5FD52ABF3,FALTER_20220413_EDC7023A23,FALTER_20211215_433FEB54B9,FALTER_20220511_3AA9B1253E,FALTER_20211215_433FEB54B9
FALTER_20220216_154FB2A50F,FALTER_20220713_038D7E7989,FALTER_20220504_21926FB373,FALTER_20211222_FD8F17EAB4,FALTER_20220504_21926FB373,FALTER_20220216_154FB2A50F
FALTER_20220202_4D9BB86D11,FALTER_20220518_E9E880A78A,FALTER_20220511_69C5FA68D4,FALTER_20220518_FC5FC33C3D,FALTER_20220511_69C5FA68D4,FALTER_20220202_4D9BB86D11
FALTER_20220608_793A4CE426,FALTER_20220504_88561D5AE3,FALTER_20211222_FD8F17EAB4,FALTER_20220216_154FB2A50F,FALTER_20220608_793A4CE426,FALTER_20220216_154FB2A50F
FALTER_20220921_22135BD9FB,FALTER_20220504_E5FD52ABF3,FALTER_20220608_793A4CE426,FALTER_20220202_4D9BB86D11,FALTER_20220921_22135BD9FB,FALTER_20220202_4D9BB86D11
FALTER_20211215_433FEB54B9,FALTER_20220504_21926FB373,FALTER_20220518_FC5FC33C3D,FALTER_20220511_69C5FA68D4,FALTER_20220504_21926FB373,FALTER_20220518_FC5FC33C3D
FALTER_20220713_038D7E7989,FALTER_20220518_E9E880A78A,FALTER_20220511_3AA9B1253E,FALTER_20220413_EDC7023A23,FALTER_20220713_038D7E7989,FALTER_20220413_EDC7023A23
