AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220928_C7F1FD40C8,FALTER_20220302_19351A344E,FALTER_20220420_C63F753BEC,FALTER_20220323_A229E0EDC3,FALTER_20220420_C63F753BEC,FALTER_20220323_A229E0EDC3
FALTER_20221102_92EEC85C8A,FALTER_20221109_F45292DD67,FALTER_20220518_D9551C3082,FALTER_20220309_54EDF6DE99,FALTER_20221102_92EEC85C8A,FALTER_20220518_D9551C3082
FALTER_20220216_0CFAC71764,FALTER_20220316_F51D71B7D9,FALTER_20220803_F2C9E4BA31,FALTER_20220309_C7D1CAC2CC,FALTER_20220216_0CFAC71764,FALTER_20220316_F51D71B7D9
FALTER_20220921_22135BD9FB,FALTER_20220928_E5DF2B1850,FALTER_20220406_C308FD970B,FALTER_20221109_F45292DD67,FALTER_20220921_22135BD9FB,FALTER_20221109_F45292DD67
FALTER_20220518_D9551C3082,FALTER_20220420_C63F753BEC,FALTER_20220316_F51D71B7D9,FALTER_20220216_0CFAC71764,FALTER_20220420_C63F753BEC,FALTER_20220518_D9551C3082
FALTER_20220309_C7D1CAC2CC,FALTER_20221102_92EEC85C8A,FALTER_20220323_A229E0EDC3,FALTER_20220302_19351A344E,FALTER_20220309_C7D1CAC2CC,FALTER_20220323_A229E0EDC3
FALTER_20220309_54EDF6DE99,FALTER_20220921_22135BD9FB,FALTER_20220803_F2C9E4BA31,FALTER_20220928_C7F1FD40C8,FALTER_20220309_54EDF6DE99,FALTER_20220803_F2C9E4BA31
FALTER_20220928_E5DF2B1850,FALTER_20220406_C308FD970B,FALTER_20220302_19351A344E,FALTER_20220309_C7D1CAC2CC,FALTER_20220309_C7D1CAC2CC,FALTER_20220406_C308FD970B
FALTER_20221109_F45292DD67,FALTER_20220420_C63F753BEC,FALTER_20220928_E5DF2B1850,FALTER_20220309_54EDF6DE99,FALTER_20220309_54EDF6DE99,FALTER_20220420_C63F753BEC
FALTER_20220216_0CFAC71764,FALTER_20220323_A229E0EDC3,FALTER_20220928_C7F1FD40C8,FALTER_20220803_F2C9E4BA31,FALTER_20220928_C7F1FD40C8,FALTER_20220323_A229E0EDC3
FALTER_20221102_92EEC85C8A,FALTER_20220921_22135BD9FB,FALTER_20220518_D9551C3082,FALTER_20220316_F51D71B7D9,FALTER_20220921_22135BD9FB,FALTER_20220518_D9551C3082
FALTER_20220406_C308FD970B,FALTER_20220803_F2C9E4BA31,FALTER_20220928_E5DF2B1850,FALTER_20220309_54EDF6DE99,FALTER_20220309_54EDF6DE99,FALTER_20220928_E5DF2B1850
FALTER_20220323_A229E0EDC3,FALTER_20220928_C7F1FD40C8,FALTER_20220216_0CFAC71764,FALTER_20220921_22135BD9FB,FALTER_20220216_0CFAC71764,FALTER_20220928_C7F1FD40C8
FALTER_20220406_C308FD970B,FALTER_20220316_F51D71B7D9,FALTER_20221102_92EEC85C8A,FALTER_20220420_C63F753BEC,FALTER_20221102_92EEC85C8A,FALTER_20220406_C308FD970B
FALTER_20220302_19351A344E,FALTER_20220309_C7D1CAC2CC,FALTER_20220518_D9551C3082,FALTER_20221109_F45292DD67,FALTER_20220309_C7D1CAC2CC,FALTER_20221109_F45292DD67
FALTER_20220928_C7F1FD40C8,FALTER_20220420_C63F753BEC,FALTER_20221109_F45292DD67,FALTER_20220309_C7D1CAC2CC,FALTER_20220928_C7F1FD40C8,FALTER_20221109_F45292DD67
FALTER_20220309_54EDF6DE99,FALTER_20220518_D9551C3082,FALTER_20220302_19351A344E,FALTER_20220406_C308FD970B,FALTER_20220309_54EDF6DE99,FALTER_20220302_19351A344E
FALTER_20220323_A229E0EDC3,FALTER_20221102_92EEC85C8A,FALTER_20220928_E5DF2B1850,FALTER_20220316_F51D71B7D9,FALTER_20221102_92EEC85C8A,FALTER_20220928_E5DF2B1850
FALTER_20220803_F2C9E4BA31,FALTER_20220921_22135BD9FB,FALTER_20220216_0CFAC71764,FALTER_20220309_54EDF6DE99,FALTER_20220921_22135BD9FB,FALTER_20220803_F2C9E4BA31
FALTER_20220309_C7D1CAC2CC,FALTER_20220928_C7F1FD40C8,FALTER_20220921_22135BD9FB,FALTER_20220216_0CFAC71764,FALTER_20220309_C7D1CAC2CC,FALTER_20220928_C7F1FD40C8
FALTER_20220928_E5DF2B1850,FALTER_20220518_D9551C3082,FALTER_20220316_F51D71B7D9,FALTER_20220803_F2C9E4BA31,FALTER_20220316_F51D71B7D9,FALTER_20220803_F2C9E4BA31
FALTER_20221109_F45292DD67,FALTER_20220323_A229E0EDC3,FALTER_20220406_C308FD970B,FALTER_20221102_92EEC85C8A,FALTER_20221102_92EEC85C8A,FALTER_20221109_F45292DD67
FALTER_20220420_C63F753BEC,FALTER_20220302_19351A344E,FALTER_20220928_E5DF2B1850,FALTER_20220216_0CFAC71764,FALTER_20220420_C63F753BEC,FALTER_20220928_E5DF2B1850
