AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220420_03E73B0284,FALTER_20220223_27DE9DFAF4,FALTER_20220323_9D2681AD74,FALTER_20220302_A898C15939,FALTER_20220323_9D2681AD74,FALTER_20220223_27DE9DFAF4
FALTER_20220824_55B72E76F9,FALTER_20220921_22135BD9FB,FALTER_20220323_A229E0EDC3,FALTER_20220302_0605724866,FALTER_20220824_55B72E76F9,FALTER_20220323_A229E0EDC3
FALTER_20220216_154FB2A50F,FALTER_20220302_5B02AED7A2,FALTER_20220323_B272A60E63,FALTER_20220302_19351A344E,FALTER_20220323_B272A60E63,FALTER_20220216_154FB2A50F
FALTER_20220413_EDC7023A23,FALTER_20220629_2D1EF3F677,FALTER_20220309_1C6B8418BE,FALTER_20220921_22135BD9FB,FALTER_20220921_22135BD9FB,FALTER_20220629_2D1EF3F677
FALTER_20220323_A229E0EDC3,FALTER_20220323_9D2681AD74,FALTER_20220302_5B02AED7A2,FALTER_20220216_154FB2A50F,FALTER_20220302_5B02AED7A2,FALTER_20220216_154FB2A50F
FALTER_20220302_19351A344E,FALTER_20220824_55B72E76F9,FALTER_20220302_A898C15939,FALTER_20220223_27DE9DFAF4,FALTER_20220824_55B72E76F9,FALTER_20220223_27DE9DFAF4
FALTER_20220302_0605724866,FALTER_20220413_EDC7023A23,FALTER_20220323_B272A60E63,FALTER_20220420_03E73B0284,FALTER_20220323_B272A60E63,FALTER_20220420_03E73B0284
FALTER_20220629_2D1EF3F677,FALTER_20220309_1C6B8418BE,FALTER_20220223_27DE9DFAF4,FALTER_20220302_19351A344E,FALTER_20220309_1C6B8418BE,FALTER_20220629_2D1EF3F677
FALTER_20220921_22135BD9FB,FALTER_20220323_9D2681AD74,FALTER_20220629_2D1EF3F677,FALTER_20220302_0605724866,FALTER_20220921_22135BD9FB,FALTER_20220629_2D1EF3F677
FALTER_20220216_154FB2A50F,FALTER_20220302_A898C15939,FALTER_20220420_03E73B0284,FALTER_20220323_B272A60E63,FALTER_20220302_A898C15939,FALTER_20220420_03E73B0284
