AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220713_038D7E7989,FALTER_20220216_154FB2A50F,FALTER_20220413_EDC7023A23,FALTER_20220309_1C6B8418BE,FALTER_20220713_038D7E7989,FALTER_20220413_EDC7023A23
FALTER_20220928_E5DF2B1850,FALTER_20221012_3169BAE28F,FALTER_20220420_10649CB743,FALTER_20220302_0605724866,FALTER_20221012_3169BAE28F,FALTER_20220420_10649CB743
FALTER_20220202_4D9BB86D11,FALTER_20220302_6D4E5FFAA4,FALTER_20220601_178086BAE3,FALTER_20220302_19351A344E,FALTER_20220601_178086BAE3,FALTER_20220202_4D9BB86D11
FALTER_20220601_AED8029EDB,FALTER_20220921_22135BD9FB,FALTER_20220316_F30762FB84,FALTER_20221012_3169BAE28F,FALTER_20220316_F30762FB84,FALTER_20220921_22135BD9FB
FALTER_20220420_10649CB743,FALTER_20220413_EDC7023A23,FALTER_20220302_6D4E5FFAA4,FALTER_20220202_4D9BB86D11,FALTER_20220420_10649CB743,FALTER_20220202_4D9BB86D11
FALTER_20220302_19351A344E,FALTER_20220928_E5DF2B1850,FALTER_20220309_1C6B8418BE,FALTER_20220216_154FB2A50F,FALTER_20220928_E5DF2B1850,FALTER_20220216_154FB2A50F
FALTER_20220302_0605724866,FALTER_20220601_AED8029EDB,FALTER_20220601_178086BAE3,FALTER_20220713_038D7E7989,FALTER_20220713_038D7E7989,FALTER_20220601_178086BAE3
FALTER_20220921_22135BD9FB,FALTER_20220316_F30762FB84,FALTER_20220216_154FB2A50F,FALTER_20220302_19351A344E,FALTER_20220316_F30762FB84,FALTER_20220302_19351A344E
FALTER_20221012_3169BAE28F,FALTER_20220413_EDC7023A23,FALTER_20220921_22135BD9FB,FALTER_20220302_0605724866,FALTER_20221012_3169BAE28F,FALTER_20220302_0605724866
FALTER_20220202_4D9BB86D11,FALTER_20220309_1C6B8418BE,FALTER_20220713_038D7E7989,FALTER_20220601_178086BAE3,FALTER_20220713_038D7E7989,FALTER_20220202_4D9BB86D11
FALTER_20220928_E5DF2B1850,FALTER_20220601_AED8029EDB,FALTER_20220420_10649CB743,FALTER_20220302_6D4E5FFAA4,FALTER_20220601_AED8029EDB,FALTER_20220420_10649CB743
FALTER_20220316_F30762FB84,FALTER_20220601_178086BAE3,FALTER_20220921_22135BD9FB,FALTER_20220302_0605724866,FALTER_20220316_F30762FB84,FALTER_20220302_0605724866
FALTER_20220309_1C6B8418BE,FALTER_20220713_038D7E7989,FALTER_20220202_4D9BB86D11,FALTER_20220601_AED8029EDB,FALTER_20220713_038D7E7989,FALTER_20220202_4D9BB86D11
FALTER_20220316_F30762FB84,FALTER_20220302_6D4E5FFAA4,FALTER_20220928_E5DF2B1850,FALTER_20220413_EDC7023A23,FALTER_20220316_F30762FB84,FALTER_20220302_6D4E5FFAA4
FALTER_20220216_154FB2A50F,FALTER_20220302_19351A344E,FALTER_20220420_10649CB743,FALTER_20221012_3169BAE28F,FALTER_20221012_3169BAE28F,FALTER_20220216_154FB2A50F
FALTER_20220713_038D7E7989,FALTER_20220413_EDC7023A23,FALTER_20221012_3169BAE28F,FALTER_20220302_19351A344E,FALTER_20221012_3169BAE28F,FALTER_20220713_038D7E7989
FALTER_20220302_0605724866,FALTER_20220420_10649CB743,FALTER_20220216_154FB2A50F,FALTER_20220316_F30762FB84,FALTER_20220316_F30762FB84,FALTER_20220216_154FB2A50F
FALTER_20220309_1C6B8418BE,FALTER_20220928_E5DF2B1850,FALTER_20220921_22135BD9FB,FALTER_20220302_6D4E5FFAA4,FALTER_20220921_22135BD9FB,FALTER_20220928_E5DF2B1850
FALTER_20220601_178086BAE3,FALTER_20220601_AED8029EDB,FALTER_20220202_4D9BB86D11,FALTER_20220302_0605724866,FALTER_20220601_AED8029EDB,FALTER_20220202_4D9BB86D11
FALTER_20220302_19351A344E,FALTER_20220713_038D7E7989,FALTER_20220601_AED8029EDB,FALTER_20220202_4D9BB86D11,FALTER_20220713_038D7E7989,FALTER_20220202_4D9BB86D11
FALTER_20220921_22135BD9FB,FALTER_20220420_10649CB743,FALTER_20220302_6D4E5FFAA4,FALTER_20220601_178086BAE3,FALTER_20220921_22135BD9FB,FALTER_20220302_6D4E5FFAA4
FALTER_20221012_3169BAE28F,FALTER_20220309_1C6B8418BE,FALTER_20220316_F30762FB84,FALTER_20220928_E5DF2B1850,FALTER_20221012_3169BAE28F,FALTER_20220928_E5DF2B1850
FALTER_20220413_EDC7023A23,FALTER_20220216_154FB2A50F,FALTER_20220921_22135BD9FB,FALTER_20220202_4D9BB86D11,FALTER_20220921_22135BD9FB,FALTER_20220202_4D9BB86D11
FALTER_20220302_0605724866,FALTER_20220413_EDC7023A23,FALTER_20220309_1C6B8418BE,FALTER_20220928_E5DF2B1850,FALTER_20220928_E5DF2B1850,FALTER_20220413_EDC7023A23
FALTER_20220601_AED8029EDB,FALTER_20220316_F30762FB84,FALTER_20220302_19351A344E,FALTER_20220302_6D4E5FFAA4,FALTER_20220601_AED8029EDB,FALTER_20220302_19351A344E
FALTER_20220420_10649CB743,FALTER_20220713_038D7E7989,FALTER_20220216_154FB2A50F,FALTER_20221012_3169BAE28F,FALTER_20220713_038D7E7989,FALTER_20220216_154FB2A50F
FALTER_20220601_178086BAE3,FALTER_20220309_1C6B8418BE,FALTER_20220216_154FB2A50F,FALTER_20220601_AED8029EDB,FALTER_20220601_178086BAE3,FALTER_20220216_154FB2A50F
FALTER_20220302_6D4E5FFAA4,FALTER_20220302_0605724866,FALTER_20220316_F30762FB84,FALTER_20220713_038D7E7989,FALTER_20220316_F30762FB84,FALTER_20220302_0605724866
FALTER_20220420_10649CB743,FALTER_20221012_3169BAE28F,FALTER_20220601_178086BAE3,FALTER_20220302_19351A344E,FALTER_20221012_3169BAE28F,FALTER_20220601_178086BAE3
FALTER_20220928_E5DF2B1850,FALTER_20220921_22135BD9FB,FALTER_20220413_EDC7023A23,FALTER_20220202_4D9BB86D11,FALTER_20220921_22135BD9FB,FALTER_20220202_4D9BB86D11
