AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220629_2D1EF3F677,FALTER_20220302_19351A344E,FALTER_20220330_A446D3E324,FALTER_20220323_A229E0EDC3,FALTER_20220302_19351A344E,FALTER_20220330_A446D3E324
FALTER_20220831_996BEDEA5E,FALTER_20220928_B1D3800E23,FALTER_20220504_88561D5AE3,FALTER_20220302_672863FB5A,FALTER_20220504_88561D5AE3,FALTER_20220928_B1D3800E23
FALTER_20220216_154FB2A50F,FALTER_20220309_E0E0B5AA9A,FALTER_20220518_B804602C3C,FALTER_20220309_42A389810E,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_42A389810E
FALTER_20220608_793A4CE426,FALTER_20220727_ABE58D8343,FALTER_20220323_B272A60E63,FALTER_20220928_B1D3800E23,FALTER_20220323_B272A60E63,FALTER_20220727_ABE58D8343
FALTER_20220504_88561D5AE3,FALTER_20220330_A446D3E324,FALTER_20220309_E0E0B5AA9A,FALTER_20220216_154FB2A50F,FALTER_20220309_E0E0B5AA9A,FALTER_20220330_A446D3E324
FALTER_20220309_42A389810E,FALTER_20220831_996BEDEA5E,FALTER_20220323_A229E0EDC3,FALTER_20220302_19351A344E,FALTER_20220831_996BEDEA5E,FALTER_20220323_A229E0EDC3
FALTER_20220302_672863FB5A,FALTER_20220608_793A4CE426,FALTER_20220518_B804602C3C,FALTER_20220629_2D1EF3F677,FALTER_20220608_793A4CE426,FALTER_20220629_2D1EF3F677
FALTER_20220727_ABE58D8343,FALTER_20220323_B272A60E63,FALTER_20220302_19351A344E,FALTER_20220309_42A389810E,FALTER_20220323_B272A60E63,FALTER_20220302_19351A344E
FALTER_20220928_B1D3800E23,FALTER_20220330_A446D3E324,FALTER_20220727_ABE58D8343,FALTER_20220302_672863FB5A,FALTER_20220727_ABE58D8343,FALTER_20220928_B1D3800E23
FALTER_20220216_154FB2A50F,FALTER_20220323_A229E0EDC3,FALTER_20220629_2D1EF3F677,FALTER_20220518_B804602C3C,FALTER_20220518_B804602C3C,FALTER_20220216_154FB2A50F
FALTER_20220831_996BEDEA5E,FALTER_20220608_793A4CE426,FALTER_20220504_88561D5AE3,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_E0E0B5AA9A,FALTER_20220504_88561D5AE3
FALTER_20220323_B272A60E63,FALTER_20220518_B804602C3C,FALTER_20220727_ABE58D8343,FALTER_20220302_672863FB5A,FALTER_20220518_B804602C3C,FALTER_20220727_ABE58D8343
FALTER_20220323_A229E0EDC3,FALTER_20220629_2D1EF3F677,FALTER_20220216_154FB2A50F,FALTER_20220608_793A4CE426,FALTER_20220629_2D1EF3F677,FALTER_20220216_154FB2A50F
FALTER_20220323_B272A60E63,FALTER_20220309_E0E0B5AA9A,FALTER_20220831_996BEDEA5E,FALTER_20220330_A446D3E324,FALTER_20220309_E0E0B5AA9A,FALTER_20220330_A446D3E324
FALTER_20220302_19351A344E,FALTER_20220309_42A389810E,FALTER_20220504_88561D5AE3,FALTER_20220928_B1D3800E23,FALTER_20220504_88561D5AE3,FALTER_20220928_B1D3800E23
FALTER_20220629_2D1EF3F677,FALTER_20220330_A446D3E324,FALTER_20220928_B1D3800E23,FALTER_20220309_42A389810E,FALTER_20220629_2D1EF3F677,FALTER_20220928_B1D3800E23
FALTER_20220302_672863FB5A,FALTER_20220504_88561D5AE3,FALTER_20220302_19351A344E,FALTER_20220323_B272A60E63,FALTER_20220504_88561D5AE3,FALTER_20220302_672863FB5A
FALTER_20220323_A229E0EDC3,FALTER_20220831_996BEDEA5E,FALTER_20220727_ABE58D8343,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_E0E0B5AA9A,FALTER_20220727_ABE58D8343
FALTER_20220518_B804602C3C,FALTER_20220608_793A4CE426,FALTER_20220216_154FB2A50F,FALTER_20220302_672863FB5A,FALTER_20220518_B804602C3C,FALTER_20220216_154FB2A50F
FALTER_20220309_42A389810E,FALTER_20220629_2D1EF3F677,FALTER_20220608_793A4CE426,FALTER_20220216_154FB2A50F,FALTER_20220629_2D1EF3F677,FALTER_20220309_42A389810E
FALTER_20220727_ABE58D8343,FALTER_20220504_88561D5AE3,FALTER_20220309_E0E0B5AA9A,FALTER_20220518_B804602C3C,FALTER_20220309_E0E0B5AA9A,FALTER_20220727_ABE58D8343
FALTER_20220928_B1D3800E23,FALTER_20220323_A229E0EDC3,FALTER_20220323_B272A60E63,FALTER_20220831_996BEDEA5E,FALTER_20220323_B272A60E63,FALTER_20220928_B1D3800E23
FALTER_20220330_A446D3E324,FALTER_20220302_19351A344E,FALTER_20220727_ABE58D8343,FALTER_20220216_154FB2A50F,FALTER_20220302_19351A344E,FALTER_20220727_ABE58D8343
FALTER_20220302_672863FB5A,FALTER_20220330_A446D3E324,FALTER_20220323_A229E0EDC3,FALTER_20220831_996BEDEA5E,FALTER_20220323_A229E0EDC3,FALTER_20220330_A446D3E324
FALTER_20220608_793A4CE426,FALTER_20220323_B272A60E63,FALTER_20220309_42A389810E,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_E0E0B5AA9A,FALTER_20220309_42A389810E
FALTER_20220504_88561D5AE3,FALTER_20220629_2D1EF3F677,FALTER_20220302_19351A344E,FALTER_20220928_B1D3800E23,FALTER_20220629_2D1EF3F677,FALTER_20220928_B1D3800E23
FALTER_20220518_B804602C3C,FALTER_20220323_A229E0EDC3,FALTER_20220302_19351A344E,FALTER_20220608_793A4CE426,FALTER_20220608_793A4CE426,FALTER_20220302_19351A344E
FALTER_20220309_E0E0B5AA9A,FALTER_20220302_672863FB5A,FALTER_20220323_B272A60E63,FALTER_20220629_2D1EF3F677,FALTER_20220309_E0E0B5AA9A,FALTER_20220302_672863FB5A
FALTER_20220504_88561D5AE3,FALTER_20220928_B1D3800E23,FALTER_20220518_B804602C3C,FALTER_20220309_42A389810E,FALTER_20220504_88561D5AE3,FALTER_20220928_B1D3800E23
