AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220817_512C1255EC,FALTER_20211222_BA9781D05E,FALTER_20220316_E42C899665,FALTER_20220302_E77A8F4F19,FALTER_20220817_512C1255EC,FALTER_20211222_BA9781D05E
FALTER_20220907_E1CBB33DF0,FALTER_20220907_EAC44E3722,FALTER_20220406_7C4E975FD1,FALTER_20211222_E7A625F5A8,FALTER_20220907_E1CBB33DF0,FALTER_20220907_EAC44E3722
FALTER_20211222_40076C3AB9,FALTER_20220223_CDDF5A96F6,FALTER_20220413_40F8789AE5,FALTER_20220209_A2A33B7FC0,FALTER_20220413_40F8789AE5,FALTER_20211222_40076C3AB9
FALTER_20220713_587ED9A096,FALTER_20220831_FF44114BB6,FALTER_20220309_E0E0B5AA9A,FALTER_20220907_EAC44E3722,FALTER_20220831_FF44114BB6,FALTER_20220907_EAC44E3722
FALTER_20220406_7C4E975FD1,FALTER_20220316_E42C899665,FALTER_20220223_CDDF5A96F6,FALTER_20211222_40076C3AB9,FALTER_20220223_CDDF5A96F6,FALTER_20211222_40076C3AB9
FALTER_20220209_A2A33B7FC0,FALTER_20220907_E1CBB33DF0,FALTER_20220302_E77A8F4F19,FALTER_20211222_BA9781D05E,FALTER_20220209_A2A33B7FC0,FALTER_20211222_BA9781D05E
FALTER_20211222_E7A625F5A8,FALTER_20220713_587ED9A096,FALTER_20220413_40F8789AE5,FALTER_20220817_512C1255EC,FALTER_20220413_40F8789AE5,FALTER_20211222_E7A625F5A8
FALTER_20220831_FF44114BB6,FALTER_20220309_E0E0B5AA9A,FALTER_20211222_BA9781D05E,FALTER_20220209_A2A33B7FC0,FALTER_20220831_FF44114BB6,FALTER_20211222_BA9781D05E
FALTER_20220907_EAC44E3722,FALTER_20220316_E42C899665,FALTER_20220831_FF44114BB6,FALTER_20211222_E7A625F5A8,FALTER_20220831_FF44114BB6,FALTER_20211222_E7A625F5A8
FALTER_20211222_40076C3AB9,FALTER_20220302_E77A8F4F19,FALTER_20220817_512C1255EC,FALTER_20220413_40F8789AE5,FALTER_20220413_40F8789AE5,FALTER_20211222_40076C3AB9
FALTER_20220907_E1CBB33DF0,FALTER_20220713_587ED9A096,FALTER_20220406_7C4E975FD1,FALTER_20220223_CDDF5A96F6,FALTER_20220907_E1CBB33DF0,FALTER_20220223_CDDF5A96F6
