AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221102_29D4E84CA8,FALTER_20220209_A2A33B7FC0,FALTER_20220831_FF44114BB6,FALTER_20220727_8D8EBD0DAD,FALTER_20221102_29D4E84CA8,FALTER_20220209_A2A33B7FC0
FALTER_20221116_BE96E2B85C,FALTER_20221123_E37E30AD68,FALTER_20220914_5D43F08AA5,FALTER_20220216_068423526C,FALTER_20220216_068423526C,FALTER_20221123_E37E30AD68
FALTER_20220126_7B2AC42DD5,FALTER_20220511_749613F802,FALTER_20220928_2319A44747,FALTER_20220406_B70E178D0A,FALTER_20220511_749613F802,FALTER_20220406_B70E178D0A
FALTER_20221019_3767944806,FALTER_20221109_F42B34F457,FALTER_20220824_695FABC825,FALTER_20221123_E37E30AD68,FALTER_20220824_695FABC825,FALTER_20221123_E37E30AD68
FALTER_20220914_5D43F08AA5,FALTER_20220831_FF44114BB6,FALTER_20220511_749613F802,FALTER_20220126_7B2AC42DD5,FALTER_20220511_749613F802,FALTER_20220914_5D43F08AA5
FALTER_20220406_B70E178D0A,FALTER_20221116_BE96E2B85C,FALTER_20220727_8D8EBD0DAD,FALTER_20220209_A2A33B7FC0,FALTER_20220727_8D8EBD0DAD,FALTER_20220406_B70E178D0A
FALTER_20220216_068423526C,FALTER_20221019_3767944806,FALTER_20220928_2319A44747,FALTER_20221102_29D4E84CA8,FALTER_20220216_068423526C,FALTER_20220928_2319A44747
FALTER_20221109_F42B34F457,FALTER_20220824_695FABC825,FALTER_20220209_A2A33B7FC0,FALTER_20220406_B70E178D0A,FALTER_20220824_695FABC825,FALTER_20220406_B70E178D0A
FALTER_20221123_E37E30AD68,FALTER_20220831_FF44114BB6,FALTER_20221109_F42B34F457,FALTER_20220216_068423526C,FALTER_20220216_068423526C,FALTER_20221123_E37E30AD68
FALTER_20220126_7B2AC42DD5,FALTER_20220727_8D8EBD0DAD,FALTER_20221102_29D4E84CA8,FALTER_20220928_2319A44747,FALTER_20221102_29D4E84CA8,FALTER_20220928_2319A44747
FALTER_20221116_BE96E2B85C,FALTER_20221019_3767944806,FALTER_20220914_5D43F08AA5,FALTER_20220511_749613F802,FALTER_20220511_749613F802,FALTER_20220914_5D43F08AA5
FALTER_20220824_695FABC825,FALTER_20220928_2319A44747,FALTER_20221109_F42B34F457,FALTER_20220216_068423526C,FALTER_20220824_695FABC825,FALTER_20220928_2319A44747
FALTER_20220727_8D8EBD0DAD,FALTER_20221102_29D4E84CA8,FALTER_20220126_7B2AC42DD5,FALTER_20221019_3767944806,FALTER_20221102_29D4E84CA8,FALTER_20221019_3767944806
FALTER_20220824_695FABC825,FALTER_20220511_749613F802,FALTER_20221116_BE96E2B85C,FALTER_20220831_FF44114BB6,FALTER_20220824_695FABC825,FALTER_20221116_BE96E2B85C
FALTER_20220209_A2A33B7FC0,FALTER_20220406_B70E178D0A,FALTER_20220914_5D43F08AA5,FALTER_20221123_E37E30AD68,FALTER_20221123_E37E30AD68,FALTER_20220406_B70E178D0A
FALTER_20221102_29D4E84CA8,FALTER_20220831_FF44114BB6,FALTER_20221123_E37E30AD68,FALTER_20220406_B70E178D0A,FALTER_20221102_29D4E84CA8,FALTER_20220406_B70E178D0A
FALTER_20220216_068423526C,FALTER_20220914_5D43F08AA5,FALTER_20220209_A2A33B7FC0,FALTER_20220824_695FABC825,FALTER_20220824_695FABC825,FALTER_20220914_5D43F08AA5
FALTER_20220727_8D8EBD0DAD,FALTER_20221116_BE96E2B85C,FALTER_20221109_F42B34F457,FALTER_20220511_749613F802,FALTER_20220511_749613F802,FALTER_20221116_BE96E2B85C
FALTER_20220928_2319A44747,FALTER_20221019_3767944806,FALTER_20220126_7B2AC42DD5,FALTER_20220216_068423526C,FALTER_20220216_068423526C,FALTER_20220928_2319A44747
FALTER_20220406_B70E178D0A,FALTER_20221102_29D4E84CA8,FALTER_20221019_3767944806,FALTER_20220126_7B2AC42DD5,FALTER_20221102_29D4E84CA8,FALTER_20220406_B70E178D0A
FALTER_20221109_F42B34F457,FALTER_20220914_5D43F08AA5,FALTER_20220511_749613F802,FALTER_20220928_2319A44747,FALTER_20220511_749613F802,FALTER_20220914_5D43F08AA5
FALTER_20221123_E37E30AD68,FALTER_20220727_8D8EBD0DAD,FALTER_20220824_695FABC825,FALTER_20221116_BE96E2B85C,FALTER_20220824_695FABC825,FALTER_20221123_E37E30AD68
