AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220928_2319A44747,FALTER_20220518_223BBE077A,FALTER_20220727_8D8EBD0DAD,FALTER_20220629_2EBEF4C6E2,FALTER_20220629_2EBEF4C6E2,FALTER_20220928_2319A44747
FALTER_20221026_01ACB03567,FALTER_20221109_F42B34F457,FALTER_20220817_2021D97F23,FALTER_20220518_B804602C3C,FALTER_20220817_2021D97F23,FALTER_20220518_B804602C3C
FALTER_20220126_7B2AC42DD5,FALTER_20220601_DE1BD7F95E,FALTER_20220817_845203A9A2,FALTER_20220525_ADB5F6032E,FALTER_20220525_ADB5F6032E,FALTER_20220601_DE1BD7F95E
FALTER_20220824_695FABC825,FALTER_20221012_3843457417,FALTER_20220706_8CD3003E2A,FALTER_20221109_F42B34F457,FALTER_20221012_3843457417,FALTER_20220824_695FABC825
FALTER_20220817_2021D97F23,FALTER_20220727_8D8EBD0DAD,FALTER_20220601_DE1BD7F95E,FALTER_20220126_7B2AC42DD5,FALTER_20220126_7B2AC42DD5,FALTER_20220601_DE1BD7F95E
FALTER_20220525_ADB5F6032E,FALTER_20221026_01ACB03567,FALTER_20220629_2EBEF4C6E2,FALTER_20220518_223BBE077A,FALTER_20220525_ADB5F6032E,FALTER_20221026_01ACB03567
FALTER_20220518_B804602C3C,FALTER_20220824_695FABC825,FALTER_20220817_845203A9A2,FALTER_20220928_2319A44747,FALTER_20220817_845203A9A2,FALTER_20220518_B804602C3C
FALTER_20221012_3843457417,FALTER_20220706_8CD3003E2A,FALTER_20220518_223BBE077A,FALTER_20220525_ADB5F6032E,FALTER_20220525_ADB5F6032E,FALTER_20220518_223BBE077A
FALTER_20221109_F42B34F457,FALTER_20220727_8D8EBD0DAD,FALTER_20221012_3843457417,FALTER_20220518_B804602C3C,FALTER_20220727_8D8EBD0DAD,FALTER_20220518_B804602C3C
FALTER_20220126_7B2AC42DD5,FALTER_20220629_2EBEF4C6E2,FALTER_20220928_2319A44747,FALTER_20220817_845203A9A2,FALTER_20220126_7B2AC42DD5,FALTER_20220817_845203A9A2
FALTER_20221026_01ACB03567,FALTER_20220824_695FABC825,FALTER_20220817_2021D97F23,FALTER_20220601_DE1BD7F95E,FALTER_20220817_2021D97F23,FALTER_20221026_01ACB03567
FALTER_20220706_8CD3003E2A,FALTER_20220817_845203A9A2,FALTER_20221012_3843457417,FALTER_20220518_B804602C3C,FALTER_20221012_3843457417,FALTER_20220518_B804602C3C
FALTER_20220629_2EBEF4C6E2,FALTER_20220928_2319A44747,FALTER_20220126_7B2AC42DD5,FALTER_20220824_695FABC825,FALTER_20220126_7B2AC42DD5,FALTER_20220928_2319A44747
FALTER_20220706_8CD3003E2A,FALTER_20220601_DE1BD7F95E,FALTER_20221026_01ACB03567,FALTER_20220727_8D8EBD0DAD,FALTER_20220727_8D8EBD0DAD,FALTER_20221026_01ACB03567
FALTER_20220518_223BBE077A,FALTER_20220525_ADB5F6032E,FALTER_20220817_2021D97F23,FALTER_20221109_F42B34F457,FALTER_20220525_ADB5F6032E,FALTER_20221109_F42B34F457
FALTER_20220928_2319A44747,FALTER_20220727_8D8EBD0DAD,FALTER_20221109_F42B34F457,FALTER_20220525_ADB5F6032E,FALTER_20220525_ADB5F6032E,FALTER_20220928_2319A44747
FALTER_20220518_B804602C3C,FALTER_20220817_2021D97F23,FALTER_20220518_223BBE077A,FALTER_20220706_8CD3003E2A,FALTER_20220817_2021D97F23,FALTER_20220518_B804602C3C
FALTER_20220629_2EBEF4C6E2,FALTER_20221026_01ACB03567,FALTER_20221012_3843457417,FALTER_20220601_DE1BD7F95E,FALTER_20220629_2EBEF4C6E2,FALTER_20221026_01ACB03567
FALTER_20220817_845203A9A2,FALTER_20220824_695FABC825,FALTER_20220126_7B2AC42DD5,FALTER_20220518_B804602C3C,FALTER_20220126_7B2AC42DD5,FALTER_20220518_B804602C3C
FALTER_20220525_ADB5F6032E,FALTER_20220928_2319A44747,FALTER_20220824_695FABC825,FALTER_20220126_7B2AC42DD5,FALTER_20220525_ADB5F6032E,FALTER_20220928_2319A44747
FALTER_20221012_3843457417,FALTER_20220817_2021D97F23,FALTER_20220601_DE1BD7F95E,FALTER_20220817_845203A9A2,FALTER_20220817_2021D97F23,FALTER_20220601_DE1BD7F95E
FALTER_20221109_F42B34F457,FALTER_20220629_2EBEF4C6E2,FALTER_20220706_8CD3003E2A,FALTER_20221026_01ACB03567,FALTER_20220629_2EBEF4C6E2,FALTER_20221026_01ACB03567
FALTER_20220727_8D8EBD0DAD,FALTER_20220518_223BBE077A,FALTER_20221012_3843457417,FALTER_20220126_7B2AC42DD5,FALTER_20220126_7B2AC42DD5,FALTER_20220518_223BBE077A
FALTER_20220518_B804602C3C,FALTER_20220727_8D8EBD0DAD,FALTER_20220629_2EBEF4C6E2,FALTER_20221026_01ACB03567,FALTER_20220629_2EBEF4C6E2,FALTER_20220518_B804602C3C
FALTER_20220824_695FABC825,FALTER_20220706_8CD3003E2A,FALTER_20220525_ADB5F6032E,FALTER_20220601_DE1BD7F95E,FALTER_20220525_ADB5F6032E,FALTER_20220601_DE1BD7F95E
FALTER_20220817_2021D97F23,FALTER_20220928_2319A44747,FALTER_20220518_223BBE077A,FALTER_20221109_F42B34F457,FALTER_20220817_2021D97F23,FALTER_20220928_2319A44747
FALTER_20220817_845203A9A2,FALTER_20220629_2EBEF4C6E2,FALTER_20220518_223BBE077A,FALTER_20220824_695FABC825,FALTER_20220629_2EBEF4C6E2,FALTER_20220817_845203A9A2
FALTER_20220601_DE1BD7F95E,FALTER_20220518_B804602C3C,FALTER_20220706_8CD3003E2A,FALTER_20220928_2319A44747,FALTER_20220928_2319A44747,FALTER_20220518_B804602C3C
FALTER_20220817_2021D97F23,FALTER_20221109_F42B34F457,FALTER_20220817_845203A9A2,FALTER_20220525_ADB5F6032E,FALTER_20220525_ADB5F6032E,FALTER_20220817_845203A9A2
FALTER_20221026_01ACB03567,FALTER_20221012_3843457417,FALTER_20220727_8D8EBD0DAD,FALTER_20220126_7B2AC42DD5,FALTER_20220126_7B2AC42DD5,FALTER_20221026_01ACB03567
