AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220713_932271D866,FALTER_20220112_8251F74DB5,FALTER_20220420_68198C494F,FALTER_20220316_E42C899665,FALTER_20220316_E42C899665,FALTER_20220420_68198C494F
FALTER_20220907_E1CBB33DF0,FALTER_20220914_05E417EAD8,FALTER_20220518_B804602C3C,FALTER_20220209_A2A33B7FC0,FALTER_20220914_05E417EAD8,FALTER_20220518_B804602C3C
FALTER_20211222_40076C3AB9,FALTER_20220316_C33003D020,FALTER_20220622_3C4302B106,FALTER_20220309_E639164461,FALTER_20220309_E639164461,FALTER_20211222_40076C3AB9
FALTER_20220713_211D121941,FALTER_20220727_8D8EBD0DAD,FALTER_20220323_B272A60E63,FALTER_20220914_05E417EAD8,FALTER_20220727_8D8EBD0DAD,FALTER_20220713_211D121941
FALTER_20220518_B804602C3C,FALTER_20220420_68198C494F,FALTER_20220316_C33003D020,FALTER_20211222_40076C3AB9,FALTER_20220316_C33003D020,FALTER_20211222_40076C3AB9
FALTER_20220309_E639164461,FALTER_20220907_E1CBB33DF0,FALTER_20220316_E42C899665,FALTER_20220112_8251F74DB5,FALTER_20220316_E42C899665,FALTER_20220112_8251F74DB5
FALTER_20220209_A2A33B7FC0,FALTER_20220713_211D121941,FALTER_20220622_3C4302B106,FALTER_20220713_932271D866,FALTER_20220622_3C4302B106,FALTER_20220713_932271D866
FALTER_20220727_8D8EBD0DAD,FALTER_20220323_B272A60E63,FALTER_20220112_8251F74DB5,FALTER_20220309_E639164461,FALTER_20220727_8D8EBD0DAD,FALTER_20220112_8251F74DB5
FALTER_20220914_05E417EAD8,FALTER_20220420_68198C494F,FALTER_20220727_8D8EBD0DAD,FALTER_20220209_A2A33B7FC0,FALTER_20220914_05E417EAD8,FALTER_20220420_68198C494F
FALTER_20211222_40076C3AB9,FALTER_20220316_E42C899665,FALTER_20220713_932271D866,FALTER_20220622_3C4302B106,FALTER_20220316_E42C899665,FALTER_20211222_40076C3AB9
FALTER_20220907_E1CBB33DF0,FALTER_20220713_211D121941,FALTER_20220518_B804602C3C,FALTER_20220316_C33003D020,FALTER_20220713_211D121941,FALTER_20220518_B804602C3C
FALTER_20220323_B272A60E63,FALTER_20220622_3C4302B106,FALTER_20220727_8D8EBD0DAD,FALTER_20220209_A2A33B7FC0,FALTER_20220727_8D8EBD0DAD,FALTER_20220622_3C4302B106
FALTER_20220316_E42C899665,FALTER_20220713_932271D866,FALTER_20211222_40076C3AB9,FALTER_20220713_211D121941,FALTER_20220316_E42C899665,FALTER_20211222_40076C3AB9
FALTER_20220323_B272A60E63,FALTER_20220316_C33003D020,FALTER_20220907_E1CBB33DF0,FALTER_20220420_68198C494F,FALTER_20220323_B272A60E63,FALTER_20220420_68198C494F
FALTER_20220112_8251F74DB5,FALTER_20220309_E639164461,FALTER_20220518_B804602C3C,FALTER_20220914_05E417EAD8,FALTER_20220914_05E417EAD8,FALTER_20220518_B804602C3C
FALTER_20220713_932271D866,FALTER_20220420_68198C494F,FALTER_20220914_05E417EAD8,FALTER_20220309_E639164461,FALTER_20220914_05E417EAD8,FALTER_20220713_932271D866
FALTER_20220209_A2A33B7FC0,FALTER_20220518_B804602C3C,FALTER_20220112_8251F74DB5,FALTER_20220323_B272A60E63,FALTER_20220323_B272A60E63,FALTER_20220518_B804602C3C
FALTER_20220316_E42C899665,FALTER_20220907_E1CBB33DF0,FALTER_20220727_8D8EBD0DAD,FALTER_20220316_C33003D020,FALTER_20220316_E42C899665,FALTER_20220907_E1CBB33DF0
FALTER_20220622_3C4302B106,FALTER_20220713_211D121941,FALTER_20211222_40076C3AB9,FALTER_20220209_A2A33B7FC0,FALTER_20220622_3C4302B106,FALTER_20211222_40076C3AB9
FALTER_20220309_E639164461,FALTER_20220713_932271D866,FALTER_20220713_211D121941,FALTER_20211222_40076C3AB9,FALTER_20220309_E639164461,FALTER_20211222_40076C3AB9
FALTER_20220727_8D8EBD0DAD,FALTER_20220518_B804602C3C,FALTER_20220316_C33003D020,FALTER_20220622_3C4302B106,FALTER_20220727_8D8EBD0DAD,FALTER_20220518_B804602C3C
FALTER_20220914_05E417EAD8,FALTER_20220316_E42C899665,FALTER_20220323_B272A60E63,FALTER_20220907_E1CBB33DF0,FALTER_20220316_E42C899665,FALTER_20220907_E1CBB33DF0
FALTER_20220420_68198C494F,FALTER_20220112_8251F74DB5,FALTER_20220727_8D8EBD0DAD,FALTER_20211222_40076C3AB9,FALTER_20220727_8D8EBD0DAD,FALTER_20211222_40076C3AB9
FALTER_20220209_A2A33B7FC0,FALTER_20220420_68198C494F,FALTER_20220316_E42C899665,FALTER_20220907_E1CBB33DF0,FALTER_20220316_E42C899665,FALTER_20220907_E1CBB33DF0
