AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220803_F6FBD645BC,FALTER_20220209_1C0C95BDCB,FALTER_20220518_48A2BFD79B,FALTER_20220413_EDC7023A23,FALTER_20220803_F6FBD645BC,FALTER_20220413_EDC7023A23
FALTER_20221005_F1FBF97BE4,FALTER_20221012_A5D3BC4BA9,FALTER_20220622_3C4302B106,FALTER_20220209_D48F09F14F,FALTER_20220209_D48F09F14F,FALTER_20221005_F1FBF97BE4
FALTER_20211215_118C24829E,FALTER_20220323_C821350438,FALTER_20220713_1D271A2558,FALTER_20220216_1626608CBE,FALTER_20211215_118C24829E,FALTER_20220323_C821350438
FALTER_20220713_932271D866,FALTER_20220817_AB1DD0E2EB,FALTER_20220427_B1DE446313,FALTER_20221012_A5D3BC4BA9,FALTER_20220427_B1DE446313,FALTER_20220817_AB1DD0E2EB
FALTER_20220622_3C4302B106,FALTER_20220518_48A2BFD79B,FALTER_20220323_C821350438,FALTER_20211215_118C24829E,FALTER_20220518_48A2BFD79B,FALTER_20220323_C821350438
FALTER_20220216_1626608CBE,FALTER_20221005_F1FBF97BE4,FALTER_20220413_EDC7023A23,FALTER_20220209_1C0C95BDCB,FALTER_20220209_1C0C95BDCB,FALTER_20220216_1626608CBE
FALTER_20220209_D48F09F14F,FALTER_20220713_932271D866,FALTER_20220713_1D271A2558,FALTER_20220803_F6FBD645BC,FALTER_20220803_F6FBD645BC,FALTER_20220713_1D271A2558
FALTER_20220817_AB1DD0E2EB,FALTER_20220427_B1DE446313,FALTER_20220209_1C0C95BDCB,FALTER_20220216_1626608CBE,FALTER_20220427_B1DE446313,FALTER_20220817_AB1DD0E2EB
FALTER_20221012_A5D3BC4BA9,FALTER_20220518_48A2BFD79B,FALTER_20220817_AB1DD0E2EB,FALTER_20220209_D48F09F14F,FALTER_20220209_D48F09F14F,FALTER_20221012_A5D3BC4BA9
FALTER_20211215_118C24829E,FALTER_20220413_EDC7023A23,FALTER_20220803_F6FBD645BC,FALTER_20220713_1D271A2558,FALTER_20220803_F6FBD645BC,FALTER_20220713_1D271A2558
FALTER_20221005_F1FBF97BE4,FALTER_20220713_932271D866,FALTER_20220622_3C4302B106,FALTER_20220323_C821350438,FALTER_20221005_F1FBF97BE4,FALTER_20220323_C821350438
FALTER_20220427_B1DE446313,FALTER_20220713_1D271A2558,FALTER_20220817_AB1DD0E2EB,FALTER_20220209_D48F09F14F,FALTER_20220427_B1DE446313,FALTER_20220817_AB1DD0E2EB
FALTER_20220413_EDC7023A23,FALTER_20220803_F6FBD645BC,FALTER_20211215_118C24829E,FALTER_20220713_932271D866,FALTER_20220803_F6FBD645BC,FALTER_20220413_EDC7023A23
FALTER_20220427_B1DE446313,FALTER_20220323_C821350438,FALTER_20221005_F1FBF97BE4,FALTER_20220518_48A2BFD79B,FALTER_20220427_B1DE446313,FALTER_20220323_C821350438
FALTER_20220209_1C0C95BDCB,FALTER_20220216_1626608CBE,FALTER_20220622_3C4302B106,FALTER_20221012_A5D3BC4BA9,FALTER_20220209_1C0C95BDCB,FALTER_20221012_A5D3BC4BA9
FALTER_20220803_F6FBD645BC,FALTER_20220518_48A2BFD79B,FALTER_20221012_A5D3BC4BA9,FALTER_20220216_1626608CBE,FALTER_20220803_F6FBD645BC,FALTER_20221012_A5D3BC4BA9
FALTER_20220209_D48F09F14F,FALTER_20220622_3C4302B106,FALTER_20220209_1C0C95BDCB,FALTER_20220427_B1DE446313,FALTER_20220427_B1DE446313,FALTER_20220622_3C4302B106
FALTER_20220413_EDC7023A23,FALTER_20221005_F1FBF97BE4,FALTER_20220817_AB1DD0E2EB,FALTER_20220323_C821350438,FALTER_20221005_F1FBF97BE4,FALTER_20220323_C821350438
FALTER_20220713_1D271A2558,FALTER_20220713_932271D866,FALTER_20211215_118C24829E,FALTER_20220209_D48F09F14F,FALTER_20220209_D48F09F14F,FALTER_20220713_1D271A2558
FALTER_20220216_1626608CBE,FALTER_20220803_F6FBD645BC,FALTER_20220713_932271D866,FALTER_20211215_118C24829E,FALTER_20220803_F6FBD645BC,FALTER_20220216_1626608CBE
FALTER_20220817_AB1DD0E2EB,FALTER_20220622_3C4302B106,FALTER_20220323_C821350438,FALTER_20220713_1D271A2558,FALTER_20220622_3C4302B106,FALTER_20220323_C821350438
FALTER_20221012_A5D3BC4BA9,FALTER_20220413_EDC7023A23,FALTER_20220427_B1DE446313,FALTER_20221005_F1FBF97BE4,FALTER_20220427_B1DE446313,FALTER_20221012_A5D3BC4BA9
FALTER_20220518_48A2BFD79B,FALTER_20220209_1C0C95BDCB,FALTER_20220817_AB1DD0E2EB,FALTER_20211215_118C24829E,FALTER_20220209_1C0C95BDCB,FALTER_20220817_AB1DD0E2EB
FALTER_20220209_D48F09F14F,FALTER_20220518_48A2BFD79B,FALTER_20220413_EDC7023A23,FALTER_20221005_F1FBF97BE4,FALTER_20221005_F1FBF97BE4,FALTER_20220413_EDC7023A23
FALTER_20220713_932271D866,FALTER_20220427_B1DE446313,FALTER_20220216_1626608CBE,FALTER_20220323_C821350438,FALTER_20220427_B1DE446313,FALTER_20220323_C821350438
FALTER_20220622_3C4302B106,FALTER_20220803_F6FBD645BC,FALTER_20220209_1C0C95BDCB,FALTER_20221012_A5D3BC4BA9,FALTER_20220803_F6FBD645BC,FALTER_20221012_A5D3BC4BA9
FALTER_20220713_1D271A2558,FALTER_20220413_EDC7023A23,FALTER_20220209_1C0C95BDCB,FALTER_20220713_932271D866,FALTER_20220209_1C0C95BDCB,FALTER_20220713_1D271A2558
FALTER_20220323_C821350438,FALTER_20220209_D48F09F14F,FALTER_20220427_B1DE446313,FALTER_20220803_F6FBD645BC,FALTER_20220427_B1DE446313,FALTER_20220323_C821350438
FALTER_20220622_3C4302B106,FALTER_20221012_A5D3BC4BA9,FALTER_20220713_1D271A2558,FALTER_20220216_1626608CBE,FALTER_20220622_3C4302B106,FALTER_20221012_A5D3BC4BA9
FALTER_20221005_F1FBF97BE4,FALTER_20220817_AB1DD0E2EB,FALTER_20220518_48A2BFD79B,FALTER_20211215_118C24829E,FALTER_20220518_48A2BFD79B,FALTER_20220817_AB1DD0E2EB
