AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220824_56AF6D9EAD,FALTER_20220209_16A18EC699,FALTER_20220518_4460B08F42,FALTER_20220406_EA00DAEC2E,FALTER_20220518_4460B08F42,FALTER_20220209_16A18EC699
FALTER_20221026_18EA474D13,FALTER_20221116_A42AA55DC7,FALTER_20220518_4940544DDD,FALTER_20220209_5CA8DCBD6D,FALTER_20220209_5CA8DCBD6D,FALTER_20220518_4940544DDD
FALTER_20220202_CC707934FF,FALTER_20220309_A08F92CAF9,FALTER_20220525_04F1FE7FB2,FALTER_20220216_1011C22CF7,FALTER_20220525_04F1FE7FB2,FALTER_20220309_A08F92CAF9
FALTER_20220525_276AE25D1D,FALTER_20220921_B6B7C27F2B,FALTER_20220511_71668B1344,FALTER_20221116_A42AA55DC7,FALTER_20220525_276AE25D1D,FALTER_20220921_B6B7C27F2B
FALTER_20220518_4940544DDD,FALTER_20220518_4460B08F42,FALTER_20220309_A08F92CAF9,FALTER_20220202_CC707934FF,FALTER_20220518_4460B08F42,FALTER_20220518_4940544DDD
FALTER_20220216_1011C22CF7,FALTER_20221026_18EA474D13,FALTER_20220406_EA00DAEC2E,FALTER_20220209_16A18EC699,FALTER_20220406_EA00DAEC2E,FALTER_20220209_16A18EC699
FALTER_20220209_5CA8DCBD6D,FALTER_20220525_276AE25D1D,FALTER_20220525_04F1FE7FB2,FALTER_20220824_56AF6D9EAD,FALTER_20220209_5CA8DCBD6D,FALTER_20220824_56AF6D9EAD
FALTER_20220921_B6B7C27F2B,FALTER_20220511_71668B1344,FALTER_20220209_16A18EC699,FALTER_20220216_1011C22CF7,FALTER_20220216_1011C22CF7,FALTER_20220209_16A18EC699
FALTER_20221116_A42AA55DC7,FALTER_20220518_4460B08F42,FALTER_20220921_B6B7C27F2B,FALTER_20220209_5CA8DCBD6D,FALTER_20220518_4460B08F42,FALTER_20220921_B6B7C27F2B
FALTER_20220202_CC707934FF,FALTER_20220406_EA00DAEC2E,FALTER_20220824_56AF6D9EAD,FALTER_20220525_04F1FE7FB2,FALTER_20220406_EA00DAEC2E,FALTER_20220824_56AF6D9EAD
