AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221102_D4FD5EB4A6,FALTER_20220302_19351A344E,FALTER_20220727_ABE58D8343,FALTER_20220518_B804602C3C,FALTER_20220727_ABE58D8343,FALTER_20221102_D4FD5EB4A6
FALTER_20221116_2DE8CACFA8,FALTER_20221116_75E1D903DF,FALTER_20220824_55B72E76F9,FALTER_20220302_672863FB5A,FALTER_20221116_2DE8CACFA8,FALTER_20221116_75E1D903DF
FALTER_20220126_5FA47BB63A,FALTER_20220406_CFF3E4B722,FALTER_20220928_C7F1FD40C8,FALTER_20220309_54EDF6DE99,FALTER_20220406_CFF3E4B722,FALTER_20220126_5FA47BB63A
FALTER_20221102_92EEC85C8A,FALTER_20221116_0EFF68E611,FALTER_20220518_D9551C3082,FALTER_20221116_75E1D903DF,FALTER_20220518_D9551C3082,FALTER_20221116_0EFF68E611
FALTER_20220824_55B72E76F9,FALTER_20220727_ABE58D8343,FALTER_20220406_CFF3E4B722,FALTER_20220126_5FA47BB63A,FALTER_20220406_CFF3E4B722,FALTER_20220126_5FA47BB63A
FALTER_20220309_54EDF6DE99,FALTER_20221116_2DE8CACFA8,FALTER_20220518_B804602C3C,FALTER_20220302_19351A344E,FALTER_20221116_2DE8CACFA8,FALTER_20220309_54EDF6DE99
FALTER_20220302_672863FB5A,FALTER_20221102_92EEC85C8A,FALTER_20220928_C7F1FD40C8,FALTER_20221102_D4FD5EB4A6,FALTER_20221102_92EEC85C8A,FALTER_20221102_D4FD5EB4A6
FALTER_20221116_0EFF68E611,FALTER_20220518_D9551C3082,FALTER_20220302_19351A344E,FALTER_20220309_54EDF6DE99,FALTER_20220518_D9551C3082,FALTER_20221116_0EFF68E611
FALTER_20221116_75E1D903DF,FALTER_20220727_ABE58D8343,FALTER_20221116_0EFF68E611,FALTER_20220302_672863FB5A,FALTER_20220727_ABE58D8343,FALTER_20221116_0EFF68E611
FALTER_20220126_5FA47BB63A,FALTER_20220518_B804602C3C,FALTER_20221102_D4FD5EB4A6,FALTER_20220928_C7F1FD40C8,FALTER_20220518_B804602C3C,FALTER_20221102_D4FD5EB4A6
FALTER_20221116_2DE8CACFA8,FALTER_20221102_92EEC85C8A,FALTER_20220824_55B72E76F9,FALTER_20220406_CFF3E4B722,FALTER_20220406_CFF3E4B722,FALTER_20220824_55B72E76F9
FALTER_20220518_D9551C3082,FALTER_20220928_C7F1FD40C8,FALTER_20221116_0EFF68E611,FALTER_20220302_672863FB5A,FALTER_20220518_D9551C3082,FALTER_20221116_0EFF68E611
FALTER_20220518_B804602C3C,FALTER_20221102_D4FD5EB4A6,FALTER_20220126_5FA47BB63A,FALTER_20221102_92EEC85C8A,FALTER_20221102_92EEC85C8A,FALTER_20221102_D4FD5EB4A6
FALTER_20220518_D9551C3082,FALTER_20220406_CFF3E4B722,FALTER_20221116_2DE8CACFA8,FALTER_20220727_ABE58D8343,FALTER_20220518_D9551C3082,FALTER_20220727_ABE58D8343
FALTER_20220302_19351A344E,FALTER_20220309_54EDF6DE99,FALTER_20220824_55B72E76F9,FALTER_20221116_75E1D903DF,FALTER_20220309_54EDF6DE99,FALTER_20221116_75E1D903DF
FALTER_20221102_D4FD5EB4A6,FALTER_20220727_ABE58D8343,FALTER_20221116_75E1D903DF,FALTER_20220309_54EDF6DE99,FALTER_20220309_54EDF6DE99,FALTER_20221116_75E1D903DF
FALTER_20220302_672863FB5A,FALTER_20220824_55B72E76F9,FALTER_20220302_19351A344E,FALTER_20220518_D9551C3082,FALTER_20220518_D9551C3082,FALTER_20220824_55B72E76F9
FALTER_20220518_B804602C3C,FALTER_20221116_2DE8CACFA8,FALTER_20221116_0EFF68E611,FALTER_20220406_CFF3E4B722,FALTER_20220406_CFF3E4B722,FALTER_20221116_0EFF68E611
FALTER_20220928_C7F1FD40C8,FALTER_20221102_92EEC85C8A,FALTER_20220126_5FA47BB63A,FALTER_20220302_672863FB5A,FALTER_20220928_C7F1FD40C8,FALTER_20220126_5FA47BB63A
FALTER_20220309_54EDF6DE99,FALTER_20221102_D4FD5EB4A6,FALTER_20221102_92EEC85C8A,FALTER_20220126_5FA47BB63A,FALTER_20221102_92EEC85C8A,FALTER_20221102_D4FD5EB4A6
FALTER_20221116_0EFF68E611,FALTER_20220824_55B72E76F9,FALTER_20220406_CFF3E4B722,FALTER_20220928_C7F1FD40C8,FALTER_20220406_CFF3E4B722,FALTER_20221116_0EFF68E611
