AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220420_03E73B0284,FALTER_20220302_19351A344E,FALTER_20220406_38961C830C,FALTER_20220323_A229E0EDC3,FALTER_20220420_03E73B0284,FALTER_20220323_A229E0EDC3
FALTER_20221012_D6A09D0DB1,FALTER_20221102_92EEC85C8A,FALTER_20220406_CFF3E4B722,FALTER_20220309_1C6B8418BE,FALTER_20220406_CFF3E4B722,FALTER_20220309_1C6B8418BE
FALTER_20220216_154FB2A50F,FALTER_20220309_C7D1CAC2CC,FALTER_20220413_272C337CE3,FALTER_20220309_54EDF6DE99,FALTER_20220309_C7D1CAC2CC,FALTER_20220309_54EDF6DE99
FALTER_20220413_EDC7023A23,FALTER_20220518_B804602C3C,FALTER_20220330_12EF29740D,FALTER_20221102_92EEC85C8A,FALTER_20220330_12EF29740D,FALTER_20220518_B804602C3C
FALTER_20220406_CFF3E4B722,FALTER_20220406_38961C830C,FALTER_20220309_C7D1CAC2CC,FALTER_20220216_154FB2A50F,FALTER_20220406_CFF3E4B722,FALTER_20220216_154FB2A50F
FALTER_20220309_54EDF6DE99,FALTER_20221012_D6A09D0DB1,FALTER_20220323_A229E0EDC3,FALTER_20220302_19351A344E,FALTER_20220302_19351A344E,FALTER_20221012_D6A09D0DB1
FALTER_20220309_1C6B8418BE,FALTER_20220413_EDC7023A23,FALTER_20220413_272C337CE3,FALTER_20220420_03E73B0284,FALTER_20220420_03E73B0284,FALTER_20220309_1C6B8418BE
FALTER_20220518_B804602C3C,FALTER_20220330_12EF29740D,FALTER_20220302_19351A344E,FALTER_20220309_54EDF6DE99,FALTER_20220302_19351A344E,FALTER_20220309_54EDF6DE99
FALTER_20221102_92EEC85C8A,FALTER_20220406_38961C830C,FALTER_20220518_B804602C3C,FALTER_20220309_1C6B8418BE,FALTER_20220406_38961C830C,FALTER_20220309_1C6B8418BE
FALTER_20220216_154FB2A50F,FALTER_20220323_A229E0EDC3,FALTER_20220420_03E73B0284,FALTER_20220413_272C337CE3,FALTER_20220420_03E73B0284,FALTER_20220323_A229E0EDC3
FALTER_20221012_D6A09D0DB1,FALTER_20220413_EDC7023A23,FALTER_20220406_CFF3E4B722,FALTER_20220309_C7D1CAC2CC,FALTER_20220309_C7D1CAC2CC,FALTER_20221012_D6A09D0DB1
FALTER_20220330_12EF29740D,FALTER_20220413_272C337CE3,FALTER_20220518_B804602C3C,FALTER_20220309_1C6B8418BE,FALTER_20220330_12EF29740D,FALTER_20220309_1C6B8418BE
FALTER_20220323_A229E0EDC3,FALTER_20220420_03E73B0284,FALTER_20220216_154FB2A50F,FALTER_20220413_EDC7023A23,FALTER_20220420_03E73B0284,FALTER_20220323_A229E0EDC3
FALTER_20220330_12EF29740D,FALTER_20220309_C7D1CAC2CC,FALTER_20221012_D6A09D0DB1,FALTER_20220406_38961C830C,FALTER_20220406_38961C830C,FALTER_20221012_D6A09D0DB1
FALTER_20220302_19351A344E,FALTER_20220309_54EDF6DE99,FALTER_20220406_CFF3E4B722,FALTER_20221102_92EEC85C8A,FALTER_20220406_CFF3E4B722,FALTER_20220309_54EDF6DE99
FALTER_20220420_03E73B0284,FALTER_20220406_38961C830C,FALTER_20221102_92EEC85C8A,FALTER_20220309_54EDF6DE99,FALTER_20220406_38961C830C,FALTER_20221102_92EEC85C8A
FALTER_20220309_1C6B8418BE,FALTER_20220406_CFF3E4B722,FALTER_20220302_19351A344E,FALTER_20220330_12EF29740D,FALTER_20220406_CFF3E4B722,FALTER_20220309_1C6B8418BE
FALTER_20220323_A229E0EDC3,FALTER_20221012_D6A09D0DB1,FALTER_20220518_B804602C3C,FALTER_20220309_C7D1CAC2CC,FALTER_20220309_C7D1CAC2CC,FALTER_20220323_A229E0EDC3
FALTER_20220413_272C337CE3,FALTER_20220413_EDC7023A23,FALTER_20220216_154FB2A50F,FALTER_20220309_1C6B8418BE,FALTER_20220413_EDC7023A23,FALTER_20220309_1C6B8418BE
FALTER_20220309_54EDF6DE99,FALTER_20220420_03E73B0284,FALTER_20220413_EDC7023A23,FALTER_20220216_154FB2A50F,FALTER_20220216_154FB2A50F,FALTER_20220309_54EDF6DE99
FALTER_20220518_B804602C3C,FALTER_20220406_CFF3E4B722,FALTER_20220309_C7D1CAC2CC,FALTER_20220413_272C337CE3,FALTER_20220406_CFF3E4B722,FALTER_20220413_272C337CE3
FALTER_20221102_92EEC85C8A,FALTER_20220323_A229E0EDC3,FALTER_20220330_12EF29740D,FALTER_20221012_D6A09D0DB1,FALTER_20220330_12EF29740D,FALTER_20220323_A229E0EDC3
FALTER_20220406_38961C830C,FALTER_20220302_19351A344E,FALTER_20220518_B804602C3C,FALTER_20220216_154FB2A50F,FALTER_20220406_38961C830C,FALTER_20220216_154FB2A50F
FALTER_20220309_1C6B8418BE,FALTER_20220406_38961C830C,FALTER_20220323_A229E0EDC3,FALTER_20221012_D6A09D0DB1,FALTER_20220406_38961C830C,FALTER_20220309_1C6B8418BE
FALTER_20220413_EDC7023A23,FALTER_20220330_12EF29740D,FALTER_20220309_54EDF6DE99,FALTER_20220309_C7D1CAC2CC,FALTER_20220309_C7D1CAC2CC,FALTER_20220413_EDC7023A23
FALTER_20220406_CFF3E4B722,FALTER_20220420_03E73B0284,FALTER_20220302_19351A344E,FALTER_20221102_92EEC85C8A,FALTER_20220406_CFF3E4B722,FALTER_20221102_92EEC85C8A
FALTER_20220413_272C337CE3,FALTER_20220323_A229E0EDC3,FALTER_20220302_19351A344E,FALTER_20220413_EDC7023A23,FALTER_20220302_19351A344E,FALTER_20220323_A229E0EDC3
FALTER_20220309_C7D1CAC2CC,FALTER_20220309_1C6B8418BE,FALTER_20220330_12EF29740D,FALTER_20220420_03E73B0284,FALTER_20220309_C7D1CAC2CC,FALTER_20220309_1C6B8418BE
FALTER_20220406_CFF3E4B722,FALTER_20221102_92EEC85C8A,FALTER_20220413_272C337CE3,FALTER_20220309_54EDF6DE99,FALTER_20220406_CFF3E4B722,FALTER_20220413_272C337CE3
FALTER_20221012_D6A09D0DB1,FALTER_20220518_B804602C3C,FALTER_20220406_38961C830C,FALTER_20220216_154FB2A50F,FALTER_20220406_38961C830C,FALTER_20220216_154FB2A50F
