AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220928_2319A44747,FALTER_20220119_5B01A8DA71,FALTER_20220803_F6FBD645BC,FALTER_20220413_40F8789AE5,FALTER_20220119_5B01A8DA71,FALTER_20220413_40F8789AE5
FALTER_20221116_43D92DB2B6,FALTER_20221130_3A3FC3C318,FALTER_20220810_D7C27825B5,FALTER_20220202_BA82154983,FALTER_20220810_D7C27825B5,FALTER_20221130_3A3FC3C318
FALTER_20211222_04EB44E2A2,FALTER_20220406_673CDB22E0,FALTER_20220817_512C1255EC,FALTER_20220323_9D2681AD74,FALTER_20220323_9D2681AD74,FALTER_20220406_673CDB22E0
FALTER_20220907_E1CBB33DF0,FALTER_20221019_9120B4D0D7,FALTER_20220629_B126BBF5D7,FALTER_20221130_3A3FC3C318,FALTER_20220629_B126BBF5D7,FALTER_20221130_3A3FC3C318
FALTER_20220810_D7C27825B5,FALTER_20220803_F6FBD645BC,FALTER_20220406_673CDB22E0,FALTER_20211222_04EB44E2A2,FALTER_20220810_D7C27825B5,FALTER_20220406_673CDB22E0
FALTER_20220323_9D2681AD74,FALTER_20221116_43D92DB2B6,FALTER_20220413_40F8789AE5,FALTER_20220119_5B01A8DA71,FALTER_20220119_5B01A8DA71,FALTER_20220413_40F8789AE5
FALTER_20220202_BA82154983,FALTER_20220907_E1CBB33DF0,FALTER_20220817_512C1255EC,FALTER_20220928_2319A44747,FALTER_20220817_512C1255EC,FALTER_20220202_BA82154983
FALTER_20221019_9120B4D0D7,FALTER_20220629_B126BBF5D7,FALTER_20220119_5B01A8DA71,FALTER_20220323_9D2681AD74,FALTER_20220629_B126BBF5D7,FALTER_20221019_9120B4D0D7
FALTER_20221130_3A3FC3C318,FALTER_20220803_F6FBD645BC,FALTER_20221019_9120B4D0D7,FALTER_20220202_BA82154983,FALTER_20221019_9120B4D0D7,FALTER_20221130_3A3FC3C318
FALTER_20211222_04EB44E2A2,FALTER_20220413_40F8789AE5,FALTER_20220928_2319A44747,FALTER_20220817_512C1255EC,FALTER_20220817_512C1255EC,FALTER_20220413_40F8789AE5
FALTER_20221116_43D92DB2B6,FALTER_20220907_E1CBB33DF0,FALTER_20220810_D7C27825B5,FALTER_20220406_673CDB22E0,FALTER_20220810_D7C27825B5,FALTER_20221116_43D92DB2B6
FALTER_20220629_B126BBF5D7,FALTER_20220817_512C1255EC,FALTER_20221019_9120B4D0D7,FALTER_20220202_BA82154983,FALTER_20220629_B126BBF5D7,FALTER_20220202_BA82154983
FALTER_20220413_40F8789AE5,FALTER_20220928_2319A44747,FALTER_20211222_04EB44E2A2,FALTER_20220907_E1CBB33DF0,FALTER_20220907_E1CBB33DF0,FALTER_20220413_40F8789AE5
FALTER_20220629_B126BBF5D7,FALTER_20220406_673CDB22E0,FALTER_20221116_43D92DB2B6,FALTER_20220803_F6FBD645BC,FALTER_20220629_B126BBF5D7,FALTER_20221116_43D92DB2B6
FALTER_20220119_5B01A8DA71,FALTER_20220323_9D2681AD74,FALTER_20220810_D7C27825B5,FALTER_20221130_3A3FC3C318,FALTER_20220810_D7C27825B5,FALTER_20221130_3A3FC3C318
FALTER_20220928_2319A44747,FALTER_20220803_F6FBD645BC,FALTER_20221130_3A3FC3C318,FALTER_20220323_9D2681AD74,FALTER_20220323_9D2681AD74,FALTER_20221130_3A3FC3C318
FALTER_20220202_BA82154983,FALTER_20220810_D7C27825B5,FALTER_20220119_5B01A8DA71,FALTER_20220629_B126BBF5D7,FALTER_20220810_D7C27825B5,FALTER_20220202_BA82154983
FALTER_20220413_40F8789AE5,FALTER_20221116_43D92DB2B6,FALTER_20221019_9120B4D0D7,FALTER_20220406_673CDB22E0,FALTER_20221019_9120B4D0D7,FALTER_20221116_43D92DB2B6
FALTER_20220817_512C1255EC,FALTER_20220907_E1CBB33DF0,FALTER_20211222_04EB44E2A2,FALTER_20220202_BA82154983,FALTER_20220817_512C1255EC,FALTER_20211222_04EB44E2A2
FALTER_20220323_9D2681AD74,FALTER_20220928_2319A44747,FALTER_20220907_E1CBB33DF0,FALTER_20211222_04EB44E2A2,FALTER_20220323_9D2681AD74,FALTER_20211222_04EB44E2A2
FALTER_20221019_9120B4D0D7,FALTER_20220810_D7C27825B5,FALTER_20220406_673CDB22E0,FALTER_20220817_512C1255EC,FALTER_20220810_D7C27825B5,FALTER_20220406_673CDB22E0
FALTER_20221130_3A3FC3C318,FALTER_20220413_40F8789AE5,FALTER_20220629_B126BBF5D7,FALTER_20221116_43D92DB2B6,FALTER_20220629_B126BBF5D7,FALTER_20221130_3A3FC3C318
FALTER_20220803_F6FBD645BC,FALTER_20220119_5B01A8DA71,FALTER_20221019_9120B4D0D7,FALTER_20211222_04EB44E2A2,FALTER_20220119_5B01A8DA71,FALTER_20211222_04EB44E2A2
FALTER_20220202_BA82154983,FALTER_20220803_F6FBD645BC,FALTER_20220413_40F8789AE5,FALTER_20221116_43D92DB2B6,FALTER_20220803_F6FBD645BC,FALTER_20220413_40F8789AE5
