AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221026_18EA474D13,FALTER_20220223_269DAE0D66,FALTER_20220518_B804602C3C,FALTER_20220406_CFF3E4B722,FALTER_20221026_18EA474D13,FALTER_20220518_B804602C3C
FALTER_20221116_A42AA55DC7,FALTER_20221207_C46C907D2D,FALTER_20220608_F70F9ED753,FALTER_20220223_788A4CE7AA,FALTER_20221207_C46C907D2D,FALTER_20220223_788A4CE7AA
FALTER_20220209_5CA8DCBD6D,FALTER_20220323_71021BE719,FALTER_20220928_2319A44747,FALTER_20220316_1D748E9100,FALTER_20220323_71021BE719,FALTER_20220316_1D748E9100
FALTER_20221005_77EFA42061,FALTER_20221116_3913A4A32F,FALTER_20220420_C63F753BEC,FALTER_20221207_C46C907D2D,FALTER_20221005_77EFA42061,FALTER_20220420_C63F753BEC
FALTER_20220608_F70F9ED753,FALTER_20220518_B804602C3C,FALTER_20220323_71021BE719,FALTER_20220209_5CA8DCBD6D,FALTER_20220209_5CA8DCBD6D,FALTER_20220518_B804602C3C
FALTER_20220316_1D748E9100,FALTER_20221116_A42AA55DC7,FALTER_20220406_CFF3E4B722,FALTER_20220223_269DAE0D66,FALTER_20220406_CFF3E4B722,FALTER_20220316_1D748E9100
FALTER_20220223_788A4CE7AA,FALTER_20221005_77EFA42061,FALTER_20220928_2319A44747,FALTER_20221026_18EA474D13,FALTER_20221005_77EFA42061,FALTER_20220223_788A4CE7AA
FALTER_20221116_3913A4A32F,FALTER_20220420_C63F753BEC,FALTER_20220223_269DAE0D66,FALTER_20220316_1D748E9100,FALTER_20221116_3913A4A32F,FALTER_20220420_C63F753BEC
FALTER_20221207_C46C907D2D,FALTER_20220518_B804602C3C,FALTER_20221116_3913A4A32F,FALTER_20220223_788A4CE7AA,FALTER_20221207_C46C907D2D,FALTER_20220223_788A4CE7AA
FALTER_20220209_5CA8DCBD6D,FALTER_20220406_CFF3E4B722,FALTER_20221026_18EA474D13,FALTER_20220928_2319A44747,FALTER_20220209_5CA8DCBD6D,FALTER_20220406_CFF3E4B722
FALTER_20221116_A42AA55DC7,FALTER_20221005_77EFA42061,FALTER_20220608_F70F9ED753,FALTER_20220323_71021BE719,FALTER_20221005_77EFA42061,FALTER_20221116_A42AA55DC7
FALTER_20220420_C63F753BEC,FALTER_20220928_2319A44747,FALTER_20221116_3913A4A32F,FALTER_20220223_788A4CE7AA,FALTER_20221116_3913A4A32F,FALTER_20220223_788A4CE7AA
FALTER_20220406_CFF3E4B722,FALTER_20221026_18EA474D13,FALTER_20220209_5CA8DCBD6D,FALTER_20221005_77EFA42061,FALTER_20221005_77EFA42061,FALTER_20220406_CFF3E4B722
FALTER_20220420_C63F753BEC,FALTER_20220323_71021BE719,FALTER_20221116_A42AA55DC7,FALTER_20220518_B804602C3C,FALTER_20220323_71021BE719,FALTER_20220420_C63F753BEC
FALTER_20220223_269DAE0D66,FALTER_20220316_1D748E9100,FALTER_20220608_F70F9ED753,FALTER_20221207_C46C907D2D,FALTER_20221207_C46C907D2D,FALTER_20220316_1D748E9100
FALTER_20221026_18EA474D13,FALTER_20220518_B804602C3C,FALTER_20221207_C46C907D2D,FALTER_20220316_1D748E9100,FALTER_20221207_C46C907D2D,FALTER_20220316_1D748E9100
FALTER_20220223_788A4CE7AA,FALTER_20220608_F70F9ED753,FALTER_20220223_269DAE0D66,FALTER_20220420_C63F753BEC,FALTER_20220608_F70F9ED753,FALTER_20220223_788A4CE7AA
FALTER_20220406_CFF3E4B722,FALTER_20221116_A42AA55DC7,FALTER_20221116_3913A4A32F,FALTER_20220323_71021BE719,FALTER_20220323_71021BE719,FALTER_20220406_CFF3E4B722
FALTER_20220928_2319A44747,FALTER_20221005_77EFA42061,FALTER_20220209_5CA8DCBD6D,FALTER_20220223_788A4CE7AA,FALTER_20221005_77EFA42061,FALTER_20220223_788A4CE7AA
FALTER_20220316_1D748E9100,FALTER_20221026_18EA474D13,FALTER_20221005_77EFA42061,FALTER_20220209_5CA8DCBD6D,FALTER_20221005_77EFA42061,FALTER_20220316_1D748E9100
FALTER_20221116_3913A4A32F,FALTER_20220608_F70F9ED753,FALTER_20220323_71021BE719,FALTER_20220928_2319A44747,FALTER_20220323_71021BE719,FALTER_20220928_2319A44747
FALTER_20221207_C46C907D2D,FALTER_20220406_CFF3E4B722,FALTER_20220420_C63F753BEC,FALTER_20221116_A42AA55DC7,FALTER_20221207_C46C907D2D,FALTER_20220420_C63F753BEC
FALTER_20220518_B804602C3C,FALTER_20220223_269DAE0D66,FALTER_20221116_3913A4A32F,FALTER_20220209_5CA8DCBD6D,FALTER_20220209_5CA8DCBD6D,FALTER_20220518_B804602C3C
FALTER_20220223_788A4CE7AA,FALTER_20220518_B804602C3C,FALTER_20220406_CFF3E4B722,FALTER_20221116_A42AA55DC7,FALTER_20221116_A42AA55DC7,FALTER_20220223_788A4CE7AA
FALTER_20221005_77EFA42061,FALTER_20220420_C63F753BEC,FALTER_20220316_1D748E9100,FALTER_20220323_71021BE719,FALTER_20221005_77EFA42061,FALTER_20220316_1D748E9100
FALTER_20220608_F70F9ED753,FALTER_20221026_18EA474D13,FALTER_20220223_269DAE0D66,FALTER_20221207_C46C907D2D,FALTER_20221207_C46C907D2D,FALTER_20220223_269DAE0D66
FALTER_20220928_2319A44747,FALTER_20220406_CFF3E4B722,FALTER_20220223_269DAE0D66,FALTER_20221005_77EFA42061,FALTER_20221005_77EFA42061,FALTER_20220406_CFF3E4B722
FALTER_20220323_71021BE719,FALTER_20220223_788A4CE7AA,FALTER_20220420_C63F753BEC,FALTER_20221026_18EA474D13,FALTER_20220323_71021BE719,FALTER_20220223_788A4CE7AA
FALTER_20220608_F70F9ED753,FALTER_20221207_C46C907D2D,FALTER_20220928_2319A44747,FALTER_20220316_1D748E9100,FALTER_20221207_C46C907D2D,FALTER_20220316_1D748E9100
FALTER_20221116_A42AA55DC7,FALTER_20221116_3913A4A32F,FALTER_20220518_B804602C3C,FALTER_20220209_5CA8DCBD6D,FALTER_20220209_5CA8DCBD6D,FALTER_20220518_B804602C3C
