AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220831_C23C6B817B,FALTER_20220119_5B01A8DA71,FALTER_20220608_793A4CE426,FALTER_20220309_E0E0B5AA9A,FALTER_20220831_C23C6B817B,FALTER_20220608_793A4CE426
FALTER_20221019_F87E70B8F5,FALTER_20221116_75E1D903DF,FALTER_20220629_B126BBF5D7,FALTER_20220126_FC2A19179F,FALTER_20220629_B126BBF5D7,FALTER_20220126_FC2A19179F
FALTER_20211222_40076C3AB9,FALTER_20220223_F82A34E466,FALTER_20220706_C790704099,FALTER_20220202_FC9C0315FA,FALTER_20220706_C790704099,FALTER_20211222_40076C3AB9
FALTER_20220727_20B1FA0DCE,FALTER_20220907_E1CBB33DF0,FALTER_20220427_ABD77B8E9F,FALTER_20221116_75E1D903DF,FALTER_20220727_20B1FA0DCE,FALTER_20220427_ABD77B8E9F
FALTER_20220629_B126BBF5D7,FALTER_20220608_793A4CE426,FALTER_20220223_F82A34E466,FALTER_20211222_40076C3AB9,FALTER_20220629_B126BBF5D7,FALTER_20211222_40076C3AB9
FALTER_20220202_FC9C0315FA,FALTER_20221019_F87E70B8F5,FALTER_20220309_E0E0B5AA9A,FALTER_20220119_5B01A8DA71,FALTER_20220119_5B01A8DA71,FALTER_20220202_FC9C0315FA
FALTER_20220126_FC2A19179F,FALTER_20220727_20B1FA0DCE,FALTER_20220706_C790704099,FALTER_20220831_C23C6B817B,FALTER_20220727_20B1FA0DCE,FALTER_20220126_FC2A19179F
FALTER_20220907_E1CBB33DF0,FALTER_20220427_ABD77B8E9F,FALTER_20220119_5B01A8DA71,FALTER_20220202_FC9C0315FA,FALTER_20220119_5B01A8DA71,FALTER_20220202_FC9C0315FA
FALTER_20221116_75E1D903DF,FALTER_20220608_793A4CE426,FALTER_20220907_E1CBB33DF0,FALTER_20220126_FC2A19179F,FALTER_20221116_75E1D903DF,FALTER_20220126_FC2A19179F
FALTER_20211222_40076C3AB9,FALTER_20220309_E0E0B5AA9A,FALTER_20220831_C23C6B817B,FALTER_20220706_C790704099,FALTER_20220831_C23C6B817B,FALTER_20211222_40076C3AB9
FALTER_20221019_F87E70B8F5,FALTER_20220727_20B1FA0DCE,FALTER_20220629_B126BBF5D7,FALTER_20220223_F82A34E466,FALTER_20220629_B126BBF5D7,FALTER_20220223_F82A34E466
FALTER_20220427_ABD77B8E9F,FALTER_20220706_C790704099,FALTER_20220907_E1CBB33DF0,FALTER_20220126_FC2A19179F,FALTER_20220907_E1CBB33DF0,FALTER_20220126_FC2A19179F
FALTER_20220309_E0E0B5AA9A,FALTER_20220831_C23C6B817B,FALTER_20211222_40076C3AB9,FALTER_20220727_20B1FA0DCE,FALTER_20220727_20B1FA0DCE,FALTER_20211222_40076C3AB9
FALTER_20220427_ABD77B8E9F,FALTER_20220223_F82A34E466,FALTER_20221019_F87E70B8F5,FALTER_20220608_793A4CE426,FALTER_20221019_F87E70B8F5,FALTER_20220608_793A4CE426
FALTER_20220119_5B01A8DA71,FALTER_20220202_FC9C0315FA,FALTER_20220629_B126BBF5D7,FALTER_20221116_75E1D903DF,FALTER_20220629_B126BBF5D7,FALTER_20220202_FC9C0315FA
FALTER_20220831_C23C6B817B,FALTER_20220608_793A4CE426,FALTER_20221116_75E1D903DF,FALTER_20220202_FC9C0315FA,FALTER_20220831_C23C6B817B,FALTER_20220202_FC9C0315FA
FALTER_20220126_FC2A19179F,FALTER_20220629_B126BBF5D7,FALTER_20220119_5B01A8DA71,FALTER_20220427_ABD77B8E9F,FALTER_20220629_B126BBF5D7,FALTER_20220126_FC2A19179F
FALTER_20220309_E0E0B5AA9A,FALTER_20221019_F87E70B8F5,FALTER_20220907_E1CBB33DF0,FALTER_20220223_F82A34E466,FALTER_20220309_E0E0B5AA9A,FALTER_20220223_F82A34E466
