AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220518_D9551C3082,FALTER_20220216_154FB2A50F,FALTER_20220330_93F086AB99,FALTER_20220316_D409B172B0,FALTER_20220518_D9551C3082,FALTER_20220330_93F086AB99
FALTER_20220803_F2C9E4BA31,FALTER_20220921_22135BD9FB,FALTER_20220406_CC27DF0231,FALTER_20220302_19351A344E,FALTER_20220406_CC27DF0231,FALTER_20220803_F2C9E4BA31
FALTER_20220216_0CFAC71764,FALTER_20220316_C33003D020,FALTER_20220427_2C913FA8F8,FALTER_20220302_A898C15939,FALTER_20220302_A898C15939,FALTER_20220427_2C913FA8F8
FALTER_20220518_B804602C3C,FALTER_20220727_8183AA9689,FALTER_20220323_9D2681AD74,FALTER_20220921_22135BD9FB,FALTER_20220727_8183AA9689,FALTER_20220323_9D2681AD74
FALTER_20220406_CC27DF0231,FALTER_20220330_93F086AB99,FALTER_20220316_C33003D020,FALTER_20220216_0CFAC71764,FALTER_20220406_CC27DF0231,FALTER_20220316_C33003D020
FALTER_20220302_A898C15939,FALTER_20220803_F2C9E4BA31,FALTER_20220316_D409B172B0,FALTER_20220216_154FB2A50F,FALTER_20220302_A898C15939,FALTER_20220803_F2C9E4BA31
FALTER_20220302_19351A344E,FALTER_20220518_B804602C3C,FALTER_20220427_2C913FA8F8,FALTER_20220518_D9551C3082,FALTER_20220518_D9551C3082,FALTER_20220427_2C913FA8F8
FALTER_20220727_8183AA9689,FALTER_20220323_9D2681AD74,FALTER_20220216_154FB2A50F,FALTER_20220302_A898C15939,FALTER_20220302_A898C15939,FALTER_20220323_9D2681AD74
FALTER_20220921_22135BD9FB,FALTER_20220330_93F086AB99,FALTER_20220727_8183AA9689,FALTER_20220302_19351A344E,FALTER_20220727_8183AA9689,FALTER_20220330_93F086AB99
FALTER_20220216_0CFAC71764,FALTER_20220316_D409B172B0,FALTER_20220518_D9551C3082,FALTER_20220427_2C913FA8F8,FALTER_20220518_D9551C3082,FALTER_20220427_2C913FA8F8
FALTER_20220803_F2C9E4BA31,FALTER_20220518_B804602C3C,FALTER_20220406_CC27DF0231,FALTER_20220316_C33003D020,FALTER_20220406_CC27DF0231,FALTER_20220316_C33003D020
FALTER_20220323_9D2681AD74,FALTER_20220427_2C913FA8F8,FALTER_20220727_8183AA9689,FALTER_20220302_19351A344E,FALTER_20220727_8183AA9689,FALTER_20220427_2C913FA8F8
FALTER_20220316_D409B172B0,FALTER_20220518_D9551C3082,FALTER_20220216_0CFAC71764,FALTER_20220518_B804602C3C,FALTER_20220518_D9551C3082,FALTER_20220316_D409B172B0
FALTER_20220323_9D2681AD74,FALTER_20220316_C33003D020,FALTER_20220803_F2C9E4BA31,FALTER_20220330_93F086AB99,FALTER_20220323_9D2681AD74,FALTER_20220330_93F086AB99
FALTER_20220216_154FB2A50F,FALTER_20220302_A898C15939,FALTER_20220406_CC27DF0231,FALTER_20220921_22135BD9FB,FALTER_20220406_CC27DF0231,FALTER_20220921_22135BD9FB
FALTER_20220518_D9551C3082,FALTER_20220330_93F086AB99,FALTER_20220921_22135BD9FB,FALTER_20220302_A898C15939,FALTER_20220302_A898C15939,FALTER_20220330_93F086AB99
FALTER_20220302_19351A344E,FALTER_20220406_CC27DF0231,FALTER_20220216_154FB2A50F,FALTER_20220323_9D2681AD74,FALTER_20220406_CC27DF0231,FALTER_20220302_19351A344E
FALTER_20220316_D409B172B0,FALTER_20220803_F2C9E4BA31,FALTER_20220727_8183AA9689,FALTER_20220316_C33003D020,FALTER_20220727_8183AA9689,FALTER_20220316_C33003D020
FALTER_20220427_2C913FA8F8,FALTER_20220518_B804602C3C,FALTER_20220216_0CFAC71764,FALTER_20220302_19351A344E,FALTER_20220216_0CFAC71764,FALTER_20220427_2C913FA8F8
FALTER_20220302_A898C15939,FALTER_20220518_D9551C3082,FALTER_20220518_B804602C3C,FALTER_20220216_0CFAC71764,FALTER_20220302_A898C15939,FALTER_20220518_B804602C3C
FALTER_20220727_8183AA9689,FALTER_20220406_CC27DF0231,FALTER_20220316_C33003D020,FALTER_20220427_2C913FA8F8,FALTER_20220406_CC27DF0231,FALTER_20220316_C33003D020
FALTER_20220921_22135BD9FB,FALTER_20220316_D409B172B0,FALTER_20220323_9D2681AD74,FALTER_20220803_F2C9E4BA31,FALTER_20220323_9D2681AD74,FALTER_20220803_F2C9E4BA31
