AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220921_95D62844CB,FALTER_20220223_788A4CE7AA,FALTER_20220720_0FDA600BCB,FALTER_20220518_5D0C6D9F5A,FALTER_20220223_788A4CE7AA,FALTER_20220921_95D62844CB
FALTER_20221102_D4FD5EB4A6,FALTER_20221116_BE96E2B85C,FALTER_20220803_8ACD9FFD49,FALTER_20220302_63C9BC313C,FALTER_20220803_8ACD9FFD49,FALTER_20221102_D4FD5EB4A6
FALTER_20220126_7B2AC42DD5,FALTER_20220413_8CAD826DDB,FALTER_20220817_845203A9A2,FALTER_20220406_0B77A65566,FALTER_20220817_845203A9A2,FALTER_20220413_8CAD826DDB
FALTER_20220907_E1CBB33DF0,FALTER_20221026_FE82960967,FALTER_20220518_B804602C3C,FALTER_20221116_BE96E2B85C,FALTER_20221116_BE96E2B85C,FALTER_20220907_E1CBB33DF0
FALTER_20220803_8ACD9FFD49,FALTER_20220720_0FDA600BCB,FALTER_20220413_8CAD826DDB,FALTER_20220126_7B2AC42DD5,FALTER_20220803_8ACD9FFD49,FALTER_20220413_8CAD826DDB
FALTER_20220406_0B77A65566,FALTER_20221102_D4FD5EB4A6,FALTER_20220518_5D0C6D9F5A,FALTER_20220223_788A4CE7AA,FALTER_20220223_788A4CE7AA,FALTER_20221102_D4FD5EB4A6
FALTER_20220302_63C9BC313C,FALTER_20220907_E1CBB33DF0,FALTER_20220817_845203A9A2,FALTER_20220921_95D62844CB,FALTER_20220817_845203A9A2,FALTER_20220907_E1CBB33DF0
FALTER_20221026_FE82960967,FALTER_20220518_B804602C3C,FALTER_20220223_788A4CE7AA,FALTER_20220406_0B77A65566,FALTER_20220223_788A4CE7AA,FALTER_20221026_FE82960967
FALTER_20221116_BE96E2B85C,FALTER_20220720_0FDA600BCB,FALTER_20221026_FE82960967,FALTER_20220302_63C9BC313C,FALTER_20220302_63C9BC313C,FALTER_20221026_FE82960967
FALTER_20220126_7B2AC42DD5,FALTER_20220518_5D0C6D9F5A,FALTER_20220921_95D62844CB,FALTER_20220817_845203A9A2,FALTER_20220518_5D0C6D9F5A,FALTER_20220921_95D62844CB
