AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220817_48D18A9ED4,FALTER_20220119_2B788365FB,FALTER_20220504_BC34714783,FALTER_20220420_E36D89532A,FALTER_20220817_48D18A9ED4,FALTER_20220119_2B788365FB
FALTER_20221019_ABF2D5B769,FALTER_20221130_3623C3579B,FALTER_20220622_A64E9B9B08,FALTER_20220309_0CD87C4668,FALTER_20221019_ABF2D5B769,FALTER_20221130_3623C3579B
FALTER_20220119_1F6354D7B6,FALTER_20220420_7F81E94822,FALTER_20220720_6134887EB6,FALTER_20220406_EBB2D91986,FALTER_20220720_6134887EB6,FALTER_20220406_EBB2D91986
FALTER_20220727_1EC5B851D7,FALTER_20220824_9357B492F4,FALTER_20220427_7C0FE67882,FALTER_20221130_3623C3579B,FALTER_20220427_7C0FE67882,FALTER_20221130_3623C3579B
FALTER_20220622_A64E9B9B08,FALTER_20220504_BC34714783,FALTER_20220420_7F81E94822,FALTER_20220119_1F6354D7B6,FALTER_20220119_1F6354D7B6,FALTER_20220622_A64E9B9B08
FALTER_20220406_EBB2D91986,FALTER_20221019_ABF2D5B769,FALTER_20220420_E36D89532A,FALTER_20220119_2B788365FB,FALTER_20220420_E36D89532A,FALTER_20220119_2B788365FB
FALTER_20220309_0CD87C4668,FALTER_20220727_1EC5B851D7,FALTER_20220720_6134887EB6,FALTER_20220817_48D18A9ED4,FALTER_20220817_48D18A9ED4,FALTER_20220727_1EC5B851D7
FALTER_20220824_9357B492F4,FALTER_20220427_7C0FE67882,FALTER_20220119_2B788365FB,FALTER_20220406_EBB2D91986,FALTER_20220427_7C0FE67882,FALTER_20220119_2B788365FB
FALTER_20221130_3623C3579B,FALTER_20220504_BC34714783,FALTER_20220824_9357B492F4,FALTER_20220309_0CD87C4668,FALTER_20220309_0CD87C4668,FALTER_20221130_3623C3579B
FALTER_20220119_1F6354D7B6,FALTER_20220420_E36D89532A,FALTER_20220817_48D18A9ED4,FALTER_20220720_6134887EB6,FALTER_20220817_48D18A9ED4,FALTER_20220119_1F6354D7B6
FALTER_20221019_ABF2D5B769,FALTER_20220727_1EC5B851D7,FALTER_20220622_A64E9B9B08,FALTER_20220420_7F81E94822,FALTER_20221019_ABF2D5B769,FALTER_20220622_A64E9B9B08
FALTER_20220427_7C0FE67882,FALTER_20220720_6134887EB6,FALTER_20220824_9357B492F4,FALTER_20220309_0CD87C4668,FALTER_20220720_6134887EB6,FALTER_20220824_9357B492F4
FALTER_20220420_E36D89532A,FALTER_20220817_48D18A9ED4,FALTER_20220119_1F6354D7B6,FALTER_20220727_1EC5B851D7,FALTER_20220817_48D18A9ED4,FALTER_20220727_1EC5B851D7
FALTER_20220427_7C0FE67882,FALTER_20220420_7F81E94822,FALTER_20221019_ABF2D5B769,FALTER_20220504_BC34714783,FALTER_20221019_ABF2D5B769,FALTER_20220420_7F81E94822
FALTER_20220119_2B788365FB,FALTER_20220406_EBB2D91986,FALTER_20220622_A64E9B9B08,FALTER_20221130_3623C3579B,FALTER_20220119_2B788365FB,FALTER_20221130_3623C3579B
FALTER_20220817_48D18A9ED4,FALTER_20220504_BC34714783,FALTER_20221130_3623C3579B,FALTER_20220406_EBB2D91986,FALTER_20220817_48D18A9ED4,FALTER_20221130_3623C3579B
FALTER_20220309_0CD87C4668,FALTER_20220622_A64E9B9B08,FALTER_20220119_2B788365FB,FALTER_20220427_7C0FE67882,FALTER_20220427_7C0FE67882,FALTER_20220622_A64E9B9B08
FALTER_20220420_E36D89532A,FALTER_20221019_ABF2D5B769,FALTER_20220824_9357B492F4,FALTER_20220420_7F81E94822,FALTER_20221019_ABF2D5B769,FALTER_20220420_7F81E94822
FALTER_20220720_6134887EB6,FALTER_20220727_1EC5B851D7,FALTER_20220119_1F6354D7B6,FALTER_20220309_0CD87C4668,FALTER_20220720_6134887EB6,FALTER_20220727_1EC5B851D7
FALTER_20220406_EBB2D91986,FALTER_20220817_48D18A9ED4,FALTER_20220727_1EC5B851D7,FALTER_20220119_1F6354D7B6,FALTER_20220817_48D18A9ED4,FALTER_20220727_1EC5B851D7
FALTER_20220824_9357B492F4,FALTER_20220622_A64E9B9B08,FALTER_20220420_7F81E94822,FALTER_20220720_6134887EB6,FALTER_20220720_6134887EB6,FALTER_20220622_A64E9B9B08
FALTER_20221130_3623C3579B,FALTER_20220420_E36D89532A,FALTER_20220427_7C0FE67882,FALTER_20221019_ABF2D5B769,FALTER_20221019_ABF2D5B769,FALTER_20221130_3623C3579B
FALTER_20220504_BC34714783,FALTER_20220119_2B788365FB,FALTER_20220824_9357B492F4,FALTER_20220119_1F6354D7B6,FALTER_20220119_1F6354D7B6,FALTER_20220824_9357B492F4
FALTER_20220309_0CD87C4668,FALTER_20220504_BC34714783,FALTER_20220420_E36D89532A,FALTER_20221019_ABF2D5B769,FALTER_20221019_ABF2D5B769,FALTER_20220504_BC34714783
FALTER_20220727_1EC5B851D7,FALTER_20220427_7C0FE67882,FALTER_20220406_EBB2D91986,FALTER_20220420_7F81E94822,FALTER_20220427_7C0FE67882,FALTER_20220727_1EC5B851D7
FALTER_20220622_A64E9B9B08,FALTER_20220817_48D18A9ED4,FALTER_20220119_2B788365FB,FALTER_20221130_3623C3579B,FALTER_20220817_48D18A9ED4,FALTER_20221130_3623C3579B
FALTER_20220720_6134887EB6,FALTER_20220420_E36D89532A,FALTER_20220119_2B788365FB,FALTER_20220727_1EC5B851D7,FALTER_20220420_E36D89532A,FALTER_20220119_2B788365FB
FALTER_20220420_7F81E94822,FALTER_20220309_0CD87C4668,FALTER_20220427_7C0FE67882,FALTER_20220817_48D18A9ED4,FALTER_20220817_48D18A9ED4,FALTER_20220420_7F81E94822
FALTER_20220622_A64E9B9B08,FALTER_20221130_3623C3579B,FALTER_20220720_6134887EB6,FALTER_20220406_EBB2D91986,FALTER_20220720_6134887EB6,FALTER_20221130_3623C3579B
FALTER_20221019_ABF2D5B769,FALTER_20220824_9357B492F4,FALTER_20220504_BC34714783,FALTER_20220119_1F6354D7B6,FALTER_20221019_ABF2D5B769,FALTER_20220824_9357B492F4
