AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220713_D8612F682B,FALTER_20211222_825B589FCB,FALTER_20220511_63A4F6D2A6,FALTER_20220316_A159C3BA90,FALTER_20211222_825B589FCB,FALTER_20220511_63A4F6D2A6
FALTER_20221116_0FCB20CC6E,FALTER_20221207_E9494FF749,FALTER_20220518_1B9E34C8DD,FALTER_20211222_E7A625F5A8,FALTER_20221207_E9494FF749,FALTER_20220518_1B9E34C8DD
FALTER_20211222_350451C304,FALTER_20220119_11AD158F32,FALTER_20220518_B1F6C572A8,FALTER_20211222_FD8F17EAB4,FALTER_20220518_B1F6C572A8,FALTER_20220119_11AD158F32
FALTER_20220525_CBA5FCF2F5,FALTER_20220803_F6FBD645BC,FALTER_20220413_41501B8D61,FALTER_20221207_E9494FF749,FALTER_20220803_F6FBD645BC,FALTER_20220413_41501B8D61
FALTER_20220518_1B9E34C8DD,FALTER_20220511_63A4F6D2A6,FALTER_20220119_11AD158F32,FALTER_20211222_350451C304,FALTER_20211222_350451C304,FALTER_20220119_11AD158F32
FALTER_20211222_FD8F17EAB4,FALTER_20221116_0FCB20CC6E,FALTER_20220316_A159C3BA90,FALTER_20211222_825B589FCB,FALTER_20211222_825B589FCB,FALTER_20221116_0FCB20CC6E
FALTER_20211222_E7A625F5A8,FALTER_20220525_CBA5FCF2F5,FALTER_20220518_B1F6C572A8,FALTER_20220713_D8612F682B,FALTER_20220525_CBA5FCF2F5,FALTER_20211222_E7A625F5A8
FALTER_20220803_F6FBD645BC,FALTER_20220413_41501B8D61,FALTER_20211222_825B589FCB,FALTER_20211222_FD8F17EAB4,FALTER_20211222_825B589FCB,FALTER_20220413_41501B8D61
FALTER_20221207_E9494FF749,FALTER_20220511_63A4F6D2A6,FALTER_20220803_F6FBD645BC,FALTER_20211222_E7A625F5A8,FALTER_20221207_E9494FF749,FALTER_20220511_63A4F6D2A6
FALTER_20211222_350451C304,FALTER_20220316_A159C3BA90,FALTER_20220713_D8612F682B,FALTER_20220518_B1F6C572A8,FALTER_20220518_B1F6C572A8,FALTER_20211222_350451C304
FALTER_20221116_0FCB20CC6E,FALTER_20220525_CBA5FCF2F5,FALTER_20220518_1B9E34C8DD,FALTER_20220119_11AD158F32,FALTER_20220525_CBA5FCF2F5,FALTER_20220119_11AD158F32
FALTER_20220413_41501B8D61,FALTER_20220518_B1F6C572A8,FALTER_20220803_F6FBD645BC,FALTER_20211222_E7A625F5A8,FALTER_20220518_B1F6C572A8,FALTER_20220413_41501B8D61
FALTER_20220316_A159C3BA90,FALTER_20220713_D8612F682B,FALTER_20211222_350451C304,FALTER_20220525_CBA5FCF2F5,FALTER_20220713_D8612F682B,FALTER_20211222_350451C304
FALTER_20220413_41501B8D61,FALTER_20220119_11AD158F32,FALTER_20221116_0FCB20CC6E,FALTER_20220511_63A4F6D2A6,FALTER_20220511_63A4F6D2A6,FALTER_20220119_11AD158F32
FALTER_20211222_825B589FCB,FALTER_20211222_FD8F17EAB4,FALTER_20220518_1B9E34C8DD,FALTER_20221207_E9494FF749,FALTER_20211222_825B589FCB,FALTER_20220518_1B9E34C8DD
FALTER_20220713_D8612F682B,FALTER_20220511_63A4F6D2A6,FALTER_20221207_E9494FF749,FALTER_20211222_FD8F17EAB4,FALTER_20220713_D8612F682B,FALTER_20211222_FD8F17EAB4
FALTER_20211222_E7A625F5A8,FALTER_20220518_1B9E34C8DD,FALTER_20211222_825B589FCB,FALTER_20220413_41501B8D61,FALTER_20211222_825B589FCB,FALTER_20220413_41501B8D61
FALTER_20220316_A159C3BA90,FALTER_20221116_0FCB20CC6E,FALTER_20220803_F6FBD645BC,FALTER_20220119_11AD158F32,FALTER_20220803_F6FBD645BC,FALTER_20221116_0FCB20CC6E
FALTER_20220518_B1F6C572A8,FALTER_20220525_CBA5FCF2F5,FALTER_20211222_350451C304,FALTER_20211222_E7A625F5A8,FALTER_20220518_B1F6C572A8,FALTER_20211222_E7A625F5A8
FALTER_20211222_FD8F17EAB4,FALTER_20220713_D8612F682B,FALTER_20220525_CBA5FCF2F5,FALTER_20211222_350451C304,FALTER_20220525_CBA5FCF2F5,FALTER_20211222_FD8F17EAB4
FALTER_20220803_F6FBD645BC,FALTER_20220518_1B9E34C8DD,FALTER_20220119_11AD158F32,FALTER_20220518_B1F6C572A8,FALTER_20220518_B1F6C572A8,FALTER_20220119_11AD158F32
FALTER_20221207_E9494FF749,FALTER_20220316_A159C3BA90,FALTER_20220413_41501B8D61,FALTER_20221116_0FCB20CC6E,FALTER_20221207_E9494FF749,FALTER_20221116_0FCB20CC6E
FALTER_20220511_63A4F6D2A6,FALTER_20211222_825B589FCB,FALTER_20220803_F6FBD645BC,FALTER_20211222_350451C304,FALTER_20211222_825B589FCB,FALTER_20211222_350451C304
FALTER_20211222_E7A625F5A8,FALTER_20220511_63A4F6D2A6,FALTER_20220316_A159C3BA90,FALTER_20221116_0FCB20CC6E,FALTER_20220316_A159C3BA90,FALTER_20221116_0FCB20CC6E
