AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220622_C498E573D8,FALTER_20211222_62A097197C,FALTER_20220316_2C171D199C,FALTER_20220223_8881BD5C76,FALTER_20220622_C498E573D8,FALTER_20220223_8881BD5C76
FALTER_20220713_CD238F43BD,FALTER_20220824_20CCA77D6B,FALTER_20220406_2C2BAA6A71,FALTER_20211222_825B589FCB,FALTER_20220713_CD238F43BD,FALTER_20220824_20CCA77D6B
FALTER_20211215_73A6B01646,FALTER_20220209_D2A45298D8,FALTER_20220413_41501B8D61,FALTER_20220202_E026B80A15,FALTER_20220209_D2A45298D8,FALTER_20220413_41501B8D61
FALTER_20220511_71668B1344,FALTER_20220706_ECEF13684E,FALTER_20220302_E77A8F4F19,FALTER_20220824_20CCA77D6B,FALTER_20220302_E77A8F4F19,FALTER_20220511_71668B1344
FALTER_20220406_2C2BAA6A71,FALTER_20220316_2C171D199C,FALTER_20220209_D2A45298D8,FALTER_20211215_73A6B01646,FALTER_20220406_2C2BAA6A71,FALTER_20211215_73A6B01646
FALTER_20220202_E026B80A15,FALTER_20220713_CD238F43BD,FALTER_20220223_8881BD5C76,FALTER_20211222_62A097197C,FALTER_20220713_CD238F43BD,FALTER_20220223_8881BD5C76
FALTER_20211222_825B589FCB,FALTER_20220511_71668B1344,FALTER_20220413_41501B8D61,FALTER_20220622_C498E573D8,FALTER_20220622_C498E573D8,FALTER_20220511_71668B1344
FALTER_20220706_ECEF13684E,FALTER_20220302_E77A8F4F19,FALTER_20211222_62A097197C,FALTER_20220202_E026B80A15,FALTER_20220302_E77A8F4F19,FALTER_20220202_E026B80A15
FALTER_20220824_20CCA77D6B,FALTER_20220316_2C171D199C,FALTER_20220706_ECEF13684E,FALTER_20211222_825B589FCB,FALTER_20211222_825B589FCB,FALTER_20220824_20CCA77D6B
FALTER_20211215_73A6B01646,FALTER_20220223_8881BD5C76,FALTER_20220622_C498E573D8,FALTER_20220413_41501B8D61,FALTER_20220622_C498E573D8,FALTER_20220413_41501B8D61
FALTER_20220713_CD238F43BD,FALTER_20220511_71668B1344,FALTER_20220406_2C2BAA6A71,FALTER_20220209_D2A45298D8,FALTER_20220209_D2A45298D8,FALTER_20220511_71668B1344
