AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220824_20CCA77D6B,FALTER_20211222_BA9781D05E,FALTER_20220406_0B77A65566,FALTER_20220216_7565FEF4B8,FALTER_20220406_0B77A65566,FALTER_20220216_7565FEF4B8
FALTER_20221005_AEB2C76D66,FALTER_20221207_71DD597266,FALTER_20220406_7C4E975FD1,FALTER_20211222_E7A625F5A8,FALTER_20221005_AEB2C76D66,FALTER_20220406_7C4E975FD1
FALTER_20211222_825B589FCB,FALTER_20220209_A2A33B7FC0,FALTER_20220518_B804602C3C,FALTER_20220112_40AE2958E6,FALTER_20211222_825B589FCB,FALTER_20220518_B804602C3C
FALTER_20220615_1EF1296218,FALTER_20220907_EAC44E3722,FALTER_20220302_19351A344E,FALTER_20221207_71DD597266,FALTER_20220907_EAC44E3722,FALTER_20220302_19351A344E
FALTER_20220406_7C4E975FD1,FALTER_20220406_0B77A65566,FALTER_20220209_A2A33B7FC0,FALTER_20211222_825B589FCB,FALTER_20211222_825B589FCB,FALTER_20220406_7C4E975FD1
FALTER_20220112_40AE2958E6,FALTER_20221005_AEB2C76D66,FALTER_20220216_7565FEF4B8,FALTER_20211222_BA9781D05E,FALTER_20221005_AEB2C76D66,FALTER_20211222_BA9781D05E
FALTER_20211222_E7A625F5A8,FALTER_20220615_1EF1296218,FALTER_20220518_B804602C3C,FALTER_20220824_20CCA77D6B,FALTER_20211222_E7A625F5A8,FALTER_20220518_B804602C3C
FALTER_20220907_EAC44E3722,FALTER_20220302_19351A344E,FALTER_20211222_BA9781D05E,FALTER_20220112_40AE2958E6,FALTER_20220907_EAC44E3722,FALTER_20211222_BA9781D05E
FALTER_20221207_71DD597266,FALTER_20220406_0B77A65566,FALTER_20220907_EAC44E3722,FALTER_20211222_E7A625F5A8,FALTER_20220907_EAC44E3722,FALTER_20221207_71DD597266
FALTER_20211222_825B589FCB,FALTER_20220216_7565FEF4B8,FALTER_20220824_20CCA77D6B,FALTER_20220518_B804602C3C,FALTER_20211222_825B589FCB,FALTER_20220518_B804602C3C
FALTER_20221005_AEB2C76D66,FALTER_20220615_1EF1296218,FALTER_20220406_7C4E975FD1,FALTER_20220209_A2A33B7FC0,FALTER_20221005_AEB2C76D66,FALTER_20220406_7C4E975FD1
FALTER_20220302_19351A344E,FALTER_20220518_B804602C3C,FALTER_20220907_EAC44E3722,FALTER_20211222_E7A625F5A8,FALTER_20220907_EAC44E3722,FALTER_20220302_19351A344E
FALTER_20220216_7565FEF4B8,FALTER_20220824_20CCA77D6B,FALTER_20211222_825B589FCB,FALTER_20220615_1EF1296218,FALTER_20211222_825B589FCB,FALTER_20220216_7565FEF4B8
FALTER_20220302_19351A344E,FALTER_20220209_A2A33B7FC0,FALTER_20221005_AEB2C76D66,FALTER_20220406_0B77A65566,FALTER_20221005_AEB2C76D66,FALTER_20220302_19351A344E
FALTER_20211222_BA9781D05E,FALTER_20220112_40AE2958E6,FALTER_20220406_7C4E975FD1,FALTER_20221207_71DD597266,FALTER_20220112_40AE2958E6,FALTER_20211222_BA9781D05E
FALTER_20220824_20CCA77D6B,FALTER_20220406_0B77A65566,FALTER_20221207_71DD597266,FALTER_20220112_40AE2958E6,FALTER_20220406_0B77A65566,FALTER_20221207_71DD597266
FALTER_20211222_E7A625F5A8,FALTER_20220406_7C4E975FD1,FALTER_20211222_BA9781D05E,FALTER_20220302_19351A344E,FALTER_20211222_E7A625F5A8,FALTER_20211222_BA9781D05E
FALTER_20220216_7565FEF4B8,FALTER_20221005_AEB2C76D66,FALTER_20220907_EAC44E3722,FALTER_20220209_A2A33B7FC0,FALTER_20221005_AEB2C76D66,FALTER_20220216_7565FEF4B8
FALTER_20220518_B804602C3C,FALTER_20220615_1EF1296218,FALTER_20211222_825B589FCB,FALTER_20211222_E7A625F5A8,FALTER_20211222_825B589FCB,FALTER_20220518_B804602C3C
FALTER_20220112_40AE2958E6,FALTER_20220824_20CCA77D6B,FALTER_20220615_1EF1296218,FALTER_20211222_825B589FCB,FALTER_20211222_825B589FCB,FALTER_20220615_1EF1296218
FALTER_20220907_EAC44E3722,FALTER_20220406_7C4E975FD1,FALTER_20220209_A2A33B7FC0,FALTER_20220518_B804602C3C,FALTER_20220907_EAC44E3722,FALTER_20220518_B804602C3C
