AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221026_ADE085F390,FALTER_20211222_A35407C20B,FALTER_20220629_3529909DD4,FALTER_20220608_EB939901FB,FALTER_20221026_ADE085F390,FALTER_20220608_EB939901FB
FALTER_20221102_92EEC85C8A,FALTER_20221109_F5E4953E67,FALTER_20220817_03FEAB2D01,FALTER_20220112_E00A9069A5,FALTER_20221102_92EEC85C8A,FALTER_20220112_E00A9069A5
FALTER_20211222_40076C3AB9,FALTER_20220413_EDC7023A23,FALTER_20221026_2F69760D33,FALTER_20220302_19351A344E,FALTER_20221026_2F69760D33,FALTER_20220302_19351A344E
FALTER_20221026_792F2C3031,FALTER_20221102_2F75E76A72,FALTER_20220608_F70F9ED753,FALTER_20221109_F5E4953E67,FALTER_20220608_F70F9ED753,FALTER_20221102_2F75E76A72
FALTER_20220817_03FEAB2D01,FALTER_20220629_3529909DD4,FALTER_20220413_EDC7023A23,FALTER_20211222_40076C3AB9,FALTER_20220817_03FEAB2D01,FALTER_20211222_40076C3AB9
FALTER_20220302_19351A344E,FALTER_20221102_92EEC85C8A,FALTER_20220608_EB939901FB,FALTER_20211222_A35407C20B,FALTER_20221102_92EEC85C8A,FALTER_20220608_EB939901FB
FALTER_20220112_E00A9069A5,FALTER_20221026_792F2C3031,FALTER_20221026_2F69760D33,FALTER_20221026_ADE085F390,FALTER_20221026_2F69760D33,FALTER_20221026_792F2C3031
FALTER_20221102_2F75E76A72,FALTER_20220608_F70F9ED753,FALTER_20211222_A35407C20B,FALTER_20220302_19351A344E,FALTER_20220608_F70F9ED753,FALTER_20221102_2F75E76A72
FALTER_20221109_F5E4953E67,FALTER_20220629_3529909DD4,FALTER_20221102_2F75E76A72,FALTER_20220112_E00A9069A5,FALTER_20221109_F5E4953E67,FALTER_20221102_2F75E76A72
FALTER_20211222_40076C3AB9,FALTER_20220608_EB939901FB,FALTER_20221026_ADE085F390,FALTER_20221026_2F69760D33,FALTER_20221026_2F69760D33,FALTER_20220608_EB939901FB
FALTER_20221102_92EEC85C8A,FALTER_20221026_792F2C3031,FALTER_20220817_03FEAB2D01,FALTER_20220413_EDC7023A23,FALTER_20221102_92EEC85C8A,FALTER_20221026_792F2C3031
FALTER_20220608_F70F9ED753,FALTER_20221026_2F69760D33,FALTER_20221102_2F75E76A72,FALTER_20220112_E00A9069A5,FALTER_20221026_2F69760D33,FALTER_20221102_2F75E76A72
FALTER_20220608_EB939901FB,FALTER_20221026_ADE085F390,FALTER_20211222_40076C3AB9,FALTER_20221026_792F2C3031,FALTER_20221026_ADE085F390,FALTER_20221026_792F2C3031
FALTER_20220608_F70F9ED753,FALTER_20220413_EDC7023A23,FALTER_20221102_92EEC85C8A,FALTER_20220629_3529909DD4,FALTER_20221102_92EEC85C8A,FALTER_20220413_EDC7023A23
FALTER_20211222_A35407C20B,FALTER_20220302_19351A344E,FALTER_20220817_03FEAB2D01,FALTER_20221109_F5E4953E67,FALTER_20220817_03FEAB2D01,FALTER_20211222_A35407C20B
FALTER_20221026_ADE085F390,FALTER_20220629_3529909DD4,FALTER_20221109_F5E4953E67,FALTER_20220302_19351A344E,FALTER_20221026_ADE085F390,FALTER_20221109_F5E4953E67
FALTER_20220112_E00A9069A5,FALTER_20220817_03FEAB2D01,FALTER_20211222_A35407C20B,FALTER_20220608_F70F9ED753,FALTER_20220817_03FEAB2D01,FALTER_20211222_A35407C20B
FALTER_20220608_EB939901FB,FALTER_20221102_92EEC85C8A,FALTER_20221102_2F75E76A72,FALTER_20220413_EDC7023A23,FALTER_20221102_92EEC85C8A,FALTER_20221102_2F75E76A72
FALTER_20221026_2F69760D33,FALTER_20221026_792F2C3031,FALTER_20211222_40076C3AB9,FALTER_20220112_E00A9069A5,FALTER_20221026_2F69760D33,FALTER_20221026_792F2C3031
FALTER_20220302_19351A344E,FALTER_20221026_ADE085F390,FALTER_20221026_792F2C3031,FALTER_20211222_40076C3AB9,FALTER_20221026_ADE085F390,FALTER_20221026_792F2C3031
FALTER_20221102_2F75E76A72,FALTER_20220817_03FEAB2D01,FALTER_20220413_EDC7023A23,FALTER_20221026_2F69760D33,FALTER_20221026_2F69760D33,FALTER_20221102_2F75E76A72
FALTER_20221109_F5E4953E67,FALTER_20220608_EB939901FB,FALTER_20220608_F70F9ED753,FALTER_20221102_92EEC85C8A,FALTER_20221102_92EEC85C8A,FALTER_20220608_EB939901FB
FALTER_20220629_3529909DD4,FALTER_20211222_A35407C20B,FALTER_20221102_2F75E76A72,FALTER_20211222_40076C3AB9,FALTER_20211222_40076C3AB9,FALTER_20211222_A35407C20B
FALTER_20220112_E00A9069A5,FALTER_20220629_3529909DD4,FALTER_20220608_EB939901FB,FALTER_20221102_92EEC85C8A,FALTER_20221102_92EEC85C8A,FALTER_20220112_E00A9069A5
FALTER_20221026_792F2C3031,FALTER_20220608_F70F9ED753,FALTER_20220302_19351A344E,FALTER_20220413_EDC7023A23,FALTER_20220608_F70F9ED753,FALTER_20221026_792F2C3031
FALTER_20220817_03FEAB2D01,FALTER_20221026_ADE085F390,FALTER_20211222_A35407C20B,FALTER_20221109_F5E4953E67,FALTER_20221026_ADE085F390,FALTER_20211222_A35407C20B
FALTER_20221026_2F69760D33,FALTER_20220608_EB939901FB,FALTER_20211222_A35407C20B,FALTER_20221026_792F2C3031,FALTER_20221026_2F69760D33,FALTER_20221026_792F2C3031
FALTER_20220413_EDC7023A23,FALTER_20220112_E00A9069A5,FALTER_20220608_F70F9ED753,FALTER_20221026_ADE085F390,FALTER_20221026_ADE085F390,FALTER_20220112_E00A9069A5
FALTER_20220817_03FEAB2D01,FALTER_20221109_F5E4953E67,FALTER_20221026_2F69760D33,FALTER_20220302_19351A344E,FALTER_20221026_2F69760D33,FALTER_20221109_F5E4953E67
FALTER_20221102_92EEC85C8A,FALTER_20221102_2F75E76A72,FALTER_20220629_3529909DD4,FALTER_20211222_40076C3AB9,FALTER_20221102_92EEC85C8A,FALTER_20221102_2F75E76A72
