AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220831_94A149ABB7,FALTER_20211222_E7A625F5A8,FALTER_20220608_EB939901FB,FALTER_20220518_B804602C3C,FALTER_20220608_EB939901FB,FALTER_20220831_94A149ABB7
FALTER_20221019_1D623D2ADF,FALTER_20221102_D4FD5EB4A6,FALTER_20220629_37298F6748,FALTER_20220323_A9D672E0A5,FALTER_20220323_A9D672E0A5,FALTER_20220629_37298F6748
FALTER_20211222_40076C3AB9,FALTER_20220504_BC34714783,FALTER_20220727_5B3FE2D544,FALTER_20220427_7C0FE67882,FALTER_20211222_40076C3AB9,FALTER_20220504_BC34714783
FALTER_20220727_ABE58D8343,FALTER_20221019_0CA617E1B5,FALTER_20220518_E8A03F213C,FALTER_20221102_D4FD5EB4A6,FALTER_20220727_ABE58D8343,FALTER_20221102_D4FD5EB4A6
FALTER_20220629_37298F6748,FALTER_20220608_EB939901FB,FALTER_20220504_BC34714783,FALTER_20211222_40076C3AB9,FALTER_20220608_EB939901FB,FALTER_20220629_37298F6748
FALTER_20220427_7C0FE67882,FALTER_20221019_1D623D2ADF,FALTER_20220518_B804602C3C,FALTER_20211222_E7A625F5A8,FALTER_20211222_E7A625F5A8,FALTER_20220427_7C0FE67882
FALTER_20220323_A9D672E0A5,FALTER_20220727_ABE58D8343,FALTER_20220727_5B3FE2D544,FALTER_20220831_94A149ABB7,FALTER_20220323_A9D672E0A5,FALTER_20220831_94A149ABB7
FALTER_20221019_0CA617E1B5,FALTER_20220518_E8A03F213C,FALTER_20211222_E7A625F5A8,FALTER_20220427_7C0FE67882,FALTER_20221019_0CA617E1B5,FALTER_20220518_E8A03F213C
FALTER_20221102_D4FD5EB4A6,FALTER_20220608_EB939901FB,FALTER_20221019_0CA617E1B5,FALTER_20220323_A9D672E0A5,FALTER_20220323_A9D672E0A5,FALTER_20221102_D4FD5EB4A6
FALTER_20211222_40076C3AB9,FALTER_20220518_B804602C3C,FALTER_20220831_94A149ABB7,FALTER_20220727_5B3FE2D544,FALTER_20211222_40076C3AB9,FALTER_20220831_94A149ABB7
FALTER_20221019_1D623D2ADF,FALTER_20220727_ABE58D8343,FALTER_20220629_37298F6748,FALTER_20220504_BC34714783,FALTER_20220727_ABE58D8343,FALTER_20220504_BC34714783
FALTER_20220518_E8A03F213C,FALTER_20220727_5B3FE2D544,FALTER_20221019_0CA617E1B5,FALTER_20220323_A9D672E0A5,FALTER_20221019_0CA617E1B5,FALTER_20220518_E8A03F213C
FALTER_20220518_B804602C3C,FALTER_20220831_94A149ABB7,FALTER_20211222_40076C3AB9,FALTER_20220727_ABE58D8343,FALTER_20220727_ABE58D8343,FALTER_20220831_94A149ABB7
FALTER_20220518_E8A03F213C,FALTER_20220504_BC34714783,FALTER_20221019_1D623D2ADF,FALTER_20220608_EB939901FB,FALTER_20220608_EB939901FB,FALTER_20220504_BC34714783
FALTER_20211222_E7A625F5A8,FALTER_20220427_7C0FE67882,FALTER_20220629_37298F6748,FALTER_20221102_D4FD5EB4A6,FALTER_20211222_E7A625F5A8,FALTER_20220427_7C0FE67882
