AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20221019_0CA617E1B5,FALTER_20220202_E026B80A15,FALTER_20220413_8CAD826DDB,FALTER_20220323_A9D672E0A5,FALTER_20220323_A9D672E0A5,FALTER_20220413_8CAD826DDB
FALTER_20221123_B5384806DB,FALTER_20221130_3DA212F514,FALTER_20220518_D9551C3082,FALTER_20220216_0CFAC71764,FALTER_20221130_3DA212F514,FALTER_20220518_D9551C3082
FALTER_20211222_62A097197C,FALTER_20220309_D655315C64,FALTER_20220601_DF4297C10C,FALTER_20220223_4FBC9B8C80,FALTER_20220601_DF4297C10C,FALTER_20220223_4FBC9B8C80
FALTER_20220907_E058ABCBB5,FALTER_20221019_1D623D2ADF,FALTER_20220330_CE3567D9B8,FALTER_20221130_3DA212F514,FALTER_20220330_CE3567D9B8,FALTER_20220907_E058ABCBB5
FALTER_20220518_D9551C3082,FALTER_20220413_8CAD826DDB,FALTER_20220309_D655315C64,FALTER_20211222_62A097197C,FALTER_20211222_62A097197C,FALTER_20220518_D9551C3082
FALTER_20220223_4FBC9B8C80,FALTER_20221123_B5384806DB,FALTER_20220323_A9D672E0A5,FALTER_20220202_E026B80A15,FALTER_20220323_A9D672E0A5,FALTER_20220223_4FBC9B8C80
FALTER_20220216_0CFAC71764,FALTER_20220907_E058ABCBB5,FALTER_20220601_DF4297C10C,FALTER_20221019_0CA617E1B5,FALTER_20220601_DF4297C10C,FALTER_20220907_E058ABCBB5
FALTER_20221019_1D623D2ADF,FALTER_20220330_CE3567D9B8,FALTER_20220202_E026B80A15,FALTER_20220223_4FBC9B8C80,FALTER_20220330_CE3567D9B8,FALTER_20220223_4FBC9B8C80
FALTER_20221130_3DA212F514,FALTER_20220413_8CAD826DDB,FALTER_20221019_1D623D2ADF,FALTER_20220216_0CFAC71764,FALTER_20221130_3DA212F514,FALTER_20220413_8CAD826DDB
FALTER_20211222_62A097197C,FALTER_20220323_A9D672E0A5,FALTER_20221019_0CA617E1B5,FALTER_20220601_DF4297C10C,FALTER_20220323_A9D672E0A5,FALTER_20211222_62A097197C
FALTER_20221123_B5384806DB,FALTER_20220907_E058ABCBB5,FALTER_20220518_D9551C3082,FALTER_20220309_D655315C64,FALTER_20220518_D9551C3082,FALTER_20220907_E058ABCBB5
FALTER_20220330_CE3567D9B8,FALTER_20220601_DF4297C10C,FALTER_20221019_1D623D2ADF,FALTER_20220216_0CFAC71764,FALTER_20220601_DF4297C10C,FALTER_20221019_1D623D2ADF
FALTER_20220323_A9D672E0A5,FALTER_20221019_0CA617E1B5,FALTER_20211222_62A097197C,FALTER_20220907_E058ABCBB5,FALTER_20220323_A9D672E0A5,FALTER_20220907_E058ABCBB5
FALTER_20220330_CE3567D9B8,FALTER_20220309_D655315C64,FALTER_20221123_B5384806DB,FALTER_20220413_8CAD826DDB,FALTER_20220330_CE3567D9B8,FALTER_20220413_8CAD826DDB
FALTER_20220202_E026B80A15,FALTER_20220223_4FBC9B8C80,FALTER_20220518_D9551C3082,FALTER_20221130_3DA212F514,FALTER_20221130_3DA212F514,FALTER_20220223_4FBC9B8C80
