AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220928_C7F1FD40C8,FALTER_20220302_5B02AED7A2,FALTER_20220518_D9551C3082,FALTER_20220406_CFF3E4B722,FALTER_20220406_CFF3E4B722,FALTER_20220518_D9551C3082
FALTER_20221019_0CA617E1B5,FALTER_20221130_814740961A,FALTER_20220713_CAAE68A65F,FALTER_20220309_1C6B8418BE,FALTER_20221019_0CA617E1B5,FALTER_20220309_1C6B8418BE
FALTER_20220302_19351A344E,FALTER_20220330_6E1BE1BF68,FALTER_20220810_8E36475C03,FALTER_20220323_A229E0EDC3,FALTER_20220323_A229E0EDC3,FALTER_20220330_6E1BE1BF68
FALTER_20220907_071745C7DD,FALTER_20221005_F230902738,FALTER_20220420_03E73B0284,FALTER_20221130_814740961A,FALTER_20221005_F230902738,FALTER_20220907_071745C7DD
FALTER_20220713_CAAE68A65F,FALTER_20220518_D9551C3082,FALTER_20220330_6E1BE1BF68,FALTER_20220302_19351A344E,FALTER_20220713_CAAE68A65F,FALTER_20220518_D9551C3082
FALTER_20220323_A229E0EDC3,FALTER_20221019_0CA617E1B5,FALTER_20220406_CFF3E4B722,FALTER_20220302_5B02AED7A2,FALTER_20221019_0CA617E1B5,FALTER_20220406_CFF3E4B722
FALTER_20220309_1C6B8418BE,FALTER_20220907_071745C7DD,FALTER_20220810_8E36475C03,FALTER_20220928_C7F1FD40C8,FALTER_20220928_C7F1FD40C8,FALTER_20220309_1C6B8418BE
FALTER_20221005_F230902738,FALTER_20220420_03E73B0284,FALTER_20220302_5B02AED7A2,FALTER_20220323_A229E0EDC3,FALTER_20221005_F230902738,FALTER_20220420_03E73B0284
FALTER_20221130_814740961A,FALTER_20220518_D9551C3082,FALTER_20221005_F230902738,FALTER_20220309_1C6B8418BE,FALTER_20221005_F230902738,FALTER_20220309_1C6B8418BE
FALTER_20220302_19351A344E,FALTER_20220406_CFF3E4B722,FALTER_20220928_C7F1FD40C8,FALTER_20220810_8E36475C03,FALTER_20220406_CFF3E4B722,FALTER_20220302_19351A344E
FALTER_20221019_0CA617E1B5,FALTER_20220907_071745C7DD,FALTER_20220713_CAAE68A65F,FALTER_20220330_6E1BE1BF68,FALTER_20221019_0CA617E1B5,FALTER_20220907_071745C7DD
FALTER_20220420_03E73B0284,FALTER_20220810_8E36475C03,FALTER_20221005_F230902738,FALTER_20220309_1C6B8418BE,FALTER_20221005_F230902738,FALTER_20220309_1C6B8418BE
FALTER_20220406_CFF3E4B722,FALTER_20220928_C7F1FD40C8,FALTER_20220302_19351A344E,FALTER_20220907_071745C7DD,FALTER_20220302_19351A344E,FALTER_20220907_071745C7DD
FALTER_20220420_03E73B0284,FALTER_20220330_6E1BE1BF68,FALTER_20221019_0CA617E1B5,FALTER_20220518_D9551C3082,FALTER_20221019_0CA617E1B5,FALTER_20220518_D9551C3082
FALTER_20220302_5B02AED7A2,FALTER_20220323_A229E0EDC3,FALTER_20220713_CAAE68A65F,FALTER_20221130_814740961A,FALTER_20220302_5B02AED7A2,FALTER_20221130_814740961A
FALTER_20220928_C7F1FD40C8,FALTER_20220518_D9551C3082,FALTER_20221130_814740961A,FALTER_20220323_A229E0EDC3,FALTER_20220323_A229E0EDC3,FALTER_20220518_D9551C3082
FALTER_20220309_1C6B8418BE,FALTER_20220713_CAAE68A65F,FALTER_20220302_5B02AED7A2,FALTER_20220420_03E73B0284,FALTER_20220309_1C6B8418BE,FALTER_20220420_03E73B0284
FALTER_20220406_CFF3E4B722,FALTER_20221019_0CA617E1B5,FALTER_20221005_F230902738,FALTER_20220330_6E1BE1BF68,FALTER_20221005_F230902738,FALTER_20220330_6E1BE1BF68
FALTER_20220810_8E36475C03,FALTER_20220907_071745C7DD,FALTER_20220302_19351A344E,FALTER_20220309_1C6B8418BE,FALTER_20220309_1C6B8418BE,FALTER_20220907_071745C7DD
FALTER_20220323_A229E0EDC3,FALTER_20220928_C7F1FD40C8,FALTER_20220907_071745C7DD,FALTER_20220302_19351A344E,FALTER_20220323_A229E0EDC3,FALTER_20220907_071745C7DD
FALTER_20221005_F230902738,FALTER_20220713_CAAE68A65F,FALTER_20220330_6E1BE1BF68,FALTER_20220810_8E36475C03,FALTER_20221005_F230902738,FALTER_20220810_8E36475C03
FALTER_20221130_814740961A,FALTER_20220406_CFF3E4B722,FALTER_20220420_03E73B0284,FALTER_20221019_0CA617E1B5,FALTER_20221019_0CA617E1B5,FALTER_20220420_03E73B0284
FALTER_20220518_D9551C3082,FALTER_20220302_5B02AED7A2,FALTER_20221005_F230902738,FALTER_20220302_19351A344E,FALTER_20221005_F230902738,FALTER_20220518_D9551C3082
FALTER_20220309_1C6B8418BE,FALTER_20220518_D9551C3082,FALTER_20220406_CFF3E4B722,FALTER_20221019_0CA617E1B5,FALTER_20220309_1C6B8418BE,FALTER_20220518_D9551C3082
FALTER_20220907_071745C7DD,FALTER_20220420_03E73B0284,FALTER_20220323_A229E0EDC3,FALTER_20220330_6E1BE1BF68,FALTER_20220323_A229E0EDC3,FALTER_20220907_071745C7DD
FALTER_20220713_CAAE68A65F,FALTER_20220928_C7F1FD40C8,FALTER_20220302_5B02AED7A2,FALTER_20221130_814740961A,FALTER_20220302_5B02AED7A2,FALTER_20220928_C7F1FD40C8
