AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220511_69C5FA68D4,FALTER_20220223_ECB5217761,FALTER_20220420_9DC0E52515,FALTER_20220413_3CDF83A3F8,FALTER_20220511_69C5FA68D4,FALTER_20220413_3CDF83A3F8
FALTER_20220713_D8612F682B,FALTER_20221012_11B6CB24E1,FALTER_20220504_21926FB373,FALTER_20220323_A9D672E0A5,FALTER_20220323_A9D672E0A5,FALTER_20220713_D8612F682B
FALTER_20220209_D2A45298D8,FALTER_20220413_073F95992E,FALTER_20220504_E5FD52ABF3,FALTER_20220330_CE3567D9B8,FALTER_20220209_D2A45298D8,FALTER_20220413_073F95992E
FALTER_20220511_3AA9B1253E,FALTER_20220511_71668B1344,FALTER_20220420_597A9B2BD9,FALTER_20221012_11B6CB24E1,FALTER_20221012_11B6CB24E1,FALTER_20220420_597A9B2BD9
FALTER_20220504_21926FB373,FALTER_20220420_9DC0E52515,FALTER_20220413_073F95992E,FALTER_20220209_D2A45298D8,FALTER_20220504_21926FB373,FALTER_20220413_073F95992E
FALTER_20220330_CE3567D9B8,FALTER_20220713_D8612F682B,FALTER_20220413_3CDF83A3F8,FALTER_20220223_ECB5217761,FALTER_20220330_CE3567D9B8,FALTER_20220413_3CDF83A3F8
FALTER_20220323_A9D672E0A5,FALTER_20220511_3AA9B1253E,FALTER_20220504_E5FD52ABF3,FALTER_20220511_69C5FA68D4,FALTER_20220323_A9D672E0A5,FALTER_20220511_3AA9B1253E
FALTER_20220511_71668B1344,FALTER_20220420_597A9B2BD9,FALTER_20220223_ECB5217761,FALTER_20220330_CE3567D9B8,FALTER_20220330_CE3567D9B8,FALTER_20220420_597A9B2BD9
FALTER_20221012_11B6CB24E1,FALTER_20220420_9DC0E52515,FALTER_20220511_71668B1344,FALTER_20220323_A9D672E0A5,FALTER_20220323_A9D672E0A5,FALTER_20220511_71668B1344
FALTER_20220209_D2A45298D8,FALTER_20220413_3CDF83A3F8,FALTER_20220511_69C5FA68D4,FALTER_20220504_E5FD52ABF3,FALTER_20220209_D2A45298D8,FALTER_20220504_E5FD52ABF3
FALTER_20220713_D8612F682B,FALTER_20220511_3AA9B1253E,FALTER_20220504_21926FB373,FALTER_20220413_073F95992E,FALTER_20220713_D8612F682B,FALTER_20220413_073F95992E
FALTER_20220420_597A9B2BD9,FALTER_20220504_E5FD52ABF3,FALTER_20220511_71668B1344,FALTER_20220323_A9D672E0A5,FALTER_20220323_A9D672E0A5,FALTER_20220420_597A9B2BD9
FALTER_20220413_3CDF83A3F8,FALTER_20220511_69C5FA68D4,FALTER_20220209_D2A45298D8,FALTER_20220511_3AA9B1253E,FALTER_20220209_D2A45298D8,FALTER_20220413_3CDF83A3F8
FALTER_20220420_597A9B2BD9,FALTER_20220413_073F95992E,FALTER_20220713_D8612F682B,FALTER_20220420_9DC0E52515,FALTER_20220713_D8612F682B,FALTER_20220420_597A9B2BD9
FALTER_20220223_ECB5217761,FALTER_20220330_CE3567D9B8,FALTER_20220504_21926FB373,FALTER_20221012_11B6CB24E1,FALTER_20221012_11B6CB24E1,FALTER_20220223_ECB5217761
FALTER_20220511_69C5FA68D4,FALTER_20220420_9DC0E52515,FALTER_20221012_11B6CB24E1,FALTER_20220330_CE3567D9B8,FALTER_20221012_11B6CB24E1,FALTER_20220420_9DC0E52515
FALTER_20220323_A9D672E0A5,FALTER_20220504_21926FB373,FALTER_20220223_ECB5217761,FALTER_20220420_597A9B2BD9,FALTER_20220323_A9D672E0A5,FALTER_20220420_597A9B2BD9
FALTER_20220413_3CDF83A3F8,FALTER_20220713_D8612F682B,FALTER_20220511_71668B1344,FALTER_20220413_073F95992E,FALTER_20220713_D8612F682B,FALTER_20220413_073F95992E
FALTER_20220504_E5FD52ABF3,FALTER_20220511_3AA9B1253E,FALTER_20220209_D2A45298D8,FALTER_20220323_A9D672E0A5,FALTER_20220209_D2A45298D8,FALTER_20220504_E5FD52ABF3
FALTER_20220330_CE3567D9B8,FALTER_20220511_69C5FA68D4,FALTER_20220511_3AA9B1253E,FALTER_20220209_D2A45298D8,FALTER_20220209_D2A45298D8,FALTER_20220511_3AA9B1253E
FALTER_20220511_71668B1344,FALTER_20220504_21926FB373,FALTER_20220413_073F95992E,FALTER_20220504_E5FD52ABF3,FALTER_20220504_21926FB373,FALTER_20220413_073F95992E
FALTER_20221012_11B6CB24E1,FALTER_20220413_3CDF83A3F8,FALTER_20220420_597A9B2BD9,FALTER_20220713_D8612F682B,FALTER_20221012_11B6CB24E1,FALTER_20220420_597A9B2BD9
FALTER_20220420_9DC0E52515,FALTER_20220223_ECB5217761,FALTER_20220511_71668B1344,FALTER_20220209_D2A45298D8,FALTER_20220209_D2A45298D8,FALTER_20220223_ECB5217761
FALTER_20220323_A9D672E0A5,FALTER_20220420_9DC0E52515,FALTER_20220413_3CDF83A3F8,FALTER_20220713_D8612F682B,FALTER_20220323_A9D672E0A5,FALTER_20220413_3CDF83A3F8
FALTER_20220511_3AA9B1253E,FALTER_20220420_597A9B2BD9,FALTER_20220330_CE3567D9B8,FALTER_20220413_073F95992E,FALTER_20220330_CE3567D9B8,FALTER_20220413_073F95992E
FALTER_20220504_21926FB373,FALTER_20220511_69C5FA68D4,FALTER_20220223_ECB5217761,FALTER_20221012_11B6CB24E1,FALTER_20221012_11B6CB24E1,FALTER_20220223_ECB5217761
FALTER_20220504_E5FD52ABF3,FALTER_20220413_3CDF83A3F8,FALTER_20220223_ECB5217761,FALTER_20220511_3AA9B1253E,FALTER_20220223_ECB5217761,FALTER_20220504_E5FD52ABF3
FALTER_20220413_073F95992E,FALTER_20220323_A9D672E0A5,FALTER_20220420_597A9B2BD9,FALTER_20220511_69C5FA68D4,FALTER_20220323_A9D672E0A5,FALTER_20220413_073F95992E
FALTER_20220504_21926FB373,FALTER_20221012_11B6CB24E1,FALTER_20220504_E5FD52ABF3,FALTER_20220330_CE3567D9B8,FALTER_20221012_11B6CB24E1,FALTER_20220504_E5FD52ABF3
FALTER_20220713_D8612F682B,FALTER_20220511_71668B1344,FALTER_20220420_9DC0E52515,FALTER_20220209_D2A45298D8,FALTER_20220209_D2A45298D8,FALTER_20220511_71668B1344
