AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220518_B804602C3C,FALTER_20220302_19351A344E,FALTER_20220323_A229E0EDC3,FALTER_20220309_C7D1CAC2CC,FALTER_20220323_A229E0EDC3,FALTER_20220309_C7D1CAC2CC
FALTER_20220928_E5DF2B1850,FALTER_20221102_92EEC85C8A,FALTER_20220330_501B548D7A,FALTER_20220302_672863FB5A,FALTER_20220302_672863FB5A,FALTER_20220928_E5DF2B1850
FALTER_20220216_154FB2A50F,FALTER_20220309_1C6B8418BE,FALTER_20220413_EDC7023A23,FALTER_20220302_A898C15939,FALTER_20220302_A898C15939,FALTER_20220309_1C6B8418BE
FALTER_20220420_C63F753BEC,FALTER_20220518_D9551C3082,FALTER_20220323_2D65096906,FALTER_20221102_92EEC85C8A,FALTER_20220323_2D65096906,FALTER_20220518_D9551C3082
FALTER_20220330_501B548D7A,FALTER_20220323_A229E0EDC3,FALTER_20220309_1C6B8418BE,FALTER_20220216_154FB2A50F,FALTER_20220323_A229E0EDC3,FALTER_20220309_1C6B8418BE
FALTER_20220302_A898C15939,FALTER_20220928_E5DF2B1850,FALTER_20220309_C7D1CAC2CC,FALTER_20220302_19351A344E,FALTER_20220302_A898C15939,FALTER_20220309_C7D1CAC2CC
FALTER_20220302_672863FB5A,FALTER_20220420_C63F753BEC,FALTER_20220413_EDC7023A23,FALTER_20220518_B804602C3C,FALTER_20220302_672863FB5A,FALTER_20220420_C63F753BEC
FALTER_20220518_D9551C3082,FALTER_20220323_2D65096906,FALTER_20220302_19351A344E,FALTER_20220302_A898C15939,FALTER_20220323_2D65096906,FALTER_20220518_D9551C3082
FALTER_20221102_92EEC85C8A,FALTER_20220323_A229E0EDC3,FALTER_20220518_D9551C3082,FALTER_20220302_672863FB5A,FALTER_20220302_672863FB5A,FALTER_20220518_D9551C3082
FALTER_20220216_154FB2A50F,FALTER_20220309_C7D1CAC2CC,FALTER_20220518_B804602C3C,FALTER_20220413_EDC7023A23,FALTER_20220518_B804602C3C,FALTER_20220309_C7D1CAC2CC
FALTER_20220928_E5DF2B1850,FALTER_20220420_C63F753BEC,FALTER_20220330_501B548D7A,FALTER_20220309_1C6B8418BE,FALTER_20220928_E5DF2B1850,FALTER_20220309_1C6B8418BE
FALTER_20220323_2D65096906,FALTER_20220413_EDC7023A23,FALTER_20220518_D9551C3082,FALTER_20220302_672863FB5A,FALTER_20220302_672863FB5A,FALTER_20220518_D9551C3082
FALTER_20220309_C7D1CAC2CC,FALTER_20220518_B804602C3C,FALTER_20220216_154FB2A50F,FALTER_20220420_C63F753BEC,FALTER_20220216_154FB2A50F,FALTER_20220309_C7D1CAC2CC
FALTER_20220323_2D65096906,FALTER_20220309_1C6B8418BE,FALTER_20220928_E5DF2B1850,FALTER_20220323_A229E0EDC3,FALTER_20220323_2D65096906,FALTER_20220309_1C6B8418BE
FALTER_20220302_19351A344E,FALTER_20220302_A898C15939,FALTER_20220330_501B548D7A,FALTER_20221102_92EEC85C8A,FALTER_20220302_A898C15939,FALTER_20220330_501B548D7A
FALTER_20220518_B804602C3C,FALTER_20220323_A229E0EDC3,FALTER_20221102_92EEC85C8A,FALTER_20220302_A898C15939,FALTER_20220302_A898C15939,FALTER_20221102_92EEC85C8A
FALTER_20220302_672863FB5A,FALTER_20220330_501B548D7A,FALTER_20220302_19351A344E,FALTER_20220323_2D65096906,FALTER_20220302_672863FB5A,FALTER_20220330_501B548D7A
FALTER_20220309_C7D1CAC2CC,FALTER_20220928_E5DF2B1850,FALTER_20220518_D9551C3082,FALTER_20220309_1C6B8418BE,FALTER_20220928_E5DF2B1850,FALTER_20220309_1C6B8418BE
FALTER_20220413_EDC7023A23,FALTER_20220420_C63F753BEC,FALTER_20220216_154FB2A50F,FALTER_20220302_672863FB5A,FALTER_20220302_672863FB5A,FALTER_20220413_EDC7023A23
FALTER_20220302_A898C15939,FALTER_20220518_B804602C3C,FALTER_20220420_C63F753BEC,FALTER_20220216_154FB2A50F,FALTER_20220302_A898C15939,FALTER_20220216_154FB2A50F
FALTER_20220518_D9551C3082,FALTER_20220330_501B548D7A,FALTER_20220309_1C6B8418BE,FALTER_20220413_EDC7023A23,FALTER_20220413_EDC7023A23,FALTER_20220330_501B548D7A
FALTER_20221102_92EEC85C8A,FALTER_20220309_C7D1CAC2CC,FALTER_20220323_2D65096906,FALTER_20220928_E5DF2B1850,FALTER_20220323_2D65096906,FALTER_20220309_C7D1CAC2CC
FALTER_20220323_A229E0EDC3,FALTER_20220302_19351A344E,FALTER_20220518_D9551C3082,FALTER_20220216_154FB2A50F,FALTER_20220323_A229E0EDC3,FALTER_20220518_D9551C3082
FALTER_20220302_672863FB5A,FALTER_20220323_A229E0EDC3,FALTER_20220309_C7D1CAC2CC,FALTER_20220928_E5DF2B1850,FALTER_20220302_672863FB5A,FALTER_20220309_C7D1CAC2CC
FALTER_20220420_C63F753BEC,FALTER_20220323_2D65096906,FALTER_20220302_A898C15939,FALTER_20220309_1C6B8418BE,FALTER_20220302_A898C15939,FALTER_20220309_1C6B8418BE
FALTER_20220330_501B548D7A,FALTER_20220518_B804602C3C,FALTER_20220302_19351A344E,FALTER_20221102_92EEC85C8A,FALTER_20220302_19351A344E,FALTER_20220330_501B548D7A
FALTER_20220413_EDC7023A23,FALTER_20220309_C7D1CAC2CC,FALTER_20220302_19351A344E,FALTER_20220420_C63F753BEC,FALTER_20220302_19351A344E,FALTER_20220309_C7D1CAC2CC
FALTER_20220309_1C6B8418BE,FALTER_20220302_672863FB5A,FALTER_20220323_2D65096906,FALTER_20220518_B804602C3C,FALTER_20220302_672863FB5A,FALTER_20220309_1C6B8418BE
FALTER_20220330_501B548D7A,FALTER_20221102_92EEC85C8A,FALTER_20220413_EDC7023A23,FALTER_20220302_A898C15939,FALTER_20220302_A898C15939,FALTER_20220330_501B548D7A
FALTER_20220928_E5DF2B1850,FALTER_20220518_D9551C3082,FALTER_20220323_A229E0EDC3,FALTER_20220216_154FB2A50F,FALTER_20220323_A229E0EDC3,FALTER_20220216_154FB2A50F
