AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220907_EC0464469F,FALTER_20220209_F8AC678214,FALTER_20220601_3D0F98B79F,FALTER_20220427_24BC896CBE,FALTER_20220209_F8AC678214,FALTER_20220601_3D0F98B79F
FALTER_20221116_EEDD77CADD,FALTER_20221123_B5384806DB,FALTER_20220720_4882054D52,FALTER_20220323_A9D672E0A5,FALTER_20220323_A9D672E0A5,FALTER_20221116_EEDD77CADD
FALTER_20211222_2D0FA36FD0,FALTER_20220413_E6AC7F1409,FALTER_20220817_07209852F1,FALTER_20220406_A938F59F97,FALTER_20220413_E6AC7F1409,FALTER_20211222_2D0FA36FD0
FALTER_20220831_BA901FBA34,FALTER_20221019_1D623D2ADF,FALTER_20220525_43A6CF7B8E,FALTER_20221123_B5384806DB,FALTER_20220525_43A6CF7B8E,FALTER_20221019_1D623D2ADF
FALTER_20220720_4882054D52,FALTER_20220601_3D0F98B79F,FALTER_20220413_E6AC7F1409,FALTER_20211222_2D0FA36FD0,FALTER_20220413_E6AC7F1409,FALTER_20220601_3D0F98B79F
FALTER_20220406_A938F59F97,FALTER_20221116_EEDD77CADD,FALTER_20220427_24BC896CBE,FALTER_20220209_F8AC678214,FALTER_20220427_24BC896CBE,FALTER_20221116_EEDD77CADD
FALTER_20220323_A9D672E0A5,FALTER_20220831_BA901FBA34,FALTER_20220817_07209852F1,FALTER_20220907_EC0464469F,FALTER_20220323_A9D672E0A5,FALTER_20220831_BA901FBA34
FALTER_20221019_1D623D2ADF,FALTER_20220525_43A6CF7B8E,FALTER_20220209_F8AC678214,FALTER_20220406_A938F59F97,FALTER_20220525_43A6CF7B8E,FALTER_20220406_A938F59F97
FALTER_20221123_B5384806DB,FALTER_20220601_3D0F98B79F,FALTER_20221019_1D623D2ADF,FALTER_20220323_A9D672E0A5,FALTER_20220323_A9D672E0A5,FALTER_20220601_3D0F98B79F
FALTER_20211222_2D0FA36FD0,FALTER_20220427_24BC896CBE,FALTER_20220907_EC0464469F,FALTER_20220817_07209852F1,FALTER_20220427_24BC896CBE,FALTER_20220907_EC0464469F
FALTER_20221116_EEDD77CADD,FALTER_20220831_BA901FBA34,FALTER_20220720_4882054D52,FALTER_20220413_E6AC7F1409,FALTER_20220413_E6AC7F1409,FALTER_20221116_EEDD77CADD
FALTER_20220525_43A6CF7B8E,FALTER_20220817_07209852F1,FALTER_20221019_1D623D2ADF,FALTER_20220323_A9D672E0A5,FALTER_20220323_A9D672E0A5,FALTER_20221019_1D623D2ADF
FALTER_20220427_24BC896CBE,FALTER_20220907_EC0464469F,FALTER_20211222_2D0FA36FD0,FALTER_20220831_BA901FBA34,FALTER_20220427_24BC896CBE,FALTER_20211222_2D0FA36FD0
FALTER_20220525_43A6CF7B8E,FALTER_20220413_E6AC7F1409,FALTER_20221116_EEDD77CADD,FALTER_20220601_3D0F98B79F,FALTER_20220413_E6AC7F1409,FALTER_20220601_3D0F98B79F
FALTER_20220209_F8AC678214,FALTER_20220406_A938F59F97,FALTER_20220720_4882054D52,FALTER_20221123_B5384806DB,FALTER_20220406_A938F59F97,FALTER_20220720_4882054D52
FALTER_20220907_EC0464469F,FALTER_20220601_3D0F98B79F,FALTER_20221123_B5384806DB,FALTER_20220406_A938F59F97,FALTER_20220406_A938F59F97,FALTER_20220601_3D0F98B79F
FALTER_20220323_A9D672E0A5,FALTER_20220720_4882054D52,FALTER_20220209_F8AC678214,FALTER_20220525_43A6CF7B8E,FALTER_20220323_A9D672E0A5,FALTER_20220720_4882054D52
FALTER_20220427_24BC896CBE,FALTER_20221116_EEDD77CADD,FALTER_20221019_1D623D2ADF,FALTER_20220413_E6AC7F1409,FALTER_20220427_24BC896CBE,FALTER_20221116_EEDD77CADD
FALTER_20220817_07209852F1,FALTER_20220831_BA901FBA34,FALTER_20211222_2D0FA36FD0,FALTER_20220323_A9D672E0A5,FALTER_20220323_A9D672E0A5,FALTER_20211222_2D0FA36FD0
FALTER_20220406_A938F59F97,FALTER_20220907_EC0464469F,FALTER_20220831_BA901FBA34,FALTER_20211222_2D0FA36FD0,FALTER_20220406_A938F59F97,FALTER_20211222_2D0FA36FD0
FALTER_20221019_1D623D2ADF,FALTER_20220720_4882054D52,FALTER_20220413_E6AC7F1409,FALTER_20220817_07209852F1,FALTER_20220413_E6AC7F1409,FALTER_20220720_4882054D52
FALTER_20221123_B5384806DB,FALTER_20220427_24BC896CBE,FALTER_20220525_43A6CF7B8E,FALTER_20221116_EEDD77CADD,FALTER_20220525_43A6CF7B8E,FALTER_20221116_EEDD77CADD
FALTER_20220601_3D0F98B79F,FALTER_20220209_F8AC678214,FALTER_20221019_1D623D2ADF,FALTER_20211222_2D0FA36FD0,FALTER_20221019_1D623D2ADF,FALTER_20211222_2D0FA36FD0
FALTER_20220323_A9D672E0A5,FALTER_20220601_3D0F98B79F,FALTER_20220427_24BC896CBE,FALTER_20221116_EEDD77CADD,FALTER_20220323_A9D672E0A5,FALTER_20221116_EEDD77CADD
FALTER_20220831_BA901FBA34,FALTER_20220525_43A6CF7B8E,FALTER_20220406_A938F59F97,FALTER_20220413_E6AC7F1409,FALTER_20220525_43A6CF7B8E,FALTER_20220831_BA901FBA34
FALTER_20220720_4882054D52,FALTER_20220907_EC0464469F,FALTER_20220209_F8AC678214,FALTER_20221123_B5384806DB,FALTER_20220209_F8AC678214,FALTER_20220907_EC0464469F
FALTER_20220817_07209852F1,FALTER_20220427_24BC896CBE,FALTER_20220209_F8AC678214,FALTER_20220831_BA901FBA34,FALTER_20220427_24BC896CBE,FALTER_20220831_BA901FBA34
FALTER_20220413_E6AC7F1409,FALTER_20220323_A9D672E0A5,FALTER_20220525_43A6CF7B8E,FALTER_20220907_EC0464469F,FALTER_20220525_43A6CF7B8E,FALTER_20220907_EC0464469F
FALTER_20220720_4882054D52,FALTER_20221123_B5384806DB,FALTER_20220817_07209852F1,FALTER_20220406_A938F59F97,FALTER_20220406_A938F59F97,FALTER_20221123_B5384806DB
FALTER_20221116_EEDD77CADD,FALTER_20221019_1D623D2ADF,FALTER_20220601_3D0F98B79F,FALTER_20211222_2D0FA36FD0,FALTER_20221019_1D623D2ADF,FALTER_20220601_3D0F98B79F
