AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220810_1473C14006,FALTER_20211222_64517BA7BC,FALTER_20220406_673CDB22E0,FALTER_20220323_2C2B4ADE40,FALTER_20220323_2C2B4ADE40,FALTER_20220810_1473C14006
FALTER_20220921_9BA7D24C9B,FALTER_20221130_047A3E3939,FALTER_20220413_5FF3982BA3,FALTER_20211222_7E058BC169,FALTER_20221130_047A3E3939,FALTER_20220921_9BA7D24C9B
FALTER_20211215_A84D3BE01F,FALTER_20220323_0714FC4449,FALTER_20220525_43A6CF7B8E,FALTER_20220202_D90241029C,FALTER_20220202_D90241029C,FALTER_20211215_A84D3BE01F
FALTER_20220622_5BF0A44FCF,FALTER_20220914_B55E65AFE0,FALTER_20220323_A9D672E0A5,FALTER_20221130_047A3E3939,FALTER_20220323_A9D672E0A5,FALTER_20220914_B55E65AFE0
FALTER_20220413_5FF3982BA3,FALTER_20220406_673CDB22E0,FALTER_20220323_0714FC4449,FALTER_20211215_A84D3BE01F,FALTER_20220406_673CDB22E0,FALTER_20211215_A84D3BE01F
FALTER_20220202_D90241029C,FALTER_20220921_9BA7D24C9B,FALTER_20220323_2C2B4ADE40,FALTER_20211222_64517BA7BC,FALTER_20220202_D90241029C,FALTER_20220921_9BA7D24C9B
FALTER_20211222_7E058BC169,FALTER_20220622_5BF0A44FCF,FALTER_20220525_43A6CF7B8E,FALTER_20220810_1473C14006,FALTER_20220525_43A6CF7B8E,FALTER_20220622_5BF0A44FCF
FALTER_20220914_B55E65AFE0,FALTER_20220323_A9D672E0A5,FALTER_20211222_64517BA7BC,FALTER_20220202_D90241029C,FALTER_20220323_A9D672E0A5,FALTER_20220914_B55E65AFE0
FALTER_20221130_047A3E3939,FALTER_20220406_673CDB22E0,FALTER_20220914_B55E65AFE0,FALTER_20211222_7E058BC169,FALTER_20220406_673CDB22E0,FALTER_20220914_B55E65AFE0
FALTER_20211215_A84D3BE01F,FALTER_20220323_2C2B4ADE40,FALTER_20220810_1473C14006,FALTER_20220525_43A6CF7B8E,FALTER_20220525_43A6CF7B8E,FALTER_20211215_A84D3BE01F
FALTER_20220921_9BA7D24C9B,FALTER_20220622_5BF0A44FCF,FALTER_20220413_5FF3982BA3,FALTER_20220323_0714FC4449,FALTER_20220622_5BF0A44FCF,FALTER_20220413_5FF3982BA3
FALTER_20220323_A9D672E0A5,FALTER_20220525_43A6CF7B8E,FALTER_20220914_B55E65AFE0,FALTER_20211222_7E058BC169,FALTER_20220323_A9D672E0A5,FALTER_20220914_B55E65AFE0
FALTER_20220323_2C2B4ADE40,FALTER_20220810_1473C14006,FALTER_20211215_A84D3BE01F,FALTER_20220622_5BF0A44FCF,FALTER_20220810_1473C14006,FALTER_20211215_A84D3BE01F
FALTER_20220323_A9D672E0A5,FALTER_20220323_0714FC4449,FALTER_20220921_9BA7D24C9B,FALTER_20220406_673CDB22E0,FALTER_20220323_A9D672E0A5,FALTER_20220921_9BA7D24C9B
FALTER_20211222_64517BA7BC,FALTER_20220202_D90241029C,FALTER_20220413_5FF3982BA3,FALTER_20221130_047A3E3939,FALTER_20220202_D90241029C,FALTER_20220413_5FF3982BA3
