AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220615_56C4D2E107,FALTER_20220309_FE59453C09,FALTER_20220504_B8B7D5C052,FALTER_20220427_3272D42A52,FALTER_20220615_56C4D2E107,FALTER_20220504_B8B7D5C052
FALTER_20220720_2FDC0B912E,FALTER_20221012_9C61676071,FALTER_20220518_B804602C3C,FALTER_20220413_EBE5994AE8,FALTER_20220720_2FDC0B912E,FALTER_20221012_9C61676071
FALTER_20220302_0605724866,FALTER_20220420_F43E5C235B,FALTER_20220601_728FAE0779,FALTER_20220420_10649CB743,FALTER_20220420_F43E5C235B,FALTER_20220420_10649CB743
FALTER_20220608_793A4CE426,FALTER_20220622_E1124E1216,FALTER_20220427_3CA39CC04D,FALTER_20221012_9C61676071,FALTER_20220608_793A4CE426,FALTER_20221012_9C61676071
FALTER_20220518_B804602C3C,FALTER_20220504_B8B7D5C052,FALTER_20220420_F43E5C235B,FALTER_20220302_0605724866,FALTER_20220420_F43E5C235B,FALTER_20220504_B8B7D5C052
FALTER_20220420_10649CB743,FALTER_20220720_2FDC0B912E,FALTER_20220427_3272D42A52,FALTER_20220309_FE59453C09,FALTER_20220309_FE59453C09,FALTER_20220420_10649CB743
FALTER_20220413_EBE5994AE8,FALTER_20220608_793A4CE426,FALTER_20220601_728FAE0779,FALTER_20220615_56C4D2E107,FALTER_20220601_728FAE0779,FALTER_20220608_793A4CE426
FALTER_20220622_E1124E1216,FALTER_20220427_3CA39CC04D,FALTER_20220309_FE59453C09,FALTER_20220420_10649CB743,FALTER_20220309_FE59453C09,FALTER_20220420_10649CB743
FALTER_20221012_9C61676071,FALTER_20220504_B8B7D5C052,FALTER_20220622_E1124E1216,FALTER_20220413_EBE5994AE8,FALTER_20220622_E1124E1216,FALTER_20221012_9C61676071
FALTER_20220302_0605724866,FALTER_20220427_3272D42A52,FALTER_20220615_56C4D2E107,FALTER_20220601_728FAE0779,FALTER_20220601_728FAE0779,FALTER_20220427_3272D42A52
FALTER_20220720_2FDC0B912E,FALTER_20220608_793A4CE426,FALTER_20220518_B804602C3C,FALTER_20220420_F43E5C235B,FALTER_20220720_2FDC0B912E,FALTER_20220608_793A4CE426
FALTER_20220427_3CA39CC04D,FALTER_20220601_728FAE0779,FALTER_20220622_E1124E1216,FALTER_20220413_EBE5994AE8,FALTER_20220601_728FAE0779,FALTER_20220622_E1124E1216
FALTER_20220427_3272D42A52,FALTER_20220615_56C4D2E107,FALTER_20220302_0605724866,FALTER_20220608_793A4CE426,FALTER_20220427_3272D42A52,FALTER_20220302_0605724866
FALTER_20220427_3CA39CC04D,FALTER_20220420_F43E5C235B,FALTER_20220720_2FDC0B912E,FALTER_20220504_B8B7D5C052,FALTER_20220420_F43E5C235B,FALTER_20220504_B8B7D5C052
FALTER_20220309_FE59453C09,FALTER_20220420_10649CB743,FALTER_20220518_B804602C3C,FALTER_20221012_9C61676071,FALTER_20220518_B804602C3C,FALTER_20220420_10649CB743
FALTER_20220615_56C4D2E107,FALTER_20220504_B8B7D5C052,FALTER_20221012_9C61676071,FALTER_20220420_10649CB743,FALTER_20220615_56C4D2E107,FALTER_20220420_10649CB743
FALTER_20220413_EBE5994AE8,FALTER_20220518_B804602C3C,FALTER_20220309_FE59453C09,FALTER_20220427_3CA39CC04D,FALTER_20220413_EBE5994AE8,FALTER_20220518_B804602C3C
FALTER_20220427_3272D42A52,FALTER_20220720_2FDC0B912E,FALTER_20220622_E1124E1216,FALTER_20220420_F43E5C235B,FALTER_20220420_F43E5C235B,FALTER_20220622_E1124E1216
FALTER_20220601_728FAE0779,FALTER_20220608_793A4CE426,FALTER_20220302_0605724866,FALTER_20220413_EBE5994AE8,FALTER_20220601_728FAE0779,FALTER_20220302_0605724866
FALTER_20220420_10649CB743,FALTER_20220615_56C4D2E107,FALTER_20220608_793A4CE426,FALTER_20220302_0605724866,FALTER_20220615_56C4D2E107,FALTER_20220302_0605724866
FALTER_20220622_E1124E1216,FALTER_20220518_B804602C3C,FALTER_20220420_F43E5C235B,FALTER_20220601_728FAE0779,FALTER_20220420_F43E5C235B,FALTER_20220518_B804602C3C
FALTER_20221012_9C61676071,FALTER_20220427_3272D42A52,FALTER_20220427_3CA39CC04D,FALTER_20220720_2FDC0B912E,FALTER_20220720_2FDC0B912E,FALTER_20221012_9C61676071
FALTER_20220504_B8B7D5C052,FALTER_20220309_FE59453C09,FALTER_20220622_E1124E1216,FALTER_20220302_0605724866,FALTER_20220309_FE59453C09,FALTER_20220302_0605724866
FALTER_20220413_EBE5994AE8,FALTER_20220504_B8B7D5C052,FALTER_20220427_3272D42A52,FALTER_20220720_2FDC0B912E,FALTER_20220720_2FDC0B912E,FALTER_20220504_B8B7D5C052
FALTER_20220608_793A4CE426,FALTER_20220427_3CA39CC04D,FALTER_20220420_10649CB743,FALTER_20220420_F43E5C235B,FALTER_20220420_F43E5C235B,FALTER_20220420_10649CB743
FALTER_20220518_B804602C3C,FALTER_20220615_56C4D2E107,FALTER_20220309_FE59453C09,FALTER_20221012_9C61676071,FALTER_20220309_FE59453C09,FALTER_20221012_9C61676071
FALTER_20220601_728FAE0779,FALTER_20220427_3272D42A52,FALTER_20220309_FE59453C09,FALTER_20220608_793A4CE426,FALTER_20220309_FE59453C09,FALTER_20220608_793A4CE426
