AO01,AO02,AO03,AO04,BEST,WORST
FALTER_20220914_52562C2A92,FALTER_20211215_73A6B01646,FALTER_20220406_B0F9C3BD78,FALTER_20220316_5CF345D5B2,FALTER_20220406_B0F9C3BD78,FALTER_20220914_52562C2A92
FALTER_20221005_AEB2C76D66,FALTER_20221130_047A3E3939,FALTER_20220518_48A2BFD79B,FALTER_20211222_62A097197C,FALTER_20211222_62A097197C,FALTER_20221005_AEB2C76D66
FALTER_20211215_342F355253,FALTER_20220309_F7DC749A0D,FALTER_20220720_52AB3B83C7,FALTER_20220309_B87265F780,FALTER_20220309_B87265F780,FALTER_20220309_F7DC749A0D
FALTER_20220810_39F6D9BF1E,FALTER_20220921_9BA7D24C9B,FALTER_20220323_A9D672E0A5,FALTER_20221130_047A3E3939,FALTER_20221130_047A3E3939,FALTER_20220810_39F6D9BF1E
FALTER_20220518_48A2BFD79B,FALTER_20220406_B0F9C3BD78,FALTER_20220309_F7DC749A0D,FALTER_20211215_342F355253,FALTER_20220518_48A2BFD79B,FALTER_20220309_F7DC749A0D
FALTER_20220309_B87265F780,FALTER_20221005_AEB2C76D66,FALTER_20220316_5CF345D5B2,FALTER_20211215_73A6B01646,FALTER_20220309_B87265F780,FALTER_20211215_73A6B01646
FALTER_20211222_62A097197C,FALTER_20220810_39F6D9BF1E,FALTER_20220720_52AB3B83C7,FALTER_20220914_52562C2A92,FALTER_20211222_62A097197C,FALTER_20220914_52562C2A92
FALTER_20220921_9BA7D24C9B,FALTER_20220323_A9D672E0A5,FALTER_20211215_73A6B01646,FALTER_20220309_B87265F780,FALTER_20220309_B87265F780,FALTER_20211215_73A6B01646
FALTER_20221130_047A3E3939,FALTER_20220406_B0F9C3BD78,FALTER_20220921_9BA7D24C9B,FALTER_20211222_62A097197C,FALTER_20221130_047A3E3939,FALTER_20220921_9BA7D24C9B
FALTER_20211215_342F355253,FALTER_20220316_5CF345D5B2,FALTER_20220914_52562C2A92,FALTER_20220720_52AB3B83C7,FALTER_20220720_52AB3B83C7,FALTER_20211215_342F355253
FALTER_20221005_AEB2C76D66,FALTER_20220810_39F6D9BF1E,FALTER_20220518_48A2BFD79B,FALTER_20220309_F7DC749A0D,FALTER_20220518_48A2BFD79B,FALTER_20221005_AEB2C76D66
FALTER_20220323_A9D672E0A5,FALTER_20220720_52AB3B83C7,FALTER_20220921_9BA7D24C9B,FALTER_20211222_62A097197C,FALTER_20211222_62A097197C,FALTER_20220921_9BA7D24C9B
FALTER_20220316_5CF345D5B2,FALTER_20220914_52562C2A92,FALTER_20211215_342F355253,FALTER_20220810_39F6D9BF1E,FALTER_20220810_39F6D9BF1E,FALTER_20211215_342F355253
FALTER_20220323_A9D672E0A5,FALTER_20220309_F7DC749A0D,FALTER_20221005_AEB2C76D66,FALTER_20220406_B0F9C3BD78,FALTER_20220309_F7DC749A0D,FALTER_20221005_AEB2C76D66
FALTER_20211215_73A6B01646,FALTER_20220309_B87265F780,FALTER_20220518_48A2BFD79B,FALTER_20221130_047A3E3939,FALTER_20220518_48A2BFD79B,FALTER_20221130_047A3E3939
FALTER_20220914_52562C2A92,FALTER_20220406_B0F9C3BD78,FALTER_20221130_047A3E3939,FALTER_20220309_B87265F780,FALTER_20220309_B87265F780,FALTER_20220914_52562C2A92
FALTER_20211222_62A097197C,FALTER_20220518_48A2BFD79B,FALTER_20211215_73A6B01646,FALTER_20220323_A9D672E0A5,FALTER_20211222_62A097197C,FALTER_20220323_A9D672E0A5
FALTER_20220316_5CF345D5B2,FALTER_20221005_AEB2C76D66,FALTER_20220921_9BA7D24C9B,FALTER_20220309_F7DC749A0D,FALTER_20220309_F7DC749A0D,FALTER_20220921_9BA7D24C9B
FALTER_20220720_52AB3B83C7,FALTER_20220810_39F6D9BF1E,FALTER_20211215_342F355253,FALTER_20211222_62A097197C,FALTER_20211222_62A097197C,FALTER_20211215_342F355253
FALTER_20220309_B87265F780,FALTER_20220914_52562C2A92,FALTER_20220810_39F6D9BF1E,FALTER_20211215_342F355253,FALTER_20220309_B87265F780,FALTER_20211215_342F355253
